source,orientation,parent_depth,corr_linear,std_ratio_q4_q1,std_ratio_linear_ar_null,std_ratio_excess_over_null
real_heldout,HL,0,0.17170190471445368,1.321189598944385,1.042501494879974,0.2786881040644109
real_heldout,HL,1,0.37304534730415867,1.814919777122235,1.2082848816839633,0.6066348954382716
real_heldout,HL,2,0.3923641808841253,2.570168645610064,1.231814423838747,1.338354221771317
real_heldout,HL,3,0.4499384889101457,3.6341809730153303,1.3114800494389809,2.3227009235763494
real_heldout,LH,0,0.32951594162457754,1.2890996401044752,1.1606138854703412,0.12848575463413403
real_heldout,LH,1,0.3899164855772368,1.6253237095133086,1.2287488004753913,0.39657490903791737
real_heldout,LH,2,0.4159958618613838,2.360499186293722,1.2627180340784332,1.097781152215289
real_heldout,LH,3,0.48236644875301593,3.3148156452581254,1.3633381923594654,1.95147745289866
real_heldout,HH,0,0.03410264557921568,1.2836349229051611,1.0016639358150747,0.2819709870900864
real_heldout,HH,1,0.0989699568836797,1.4090860552593243,1.0140453096530357,0.39504074560628855
real_heldout,HH,2,0.09965128814554958,2.018768483969635,1.0142398621113484,1.0045286218582867
real_heldout,HH,3,0.14884593019227874,2.86424758823452,1.031874240726282,1.832373347508238
scale_mixture,HL,0,0.23018592841807434,1.3305462525082954,1.0769181949087248,0.25362805759957063
scale_mixture,HL,1,0.339590003565456,1.573044196509953,1.1710122356286754,0.4020319608812777
scale_mixture,HL,2,0.36352653694537435,1.5529268965884246,1.197241118702149,0.35568577788627564
scale_mixture,HL,3,0.28599618830125945,1.3408443438199924,1.1198506204021452,0.22099372341784718
scale_mixture,LH,0,0.22139970854301785,1.3547557430647983,1.0710719505904402,0.28368379247435804
scale_mixture,LH,1,0.3391079017625103,1.5669858768019946,1.170506108880245,0.39647976792174955
scale_mixture,LH,2,0.3679153358379826,1.562705047465063,1.2022887697078701,0.36041627775719287
scale_mixture,LH,3,0.2860399889599857,1.3415518807840503,1.1198883519874394,0.2216635287966109
scale_mixture,HH,0,0.22822466457733193,1.3388267708871788,1.075592124571253,0.26323464631592586
scale_mixture,HH,1,0.337758192289559,1.5661119574238167,1.1690937099149827,0.39701824750883397
scale_mixture,HH,2,0.3668055581091066,1.5515753240814851,1.2010052715528632,0.35057005252862194
scale_mixture,HH,3,0.2851841455414725,1.332965085509654,1.119152270512399,0.2138128149972549
