family,orientation,tree_depth,std_ancestral,std_reverse,kurtosis_ancestral,kurtosis_reverse,std_ratio_reverse_over_ancestral,n_samples,reverse_steps,reverse_seconds
scale_mixture,HL,0,6.132909877232873,6.200327244860459,-0.5324491155960969,0.019028740651274578,1.0109927210699539,128,150,1060.0269872420467
scale_mixture,HL,1,4.175290019058685,4.215080644008587,0.8743757661275255,0.9105461291892358,1.0095300266013314,128,150,1060.0269872420467
scale_mixture,HL,2,1.9355408023974452,1.8623517173519835,1.9813513599138268,2.1581631265459116,0.9621867516536946,128,150,1060.0269872420467
scale_mixture,HL,3,0.8832055090242579,0.821843202485063,3.628368188490283,3.857119091785509,0.9305231841148882,128,150,1060.0269872420467
scale_mixture,HL,4,0.40949623672859964,0.33293706677693097,2.8761941238558872,4.705044780639156,0.8130406018788164,128,150,1060.0269872420467
scale_mixture,LH,0,10.055391378651073,10.383935690354395,-0.16657195951550596,-0.47569670395924124,1.0326734484349227,128,150,1060.0269872420467
scale_mixture,LH,1,5.265761527086215,4.988451002844793,0.45861556604929143,1.010814427467607,0.9473370522354684,128,150,1060.0269872420467
scale_mixture,LH,2,2.3535169803210003,2.277954742662724,2.336124004019106,1.8582534947959308,0.9678939058905918,128,150,1060.0269872420467
scale_mixture,LH,3,1.0077330983654562,0.9664978774075185,3.05762388754282,3.5314589867421144,0.959081208084937,128,150,1060.0269872420467
scale_mixture,LH,4,0.4528345532033631,0.37944797470565605,2.9997133775928146,4.423832440642679,0.8379395344755198,128,150,1060.0269872420467
scale_mixture,HH,0,4.277037898738502,4.06277452625934,0.33334656947956764,-0.1961788245272409,0.9499037938049699,128,150,1060.0269872420467
scale_mixture,HH,1,2.5877546562704667,2.4628667651341787,0.9506267994176993,0.6771370079595336,0.9517388981085713,128,150,1060.0269872420467
scale_mixture,HH,2,1.0694098919126858,0.9993996207181461,1.7973655486763578,1.884090192135826,0.9345337351711576,128,150,1060.0269872420467
scale_mixture,HH,3,0.4451635619167409,0.37838650012043956,3.729023015937809,5.3971399243567415,0.8499943222918351,128,150,1060.0269872420467
scale_mixture,HH,4,0.16560720326966397,0.08700071430679635,3.0660942104497924,4.760052451516598,0.525343780880896,128,150,1060.0269872420467
scale_mixture,LL,-1,16.430927940163755,12.75518654232948,0.0070513745845071085,-0.13092699931290008,0.7762913080003658,128,150,1060.0269872420467
