source,orientation,tree_depth,std,excess_kurtosis
real_heldout,HL,0,5.684653431992366,1.9677368745229513
real_heldout,HL,1,4.174654299750158,1.3906605880197809
real_heldout,HL,2,1.9529830620503168,3.325245965131587
real_heldout,HL,3,0.8685844197432916,5.354408683363889
real_heldout,HL,4,0.3499289222187304,6.9934409522379095
real_heldout,LH,0,10.592828087991208,0.3304672609123145
real_heldout,LH,1,5.417568539732482,0.6358070711940647
real_heldout,LH,2,2.3792953093859524,2.1917332825308744
real_heldout,LH,3,0.9935114174523394,3.982517820418111
real_heldout,LH,4,0.3817907197167757,5.680159449495834
real_heldout,HH,0,4.327137723629923,2.1417115168994414
real_heldout,HH,1,2.638027544724616,1.1579066888843226
real_heldout,HH,2,1.1012449406490783,2.489061326266876
real_heldout,HH,3,0.4411757209971525,4.238258802184611
real_heldout,HH,4,0.1418407134481152,6.422896027205946
real_heldout,LL,-1,16.064072577919625,0.3023670714268132
scale_mixture,HL,0,5.8985774528609,0.019669328336644476
scale_mixture,HL,1,4.205277653807224,0.8966529013825206
scale_mixture,HL,2,1.9249042264653946,2.0079570754398164
scale_mixture,HL,3,0.8857058798413566,3.288049243933183
scale_mixture,HL,4,0.4112551983142663,2.9746087942692228
scale_mixture,LH,0,11.150157043891944,0.05500665545732719
scale_mixture,LH,1,5.460393608277561,0.9823740630873536
scale_mixture,LH,2,2.361973431104003,2.045715869250487
scale_mixture,LH,3,1.025648535460627,3.3033027760835125
scale_mixture,LH,4,0.45062199399636177,2.974067423492606
scale_mixture,HH,0,4.442334567728679,0.006000678472620535
scale_mixture,HH,1,2.588775895060755,0.9554303380744198
scale_mixture,HH,2,1.0758209860138805,2.093420637700868
scale_mixture,HH,3,0.4467069023530926,3.2988209070452816
scale_mixture,HH,4,0.16731871788214553,2.980251529462538
scale_mixture,LL,-1,16.22578921536089,-0.031764926295913654
