family,rho,n,t,n_chains,rep,rho_true,q_true,rho_hat,q_hat,rho_abs_err,q_rel_err,loglik,em_iters,em_converged,restart_rho_std,restart_rho_range,restart_loglik_range,ridge_width,ridge_width_censored,profile_curvature,profile_peak_at_edge,profile_scan_lo,profile_scan_hi,profile_peak_rho
uniform,0.5,20,0.3,1000,1,0.5,0.75,0.4951046903006312,0.7719044390307929,0.0048953096993687994,0.02920591870772382,-27.699132525447745,61,1,8.582685531801708e-06,1.8634697713015846e-05,2.7942737546027274e-07,0.675,0,8.317900885994721,0,0.04999999999999999,0.95,0.49999999999999994
uniform,0.5,80,0.8,1000,1,0.5,0.75,0.486646735829054,0.7648608910062535,0.013353264170946011,0.019814521341671387,-113.13567772566853,253,1,0.001034447760628242,0.002685913865668188,6.787374417172032e-06,0.7874999999999999,1,5.047616459200491,0,0.04999999999999999,0.95,0.4775
laplace,0.85,20,2.4,4000,1,0.85,0.2775000000000001,0.6343853884860958,0.47923540450338653,0.21561461151390415,0.7269744306428338,-28.37271352372874,300,0,0.21346283886358802,0.6026721821377587,0.000624901258543531,0.595,1,0.10957719880607046,0,0.39999999999999997,0.995,0.8165
uniform,0.7,20,0.15,4000,2,0.7,0.51,0.6991374089433134,0.5151635913542203,0.0008625910566865125,0.0101246889298437,-25.286631624969857,20,1,2.922429414229258e-06,8.09858198580482e-06,1.5076530957003342e-07,0.391125,0,22.45737903179998,0,0.24999999999999994,0.995,0.6970000000000001
laplace,0.95,20,0.8,1000,2,0.95,0.09750000000000003,0.9444266633486244,0.09960833529702828,0.005573336651375604,0.021623951764392323,-27.37312499255931,300,0,0.0005524440632994201,0.001740051384996777,0.00048534392445986896,0.47025000000000006,0,42.382387735853264,0,0.49999999999999994,0.995,0.9455
laplace,0.7,40,1.8,250,1,0.7,0.51,0.4787694574086745,0.9989760339434475,0.22123054259132546,0.9587765371440146,-56.93327057225444,300,0,0.138852418196628,0.42193298779665367,0.008412405122527389,0.726375,1,0.37207821321989093,0,0.24999999999999994,0.995,0.5293749999999999
student,0.95,20,0.8,4000,2,0.95,0.09750000000000003,0.9462935775613261,0.10524782196936902,0.0037064224386738065,0.07946484071147679,-27.491728485389167,300,0,0.00045491928181005985,0.0014366413504314224,0.0003233357703997797,0.47025000000000006,0,40.926427251555154,0,0.49999999999999994,0.995,0.9455
uniform,0.95,80,1.8,4000,2,0.95,0.09750000000000003,0.852823460240676,0.4171914068653859,0.09717653975932394,3.278886224260367,-113.48550817284175,300,0,0.19162114414209824,0.5732119579732773,0.11508372801570488,0.482625,1,11.79619492246931,0,0.49999999999999994,0.995,0.92075
mixture,0.85,80,1.8,250,1,0.85,0.2775000000000001,0.7695842306982252,0.5106598853861699,0.08041576930177474,0.8402158031934045,-113.81330411839376,300,0,0.1699020077325493,0.5181172378762376,0.05161504369453951,0.580125,1,1.500111329228882,0,0.39999999999999997,0.995,0.7421249999999999
laplace,0.7,20,1.8,1000,0,0.7,0.51,0.6812726452798948,0.4737456855459618,0.018727354720105116,0.07108689108634943,-28.216191294696326,300,0,0.1581106317869848,0.47569941621741463,0.00471222017863937,0.7450000000000001,1,0.16833190335226522,0,0.24999999999999994,0.995,0.678375
mixture,0.95,80,2.4,250,1,0.95,0.09750000000000003,0.8187393084417887,0.7469794939658394,0.1312606915582113,6.661328143239376,-113.8480381292186,300,0,0.25172343886200577,0.680362915010863,0.022848235564822517,0.49500000000000005,1,15.977998635607841,0,0.49999999999999994,0.995,0.933125
