n_components,n_chains,seed,iter,log_evidence,seconds
16,2048,0,0,-445900.9442583258,14.439563234103844
16,2048,0,1,-437438.4928429336,14.398215434979647
16,2048,0,2,-431979.1328808961,14.35807599988766
16,2048,0,3,-428369.91617266,14.402493591187522
16,2048,0,4,-425881.92319941666,14.343734596157447
16,2048,0,5,-424100.3297524252,14.26272998796776
16,2048,0,6,-422788.7476069724,14.423223034944385
16,2048,0,7,-421804.34955248906,14.330478728050366
16,2048,0,8,-421054.91035866295,14.452818149933591
16,2048,0,9,-420477.7676449645,14.403000586898997
16,2048,0,10,-420028.8676487261,14.277010365156457
16,2048,0,11,-419676.5211089598,14.26654645591043
16,2048,0,12,-419397.55530029617,14.508762405021116
16,2048,0,13,-419174.8104880854,14.372504763072357
16,2048,0,14,-418995.4514693434,14.2791295228526
16,2048,0,15,-418849.79972862644,14.23925321502611
16,2048,0,16,-418730.50966315274,14.427937770960853
16,2048,0,17,-418631.97761085426,14.389210793189704
16,2048,0,18,-418549.91123434674,14.292541380040348
16,2048,0,19,-418481.0111181247,14.219230780145153
16,2048,0,20,-418422.7322259925,14.506351605057716
16,2048,0,21,-418373.1033300663,14.42624037899077
16,2048,0,22,-418330.5894513586,14.234656099928543
16,2048,0,23,-418293.98686606844,14.16839605011046
16,2048,0,24,-418262.34313153295,14.446191465016454
16,2048,0,25,-418234.89646694675,14.286880208179355
16,2048,0,26,-418211.03010090935,14.305422952864319
16,2048,0,27,-418190.2381261665,14.196000119904056
16,2048,0,28,-418172.1001205671,14.344937820918858
16,2048,0,29,-418156.2623715438,14.302016034023836
16,2048,0,30,-418142.4240138483,14.18085750611499
16,2048,0,31,-418130.3267763265,14.165815765969455
16,2048,0,32,-418119.74734662054,14.495770500972867
16,2048,0,33,-418110.4916134798,14.192262365017086
16,2048,0,34,-418102.39024404954,13.954565076855943
16,2048,0,35,-418095.2952063333,13.929688969161361
16,2048,0,36,-418089.07696253766,14.04459037980996
16,2048,0,37,-418083.6221441721,14.162063156021759
16,2048,0,38,-418078.83158086677,13.86016446002759
16,2048,0,39,-418074.6185974609,14.085667419014499
16,2048,1,0,-446799.38929462584,14.043133940082043
16,2048,1,1,-438200.04920905165,14.54069635597989
16,2048,1,2,-432581.73368393,13.939162848051637
16,2048,1,3,-428826.15140554664,13.971302191959694
16,2048,1,4,-426221.48725706036,14.054569800850004
16,2048,1,5,-424353.09558539867,13.992479305015877
16,2048,1,6,-422978.56264066277,13.99586128606461
16,2048,1,7,-421948.7616187978,13.876248497981578
16,2048,1,8,-421166.5635585224,13.893024294171482
16,2048,1,9,-420565.808683087,13.82564652315341
16,2048,1,10,-420099.9952712334,13.89997771801427
16,2048,1,11,-419735.7046337146,13.852666365914047
16,2048,1,12,-419448.5154633708,13.871737600071356
16,2048,1,13,-419220.3413337469,13.807017426006496
16,2048,1,14,-419037.63804212684,13.82302518794313
16,2048,1,15,-418890.1679608237,13.889742661034688
16,2048,1,16,-418770.1326874755,13.928249533986673
16,2048,1,17,-418671.554902934,13.904187310952693
16,2048,1,18,-418589.83179405745,13.922982670133933
16,2048,1,19,-418521.4081321067,13.920134708052501
16,2048,1,20,-418463.5336253065,13.931838494958356
16,2048,1,21,-418414.0801417112,13.887595849111676
16,2048,1,22,-418371.40193589,13.95061210077256
16,2048,1,23,-418334.2273059924,13.892636960139498
16,2048,1,24,-418301.5738126028,13.932870830176398
16,2048,1,25,-418272.6816904087,13.838556800968945
16,2048,1,26,-418246.96166581655,13.96748677501455
16,2048,1,27,-418223.9543293761,13.793690562946722
16,2048,1,28,-418203.29875537235,13.825125006958842
16,2048,1,29,-418184.708417649,13.757682857802138
16,2048,1,30,-418167.95275402116,13.889478188939393
16,2048,1,31,-418152.84304070345,13.592629020102322
16,2048,1,32,-418139.2215533459,13.924284663051367
16,2048,1,33,-418126.9532801261,13.856330994982272
16,2048,1,34,-418115.9196786117,13.63993057096377
16,2048,1,35,-418106.0141136716,13.718693603063002
16,2048,1,36,-418097.13868599024,13.71807315107435
16,2048,1,37,-418089.2021854391,13.808139248052612
16,2048,1,38,-418082.118910521,13.736610230058432
16,2048,1,39,-418075.8081064378,13.68796820519492
16,2048,2,0,-447578.8787823025,14.300059024943039
16,2048,2,1,-439016.97751653305,14.358235658146441
16,2048,2,2,-433506.43560545426,14.448996727121994
16,2048,2,3,-429857.2417955878,14.369020147016272
16,2048,2,4,-427321.86558625405,14.289239424047992
16,2048,2,5,-425484.79271122796,14.44469957309775
16,2048,2,6,-424114.53876120877,14.349975291173905
16,2048,2,7,-423072.63775614445,14.39434553310275
16,2048,2,8,-422269.4265153477,14.46742085693404
16,2048,2,9,-421643.36518477596,14.324481836054474
16,2048,2,10,-421150.6393784462,14.347112684044987
16,2048,2,11,-420759.3285156171,14.430973093956709
16,2048,2,12,-420445.8162817935,14.365004373015836
16,2048,2,13,-420192.4374010014,14.387308127945289
16,2048,2,14,-419985.86959931353,14.432517514098436
16,2048,2,15,-419816.0017734699,14.370178802870214
16,2048,2,16,-419675.1192865062,14.374876186950132
16,2048,2,17,-419557.307782369,14.33380622183904
16,2048,2,18,-419458.0119420877,14.29865973093547
16,2048,2,19,-419373.70640551695,14.342376390937716
16,2048,2,20,-419301.6489130631,14.461547842016444
16,2048,2,21,-419239.6941540657,14.348164492053911
16,2048,2,22,-419186.15271125024,14.445804642047733
16,2048,2,23,-419139.68376256694,14.466860005166382
16,2048,2,24,-419099.2132957128,14.414295561844483
16,2048,2,25,-419063.87179497833,14.387824615929276
16,2048,2,26,-419032.94690438634,14.457990434020758
16,2048,2,27,-419005.84764815064,14.393409474985674
16,2048,2,28,-418982.0775526052,14.376063460018486
16,2048,2,29,-418961.21457468666,14.358967394102365
16,2048,2,30,-418942.8961748333,14.320073489099741
16,2048,2,31,-418926.8082211304,14.26369756879285
16,2048,2,32,-418912.676700584,14.420938367955387
16,2048,2,33,-418900.261454243,14.04016014910303
16,2048,2,34,-418889.3513512724,13.999501954996958
16,2048,2,35,-418879.76047672075,13.623146092984825
16,2048,2,36,-418871.3250323538,13.547685751924291
16,2048,2,37,-418863.90074393863,13.526460085995495
16,2048,2,38,-418857.36063674703,13.863974995911121
16,2048,2,39,-418851.5930889172,13.733358782948926
