seed,n_obs,t,arm,omega_hat_deg,omega_err_deg,tv_to_truth,mass_near_pm_omega,spread,moved_from_uniform,is_flat,mode_psi_deg,n_iters,min_loglik_increase,final_loglik
123393400,32,0.05,joint,28.65108656731886,1.3489134326811394,0.7960487383653009,0.9999999999999994,0.12254834020687444,0.9687499999999711,False,28.125000000000007,200,5.386395315554182e-06,113.10921868215934
123393400,32,0.05,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-353.23611830789207
123393400,32,0.0725,joint,28.335268092727322,1.6647319072726752,0.7869209334880151,0.9999999999996669,0.12003569526087454,0.968749999999666,False,28.125000000000007,200,3.67364805242687e-10,35.13212503202918
123393400,32,0.0725,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-372.31565804875004
123393400,32,0.1053,joint,29.466852728446153,0.5331472715538438,0.5038808520631285,0.9954388692855288,0.12887764037257476,0.9711086543327632,False,-30.937499999999996,200,4.9971193934794655e-05,-26.441097388216203
123393400,32,0.1053,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-363.99258031790356
123393400,32,0.1527,joint,28.146735916962374,1.8532640830376244,0.9922716733273287,1.0,0.11815200466214659,0.9766466726857217,False,-28.125000000000007,200,2.4378619002618507e-05,-123.04999119200511
123393400,32,0.1527,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-390.810472066904
123393400,32,0.2216,joint,29.24117608353183,0.7588239164681674,0.6031373922171424,1.0,0.12725667634351778,0.9687499996939515,False,28.125000000000007,200,4.799436226221587e-07,-172.97863874025703
123393400,32,0.2216,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-377.1836986808122
123393400,32,0.3215,joint,29.45251725385404,0.547482746145956,0.5279940954983403,1.0,0.12947551150192604,0.984371019387906,False,28.125000000000007,200,5.051574589742813e-07,-245.0825135050837
123393400,32,0.3215,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-379.4519867560065
123393400,32,0.4665,joint,29.368409264169614,0.6315907358303848,0.7223845277567434,0.9664725039646085,0.13154371698496758,0.9528624872833353,False,28.125000000000007,200,6.618526072088571e-06,-267.11162454458884
