seed,n_obs,t,arm,psi_hat_deg,psi_true_deg,psi_err_deg,is_flat,profile_range_nats
123393400,128,0.05,joint,30.653213210136638,29.999999999999996,0.6532132101366386,False,12247.711356827831
123393400,128,0.05,marginal,,29.999999999999996,,True,0.0
123393400,128,0.1053,joint,30.39255099752443,29.999999999999996,0.39255099752443345,False,6102.499361451805
123393400,128,0.1053,marginal,,29.999999999999996,,True,0.0
123393400,128,0.2216,joint,30.135015941056842,29.999999999999996,0.13501594105684506,False,2614.0293974565066
123393400,128,0.2216,marginal,,29.999999999999996,,True,0.0
123393400,128,0.4665,joint,30.31545511778347,29.999999999999996,0.3154551177834698,False,875.665954081356
123393400,128,0.4665,marginal,,29.999999999999996,,True,0.0
123393400,128,0.9821,joint,31.562937504979498,29.999999999999996,1.5629375049794998,False,171.20172093733345
123393400,128,0.9821,marginal,,29.999999999999996,,True,0.0
123393400,128,2.0676,joint,24.21702600645198,29.999999999999996,5.7829739935480164,False,9.04947140376089
123393400,128,2.0676,marginal,,29.999999999999996,,True,0.0
123393400,512,0.05,joint,29.836852299835492,29.999999999999996,0.16314770016450603,False,48293.23116957968
123393400,512,0.05,marginal,,29.999999999999996,,True,0.0
123393400,512,0.1053,joint,29.891223966443665,29.999999999999996,0.10877603355633465,False,23750.8822664651
123393400,512,0.1053,marginal,,29.999999999999996,,True,0.0
123393400,512,0.2216,joint,30.08687573315114,29.999999999999996,0.08687573315113954,False,10268.977352555588
123393400,512,0.2216,marginal,,29.999999999999996,,True,0.0
123393400,512,0.4665,joint,29.61200445142869,29.999999999999996,0.3879955485713078,False,3407.957347858377
123393400,512,0.4665,marginal,,29.999999999999996,,True,0.0
123393400,512,0.9821,joint,30.353695257625134,29.999999999999996,0.353695257625135,False,625.7016059304497
123393400,512,0.9821,marginal,,29.999999999999996,,True,0.0
123393400,512,2.0676,joint,33.82815550711684,29.999999999999996,3.828155507116841,False,18.32263668077212
123393400,512,2.0676,marginal,,29.999999999999996,,True,0.0
123393400,1024,0.05,joint,29.88026355804979,29.999999999999996,0.11973644195020824,False,95042.85992886657
123393400,1024,0.05,marginal,,29.999999999999996,,True,0.0
123393400,1024,0.1053,joint,29.9374826475841,29.999999999999996,0.06251735241589701,False,47102.922997958274
123393400,1024,0.1053,marginal,,29.999999999999996,,True,0.0
123393400,1024,0.2216,joint,30.086114111109175,29.999999999999996,0.08611411110917677,False,19942.86994242113
123393400,1024,0.2216,marginal,,29.999999999999996,,True,0.0
123393400,1024,0.4665,joint,29.953714752043062,29.999999999999996,0.04628524795693545,False,6913.803353897325
123393400,1024,0.4665,marginal,,29.999999999999996,,True,0.0
123393400,1024,0.9821,joint,30.496807274437025,29.999999999999996,0.49680727443702555,False,1348.344920734031
123393400,1024,0.9821,marginal,,29.999999999999996,,True,0.0
123393400,1024,2.0676,joint,31.37254310888907,29.999999999999996,1.3725431088890714,False,35.19253286405183
123393400,1024,2.0676,marginal,,29.999999999999996,,True,0.0
123393400,2048,0.05,joint,29.960417272982404,29.999999999999996,0.039582727017593355,False,188471.632456192
123393400,2048,0.05,marginal,,29.999999999999996,,True,0.0
123393400,2048,0.1053,joint,29.986289706340305,29.999999999999996,0.01371029365969139,False,92656.0538737367
123393400,2048,0.1053,marginal,,29.999999999999996,,True,0.0
123393400,2048,0.2216,joint,30.015787651211127,29.999999999999996,0.015787651211128816,False,39729.23481485396
123393400,2048,0.2216,marginal,,29.999999999999996,,True,0.0
123393400,2048,0.4665,joint,29.969026215049233,29.999999999999996,0.030973784950765408,False,13461.736161760073
123393400,2048,0.4665,marginal,,29.999999999999996,,True,0.0
123393400,2048,0.9821,joint,30.020309522310253,29.999999999999996,0.020309522310256446,False,2515.3555224206684
123393400,2048,0.9821,marginal,,29.999999999999996,,True,0.0
123393400,2048,2.0676,joint,32.36081680254903,29.999999999999996,2.360816802549033,False,73.72988907623585
123393400,2048,2.0676,marginal,,29.999999999999996,,True,0.0
123393400,4096,0.05,joint,30.100527175958533,29.999999999999996,0.10052717595853654,False,377149.79783806775
123393400,4096,0.05,marginal,,29.999999999999996,,True,0.0
123393400,4096,0.1053,joint,30.114751682137378,29.999999999999996,0.11475168213737984,False,186657.6873816824
123393400,4096,0.1053,marginal,,29.999999999999996,,True,0.0
123393400,4096,0.2216,joint,30.06495923170403,29.999999999999996,0.06495923170403116,False,80062.33978637378
123393400,4096,0.2216,marginal,,29.999999999999996,,True,0.0
123393400,4096,0.4665,joint,30.145352077639902,29.999999999999996,0.14535207763990574,False,27401.819650274134
123393400,4096,0.4665,marginal,,29.999999999999996,,True,0.0
123393400,4096,0.9821,joint,30.24678821218318,29.999999999999996,0.24678821218318042,False,4937.366848151782
123393400,4096,0.9821,marginal,,29.999999999999996,,True,0.0
123393400,4096,2.0676,joint,31.887361253796616,29.999999999999996,1.8873612537966173,False,119.5587235142957
123393400,4096,2.0676,marginal,,29.999999999999996,,True,0.0
295485566,128,0.05,joint,30.10270127489586,29.999999999999996,0.10270127489586234,False,11473.81648503158
295485566,128,0.05,marginal,,29.999999999999996,,True,0.0
295485566,128,0.1053,joint,30.44555812307047,29.999999999999996,0.44555812307047243,False,5621.016013641547
295485566,128,0.1053,marginal,,29.999999999999996,,True,0.0
295485566,128,0.2216,joint,30.078357224309087,29.999999999999996,0.07835722430908929,False,2415.8271703154546
295485566,128,0.2216,marginal,,29.999999999999996,,True,0.0
295485566,128,0.4665,joint,30.7574517710049,29.999999999999996,0.7574517710049022,False,801.3426691450211
295485566,128,0.4665,marginal,,29.999999999999996,,True,0.0
295485566,128,0.9821,joint,31.372589940664216,29.999999999999996,1.3725899406642177,False,142.65341424077133
295485566,128,0.9821,marginal,,29.999999999999996,,True,0.0
295485566,128,2.0676,joint,21.90191988497778,29.999999999999996,8.098080115022217,False,7.685875116120769
295485566,128,2.0676,marginal,,29.999999999999996,,True,0.0
295485566,512,0.05,joint,30.04933872143297,29.999999999999996,0.049338721432973374,False,44842.535382972506
295485566,512,0.05,marginal,,29.999999999999996,,True,0.0
295485566,512,0.1053,joint,30.105923324798795,29.999999999999996,0.10592332479879558,False,22513.317642472008
295485566,512,0.1053,marginal,,29.999999999999996,,True,0.0
