n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
32,em_bp,0.05,0.10720556030347683,0.5320338565847009,0.010688993456912429,6.546165244078885e-16
32,dsm_net_eps,0.05,0.379678807704541,1.8842490982249616,0.13407101689718096,1.9522168511910573e-16
32,dsm_net_x0,0.05,0.6220138830689075,3.086896277782369,0.3598341232967824,1.5302839478477152e-16
32,em_bp,0.0725,0.1031804332069389,0.381759269482998,0.009762925083040667,7.034185749847226e-16
32,dsm_net_eps,0.0725,0.4355231634103668,1.6114005295268001,0.17394332953749458,1.8415894572948042e-16
32,dsm_net_x0,0.0725,0.6164418551294379,2.280785076962946,0.3484732937613163,1.6294084038001973e-16
32,em_bp,0.1053,0.10042497463582294,0.27504744624941546,0.00889554655203998,7.397355885945614e-16
32,dsm_net_eps,0.1053,0.47795625893349475,1.3090433820402314,0.20149556038823987,1.9600142212590418e-16
32,dsm_net_x0,0.1053,0.6129066812852892,1.678650336612473,0.3313430660009881,1.8719678560758205e-16
32,em_bp,0.1527,0.09208742224632058,0.18808619891466322,0.007253390984728627,8.614223923186608e-16
32,dsm_net_eps,0.1527,0.4998410999318865,1.0209126312173349,0.21369993149909516,1.8324357094173019e-16
32,dsm_net_x0,0.1527,0.6023904864805424,1.2303671239858938,0.31038209827301383,1.7972478335052423e-16
32,em_bp,0.2216,0.08552812129340805,0.12913907418996864,0.006025456869190118,1.024407637010909e-15
32,dsm_net_eps,0.2216,0.5089004904596207,0.7683898254624887,0.21332308519130228,1.9708087164699113e-16
32,dsm_net_x0,0.2216,0.5979279526632992,0.9028125611966779,0.29448951096540604,2.001209404046415e-16
32,em_bp,0.3215,0.07602733024438223,0.08336449654087032,0.004441020431352534,1.406833713561669e-15
32,dsm_net_eps,0.3215,0.5201625601661172,0.5703618660325468,0.20788419410175615,2.1684107450490125e-16
32,dsm_net_x0,0.3215,0.5886559899309137,0.6454653882836341,0.2662357831660582,2.2228970792559e-16
32,em_bp,0.4665,0.06915347237374973,0.05144740126987617,0.0031768326587099643,2.080589030839925e-15
32,dsm_net_eps,0.4665,0.5530012986594011,0.4114107179047813,0.20315085620959156,2.536217657234468e-16
32,dsm_net_x0,0.4665,0.5877095761629593,0.43723227998717357,0.2294520219255639,2.772377896730852e-16
32,em_bp,0.6769,0.07335202356948421,0.034135222550240235,0.0029587743538466815,2.8746171348214164e-15
32,dsm_net_eps,0.6769,0.6404135762317116,0.2980239519657799,0.2255322783236211,3.2089048913432587e-16
32,dsm_net_x0,0.6769,0.6030648336009876,0.28064327751903173,0.19999339630294252,3.8349167945594575e-16
32,em_bp,0.9821,0.08984562388126809,0.024549896493519314,0.003337381373164617,3.973530941671862e-15
32,dsm_net_eps,0.9821,0.8561226161471803,0.23393150054753228,0.3030288098221608,3.8266726192721023e-16
32,dsm_net_x0,0.9821,0.62857760597674,0.1717558908073925,0.1633540060049279,5.868185129123428e-16
32,em_bp,1.425,0.13309498328371067,0.016259856627500607,0.004046903788887773,5.857432349779399e-15
32,dsm_net_eps,1.425,1.5703691373719784,0.19184777965290328,0.5633820560599592,4.4083703062115516e-16
32,dsm_net_x0,1.425,0.7133797903453044,0.08715169291726965,0.11626288920609196,1.1377411958629081e-15
32,em_bp,2.0676,0.2890727321444237,0.009715192805736166,0.005659113950066454,9.613783090115507e-15
32,dsm_net_eps,2.0676,5.04614001799746,0.16959130955005916,1.7244586235035821,4.956213137221129e-16
32,dsm_net_x0,2.0676,1.0647038385505965,0.03578270076113082,0.07677005012029917,2.587339475169942e-15
32,em_bp,3.0,0.7069317136635735,0.004120844236041027,0.006797238572430554,2.3119000338571045e-14
32,dsm_net_eps,3.0,30.232226796381873,0.1762296062386637,12.431337493662841,4.839335412458723e-16
32,dsm_net_x0,3.0,2.0408257104963434,0.011896375142487165,0.05664863076105377,7.85884471484858e-15
64,em_bp,0.05,0.03967575876919573,0.19690067279294726,0.0014640390859917277,1.736987615728531e-15
64,dsm_net_eps,0.05,0.3175902550784468,1.576119445155542,0.09380727610037709,2.2181307865707395e-16
64,dsm_net_x0,0.05,0.545613870750877,2.707742499922191,0.27686814716394,1.6106413502594657e-16
64,em_bp,0.0725,0.04747100916375051,0.17563889990292608,0.002066532269873573,1.489509080553456e-15
64,dsm_net_eps,0.0725,0.37032928663611325,1.3701884508549895,0.12576545894771984,2.044745048010026e-16
64,dsm_net_x0,0.0725,0.5345729863498393,1.9778768746295101,0.2620591211677254,1.7255606370662114e-16
64,em_bp,0.1053,0.044838501330380316,0.12280526163232787,0.0017733373129323149,1.6177079858766128e-15
64,dsm_net_eps,0.1053,0.41674768630784564,1.1414031944244778,0.15319181798424547,2.0540416063120627e-16
64,dsm_net_x0,0.1053,0.5282047691433526,1.4466657659260922,0.24608991234174965,1.9896273272042133e-16
64,em_bp,0.1527,0.0493009164794617,0.10069585788630037,0.002078980621303917,1.5384779338063034e-15
64,dsm_net_eps,0.1527,0.4347996552070473,0.8880671479602337,0.1617032832144955,2.0355762307624685e-16
64,dsm_net_x0,0.1527,0.5144483561250736,1.050747577477425,0.22637268574598135,1.9700895106756957e-16
64,em_bp,0.2216,0.049421523522234986,0.07462165304467042,0.0020118906662271252,1.785306622039872e-15
64,dsm_net_eps,0.2216,0.4459119345778933,0.6732832842674078,0.16378356104929628,2.1062234394953342e-16
64,dsm_net_x0,0.2216,0.5094740199619919,0.7692557987568485,0.21380418523977102,2.1610649098031142e-16
64,em_bp,0.3215,0.04772234440957956,0.05232788265307506,0.0017497936341166129,2.1762501664027416e-15
64,dsm_net_eps,0.3215,0.46002351325043184,0.5044189826975852,0.1625935643282782,2.3937756889547843e-16
64,dsm_net_x0,0.3215,0.49826687479572135,0.5463530946939633,0.1907512192417246,2.5125763883972035e-16
64,em_bp,0.4665,0.0417081955934003,0.031029219521168567,0.0011556043227326379,3.4562190290807792e-15
64,dsm_net_eps,0.4665,0.5010756580133535,0.3727801303317608,0.16679113560171363,2.7576263586237997e-16
64,dsm_net_x0,0.4665,0.5031425900700582,0.374317844625327,0.1681699971616594,3.1197843390004828e-16
64,em_bp,0.6769,0.04231597538765036,0.01969223433787937,0.0009846828156737197,5.093149865234536e-15
64,dsm_net_eps,0.6769,0.6093319159349401,0.28355973762196934,0.20417167890693405,3.2659797386978477e-16
64,dsm_net_x0,0.6769,0.5025815842830459,0.23388222157092875,0.13889953414644546,4.588609513725352e-16
64,em_bp,0.9821,0.05061791856023959,0.01383110949302847,0.0010593038377452503,7.0990213911298015e-15
64,dsm_net_eps,0.9821,0.8260445341751729,0.22571280533192342,0.282110274799043,3.894429137773297e-16
64,dsm_net_x0,0.9821,0.5244526086962875,0.14330422232099846,0.11371676074774337,6.824109661929144e-16
64,em_bp,1.425,0.06877917645282565,0.008402567253016685,0.0010807206509749884,1.1313774294641637e-14
64,dsm_net_eps,1.425,1.561718754961285,0.19079098566788052,0.557192368105744,4.394179415281331e-16
64,dsm_net_x0,1.425,0.5953314621035244,0.07273004572237954,0.08096870197676875,1.2800792856895076e-15
64,em_bp,2.0676,0.13066844123072374,0.004391521437405057,0.001156313524279438,2.187333409467017e-14
64,dsm_net_eps,2.0676,5.186875426646752,0.17432116289692842,1.8219892901211379,4.80512649160738e-16
64,dsm_net_x0,2.0676,0.868027918395088,0.029172791654928056,0.051027180456442306,3.2480722837594897e-15
64,em_bp,3.0,0.2937718503606511,0.0017124539936058236,0.0011738103666989804,5.555532785619966e-14
64,dsm_net_eps,3.0,31.59321347795337,0.18416306574215338,13.575792376251975,4.588795767360677e-16
64,dsm_net_x0,3.0,1.6850035393470797,0.009822217604077666,0.0386170609993739,9.72975779862061e-15
128,em_bp,0.05,0.012102318512969619,0.060060720487301336,0.000136219520304617,5.901331685147036e-15
128,dsm_net_eps,0.05,0.2617822863191095,1.299158728163461,0.06373569149481484,2.6728146679986535e-16
128,dsm_net_x0,0.05,0.4744716630336714,2.3546818654682595,0.20937399966235926,1.7304411924650493e-16
128,em_bp,0.0725,0.012861091609921082,0.04758500022877591,0.00015168440289134596,5.4223044812813016e-15
128,dsm_net_eps,0.0725,0.30857508931088173,1.14170290833835,0.08731864536007841,2.382506820714013e-16
128,dsm_net_x0,0.0725,0.47124097836763906,1.7435535601141938,0.20364387896304315,1.8108696690389e-16
128,em_bp,0.1053,0.013241909747905135,0.03626740731410993,0.00015466442184049577,5.485156552298929e-15
128,dsm_net_eps,0.1053,0.3452849421573189,0.9456785218332606,0.10515851722966232,2.3794788182525427e-16
128,dsm_net_x0,0.1053,0.4514052414381321,1.2363245231716522,0.17973074329950967,2.0749752399703662e-16
128,em_bp,0.1527,0.014415852515194057,0.02944400915517618,0.00017775470988360016,5.251564048212328e-15
128,dsm_net_eps,0.1527,0.36846012158769487,0.7525703514177063,0.11612385317916954,2.270396464667262e-16
128,dsm_net_x0,0.1527,0.4387050635408428,0.8960438443515,0.16462119501209094,2.148357923218631e-16
128,em_bp,0.2216,0.014601327001205278,0.022046571611365095,0.00017561304433079533,6.061533945709851e-15
128,dsm_net_eps,0.2216,0.38012401327130085,0.5739499758544864,0.11902076266109424,2.39005196537968e-16
128,dsm_net_x0,0.2216,0.4312447430954431,0.6511372637496323,0.1531862360637056,2.413462466458897e-16
128,em_bp,0.3215,0.01653949747978928,0.01813567405312788,0.00021017831756955205,6.3967260813091754e-15
128,dsm_net_eps,0.3215,0.3907132268239173,0.42841977143399035,0.11728960349682516,2.7052788543353455e-16
128,dsm_net_x0,0.3215,0.4162392123766961,0.4564091921788306,0.1331156977771308,2.801445381973375e-16
128,em_bp,0.4665,0.018078386421227863,0.01344959216939981,0.00021711292827898335,7.88967868139164e-15
128,dsm_net_eps,0.4665,0.44027483669974965,0.3275467654075374,0.12876981863271544,3.0519194078299078e-16
128,dsm_net_x0,0.4665,0.4155741176163664,0.30917042416657775,0.11472639245604183,3.648264341168471e-16
128,em_bp,0.6769,0.02552414443749881,0.011877959303374472,0.00035825316366122574,8.281182931260995e-15
128,dsm_net_eps,0.6769,0.5586978167770332,0.25999656704701163,0.17164912569385007,3.6047990966968196e-16
128,dsm_net_x0,0.6769,0.42989888069695775,0.20005847490749762,0.10162961394696257,5.13602025270779e-16
128,em_bp,0.9821,0.04516856973823091,0.012342100415477987,0.0008434991667863581,7.91753029061904e-15
128,dsm_net_eps,0.9821,0.7620596725428082,0.2082292411652082,0.24009877253506073,4.2107206154897994e-16
128,dsm_net_x0,0.9821,0.4248111675660556,0.11607766458185963,0.07461116657334319,8.625087315958141e-16
128,em_bp,1.425,0.0947361540754235,0.011573661491234585,0.0020503641873995753,8.209198189484851e-15
128,dsm_net_eps,1.425,1.5076676696455005,0.18418770975084586,0.5192909469802682,4.697221130543135e-16
128,dsm_net_x0,1.425,0.4567696189535631,0.055802317508476675,0.047664377734018964,1.7177181854477188e-15
128,em_bp,2.0676,0.237323209263244,0.007975988320187064,0.0038142979071173824,1.1781926906409132e-14
128,dsm_net_eps,2.0676,5.180697062004753,0.17411351963955204,1.817651337528638,4.849838548841981e-16
128,dsm_net_x0,2.0676,0.6766004976801944,0.022739274779248444,0.031002649491825317,4.125326678310506e-15
128,em_bp,3.0,0.6001986928798593,0.0034986764297440676,0.004899679512870274,2.7140148631261987e-14
128,dsm_net_eps,3.0,31.561992566701523,0.1839810728994368,13.548974010192953,4.579966247520248e-16
128,dsm_net_x0,3.0,1.305847163874065,0.007612040391445579,0.02319328601223201,1.233655242527867e-14
256,em_bp,0.05,0.010048747785623131,0.0498693726621814,9.391307939031119e-05,6.946338768732786e-15
256,dsm_net_eps,0.05,0.17765421793787228,0.8816525788444554,0.02935305008128342,3.926869124132588e-16
256,dsm_net_x0,0.05,0.38795238358990214,1.9253087454445108,0.13997775964932163,2.0083979792503536e-16
256,em_bp,0.0725,0.011261252650117416,0.041665725288728334,0.00011629436377507335,6.279379452776953e-15
256,dsm_net_eps,0.0725,0.2061971404623025,0.7629127661685174,0.03898975796383382,3.398720576821132e-16
256,dsm_net_x0,0.0725,0.3819453306975115,1.4131668757106772,0.133778916152766,2.1285658925129938e-16
256,em_bp,0.1053,0.012588162405614951,0.03447690114130462,0.00013976996291960092,5.803108850337338e-15
256,dsm_net_eps,0.1053,0.23124719689589057,0.6333479414777179,0.0471674208628743,3.2323402839035214e-16
256,dsm_net_x0,0.1053,0.3650002806070203,0.9996755829447797,0.11751020177995915,2.444347698931555e-16
256,em_bp,0.1527,0.013959785524026528,0.028512504018788506,0.00016668554818079302,5.4432337977234366e-15
256,dsm_net_eps,0.1527,0.2609323491730042,0.5329476331582836,0.058236639220565004,2.9257935343535147e-16
256,dsm_net_x0,0.1527,0.3576966842170286,0.7305863065511929,0.10943853847479436,2.5366376908443273e-16
256,em_bp,0.2216,0.0157588109426127,0.023794258831926443,0.00020455919591863292,5.593675825736636e-15
