family,n_train,seconds,em_iters,final_log_evidence,monotone_violation,heldout_loglik_per_image,rho_d0,rho_d1,rho_d2,rho_d3
gaussian,2000,8161.315824761987,25,-14108980.618835546,0.0,-918.8030241655222,0.22032353548015407,0.3420291814388396,0.3948788522209914,0.3051025551012309
mixture,2000,7966.679641905241,25,-14102840.589409035,0.0,-922.3311067978115,0.22698612846595317,0.31307648225936346,0.38947052495087353,0.3130629652576783
