t,alpha,delta,fitted_at_this_t,mse_raw_rescaled,mse_gaussian,loglik_per_image_gaussian,mse_mixture,loglik_per_image_mixture
0.2,0.8187307530779818,0.3296799539643607,False,0.4897083489602661,0.12129467747427708,-1089.468780125401,0.12067714809326478,-1087.6101790274759
0.4,0.6703200460356393,0.5506710358827784,False,1.2259753958228148,0.1823115115886825,-1262.5889708837901,0.17995444320105605,-1261.5633802777945
0.8,0.44932896411722156,0.7981034820053446,False,3.9458048062264406,0.281015358898137,-1388.0409968561273,0.2781291570708161,-1387.7364114401778
1.5,0.22313016014842982,0.950212931632136,False,19.04325304491457,0.45579082918220276,-1441.696563861094,0.4545699302304952,-1441.6898641701891
