n_components,init_id,rho_init,iteration,log_evidence,seconds,rho_hat
4,0,0.0,0,-117106.99662481653,1.672632750000048,0.0
4,0,0.0,1,-113312.62092221435,1.7721617499992135,0.22001680148137498
4,0,0.0,2,-110761.2117848232,1.3384857080018264,0.38604790042956677
4,0,0.0,3,-109088.25841177873,1.214282542001456,0.5044174808866141
4,0,0.0,4,-107977.5391788404,1.2456641249955283,0.5862997498316569
4,0,0.0,5,-107212.49226067276,1.2101439590041991,0.6429078968320432
4,0,0.0,6,-106664.80465533413,1.2205504170051427,0.6829114856463575
4,0,0.0,7,-106260.95443467236,1.2170415829968988,0.7121514712363485
4,0,0.0,8,-105956.9865297672,1.213892833002319,0.7343082972224214
4,0,0.0,9,-105724.8244329407,1.4184047079979791,0.7516509483824518
4,0,0.0,10,-105545.49776154119,1.2380415410007117,0.7655896878277693
4,0,0.0,11,-105405.68240003061,1.263543708002544,0.7770254989464932
4,0,0.0,12,-105295.77514091943,1.2183695410058135,0.7865563175310714
4,0,0.0,13,-105208.72721956011,1.2318001250023372,0.7945956065885433
4,0,0.0,14,-105139.29221184604,1.2261023329992895,0.8014405583386052
4,0,0.0,15,-105083.52074922933,1.2206333330032066,0.8073120696202416
4,0,0.0,16,-105038.41149302918,1.2105127909962903,0.812378923014576
4,0,0.0,17,-105001.66506815315,1.2608490419952432,0.8167729898694811
4,0,0.0,18,-104971.50771347267,1.52613599999313,0.8205991827864456
4,0,0.0,19,-104946.56311128825,1.2656055420011398,0.8239422231904517
4,0,0.0,20,-104925.75806902198,1.2296194580048905,0.8268713981686421
4,0,0.0,21,-104908.25233072005,1.2632505419969675,0.8294439972182522
4,0,0.0,22,-104893.38581174744,1.2730667910000193,0.8317078511926012
4,0,0.0,23,-104880.63856423064,1.7817432499941788,0.8337032420234443
4,0,0.0,24,-104869.60014781593,1.331478916996275,0.8354643604355004
4,0,0.0,25,-104859.94602110512,1.2418617499934044,0.8370204324221097
4,0,0.0,26,-104851.41922470432,1.231963584003097,0.8383965990539495
4,0,0.0,27,-104843.81608887299,1.2237052080017747,0.8396146101879289
4,0,0.0,28,-104836.97502788217,1.2012262920034118,0.8406933762544438
4,0,0.0,29,-104830.76771999063,1.2532992499982356,0.8416494108335446
4,0,0.0,30,-104825.09214396807,1.236297374998685,0.8424971885394562
4,0,0.0,31,-104819.86706924846,1.2164814160059905,0.8432494367800903
4,0,0.0,32,-104815.02769017781,1.2549650000000838,0.84391737556837
4,0,0.0,33,-104810.52216460074,1.2306579999931273,0.8445109162846529
4,0,0.0,34,-104806.3088696661,1.2264522499972372,0.8450388278166331
4,0,0.0,35,-104802.35422781561,1.2196022499992978,0.8455088766208291
4,0,0.0,36,-104798.63098673413,1.2175337500011665,0.8459279458066725
4,0,0.0,37,-104795.1168609437,1.2235897909995401,0.8463021372314578
4,0,0.0,38,-104791.79346143127,1.2243416250057635,0.8466368597326432
4,0,0.0,39,-104788.64545445524,1.2270644589953008,0.8469369059546071
4,0,0.0,40,-104785.65990239562,1.2051566249938332,0.8472065197060609
4,0,0.0,41,-104782.82574887626,1.2067995420002262,0.8474494553787001
4,0,0.0,42,-104780.13341790141,1.2130207080044784,0.8476690306418789
4,0,0.0,43,-104777.5745027986,1.2267337910016067,0.8478681733824855
4,0,0.0,44,-104775.14152563803,1.3496995000023162,0.8480494636684421
4,0,0.0,45,-104772.82775173709,1.2455845830045291,0.8482151713663395
4,0,0.0,46,-104770.62704703369,1.220245791002526,0.8483672899291976
4,0,0.0,47,-104768.53376866801,1.209040041998378,0.8485075667817543
4,0,0.0,48,-104766.54268116929,1.2161654580049799,0.8486375306621066
4,0,0.0,49,-104764.64889228478,1.2366194589994848,0.8487585162253548
4,0,0.0,50,-104762.847803803,1.2433497079982772,0.8488716861734584
4,0,0.0,51,-104761.13507376323,1.2402670000010403,0.8489780511429427
4,0,0.0,52,-104759.50658726659,1.2118915419996483,0.8490784875562187
