t,half_width,n_grid,spacing,n_chains,boundary_mass_max,boundary_mass_p99,boundary_mass_p90,boundary_mass_median,kernel_norm_residual_max,kernel_norm_residual_interior
0.02,4.0,201,0.040000000000000036,256,0.005232965812359101,0.0031915787482224124,0.0005680829914415458,5.5167339549993146e-05,0.09900160143542569,0.0015222140742985335
0.05,4.0,201,0.040000000000000036,256,0.004428523347045461,0.0022421305362874586,0.0003975193746075165,5.823332975029168e-05,0.09900160143542569,0.0015222140742985335
0.1,4.0,201,0.040000000000000036,256,0.0034069306062873604,0.002459678316729363,0.0006748628944764788,7.048024714317758e-05,0.09900160143542569,0.0015222140742985335
0.2,4.0,201,0.040000000000000036,256,0.0018179926679810065,0.0014500888556446664,0.0003797383062988423,6.871975278260434e-05,0.09900160143542569,0.0015222140742985335
0.4,4.0,201,0.040000000000000036,256,0.0012027253441680178,0.0007618173740487794,0.00026948867764141566,8.246436972332505e-05,0.09900160143542569,0.0015222140742985335
0.8,4.0,201,0.040000000000000036,256,0.0005394417662751198,0.00031763898523287415,0.00019079587502263264,5.911150910672512e-05,0.09900160143542569,0.0015222140742985335
1.6,4.0,201,0.040000000000000036,256,8.459282000887193e-05,6.446717473614895e-05,4.975629066805317e-05,3.1593547561777625e-05,0.09900160143542569,0.0015222140742985335
0.02,4.0,401,0.020000000000000018,256,0.0027208556666498693,0.001838565997211892,0.00025995291906885404,2.80324198270173e-05,0.09965019054213575,0.001024461875802185
0.05,4.0,401,0.020000000000000018,256,0.001858231950046526,0.0011073373335535124,0.00021643690137660012,3.3123577704415495e-05,0.09965019054213575,0.001024461875802185
0.1,4.0,401,0.020000000000000018,256,0.0015826292990736995,0.00126338651048514,0.00020922395227194356,3.3162955538301796e-05,0.09965019054213575,0.001024461875802185
0.2,4.0,401,0.020000000000000018,256,0.0009588407231579761,0.0006089905691864588,0.00018909646700592398,3.2915525707019616e-05,0.09965019054213575,0.001024461875802185
0.4,4.0,401,0.020000000000000018,256,0.0004982002624096696,0.00027214367863230294,0.00013632293597726016,3.368026007406601e-05,0.09965019054213575,0.001024461875802185
0.8,4.0,401,0.020000000000000018,256,0.0002385993489354704,0.0001543741296039346,8.311373054524839e-05,3.2399617258330684e-05,0.09965019054213575,0.001024461875802185
1.6,4.0,401,0.020000000000000018,256,4.0373133514300345e-05,3.789738599377886e-05,2.6748829359180692e-05,1.665803902311429e-05,0.09965019054213575,0.001024461875802185
0.02,4.0,801,0.009999999999999787,256,0.0010469464724341111,0.00039659559091715393,7.975000966560976e-05,1.2631867271339354e-05,0.09981236703104945,0.0010101432319229442
0.05,4.0,801,0.009999999999999787,256,0.0010782707257967223,0.0006163242254056785,0.00011821243097749038,1.7070464985908007e-05,0.09981236703104945,0.0010101432319229442
0.1,4.0,801,0.009999999999999787,256,0.0008534382869621067,0.0006041247360755383,0.0001233357607670872,1.5453188318861562e-05,0.09981236703104945,0.0010101432319229442
0.2,4.0,801,0.009999999999999787,256,0.0007983498763646342,0.00031649189450977367,0.00011896987428413884,1.6803280985970038e-05,0.09981236703104945,0.0010101432319229442
0.4,4.0,801,0.009999999999999787,256,0.0003073937281039385,0.000172375260881366,7.149382935363191e-05,2.0324520555140826e-05,0.09981236703104945,0.0010101432319229442
0.8,4.0,801,0.009999999999999787,256,0.00017734454503821255,6.626664647845378e-05,3.5088839880733205e-05,1.489496698330338e-05,0.09981236703104945,0.0010101432319229442
1.6,4.0,801,0.009999999999999787,256,3.1940784409236955e-05,1.990348818297802e-05,1.2749450687094287e-05,7.762878927522497e-06,0.09981236703104945,0.0010101432319229442
0.02,6.0,201,0.05999999999999961,256,0.00010032761805660983,2.536100152533148e-05,2.4939731529531283e-06,3.3469827488106846e-07,0.042567017877987,0.0021611264915581962
0.05,6.0,201,0.05999999999999961,256,0.00018578733015914642,2.6942958392441557e-05,2.4346140696801044e-06,3.276080426619655e-07,0.042567017877987,0.0021611264915581962
0.1,6.0,201,0.05999999999999961,256,8.435231697230044e-05,2.4870029080431667e-05,2.759359932264952e-06,5.00135793906462e-07,0.042567017877987,0.0021611264915581962
0.2,6.0,201,0.05999999999999961,256,2.04602716991282e-05,1.643253538171829e-05,2.6568752184227753e-06,4.3316388135844676e-07,0.042567017877987,0.0021611264915581962
0.4,6.0,201,0.05999999999999961,256,6.176891322363014e-05,2.556845562336619e-05,4.266563690614233e-06,6.36924654470257e-07,0.042567017877987,0.0021611264915581962
0.8,6.0,201,0.05999999999999961,256,3.793730469653909e-05,1.1640459739458051e-05,3.4314077796914726e-06,7.607090026292832e-07,0.042567017877987,0.0021611264915581962
1.6,6.0,201,0.05999999999999961,256,3.9968987600745545e-06,2.108042698324153e-06,1.038751054475129e-06,5.152463882308492e-07,0.042567017877987,0.0021611264915581962
0.02,6.0,401,0.03000000000000025,256,0.0011691544217156678,1.1934890150363265e-05,1.4472542347738287e-06,1.8305028255263675e-07,0.04411542674282909,0.0005403810177404544
0.05,6.0,401,0.03000000000000025,256,6.627274728386146e-05,3.4631903973593484e-05,1.8320115618840552e-06,2.1535806068415512e-07,0.04411542674282909,0.0005403810177404544
0.1,6.0,401,0.03000000000000025,256,0.0002540776117257148,1.8017165480134567e-05,1.9673655947918372e-06,2.2469862331464672e-07,0.04411542674282909,0.0005403810177404544
0.2,6.0,401,0.03000000000000025,256,0.0001069767444376391,1.4270608203971104e-05,1.6403066430993593e-06,2.2176591977584202e-07,0.04411542674282909,0.0005403810177404544
0.4,6.0,401,0.03000000000000025,256,5.811497136048486e-05,1.848868921394491e-05,2.1213519171271673e-06,2.939250318456863e-07,0.04411542674282909,0.0005403810177404544
0.8,6.0,401,0.03000000000000025,256,2.3615174801771507e-05,8.714207440280273e-06,2.019156177821452e-06,4.2008181472957743e-07,0.04411542674282909,0.0005403810177404544
1.6,6.0,401,0.03000000000000025,256,1.6778571242336432e-06,9.58731960379808e-07,5.120263589729495e-07,2.433307778644394e-07,0.04411542674282909,0.0005403810177404544
0.02,6.0,801,0.01499999999999968,256,2.1664699061979457e-05,7.639343568559115e-06,7.872903425735516e-07,1.085376350394991e-07,0.044502685849997836,0.00013503042889140282
0.05,6.0,801,0.01499999999999968,256,7.1802204375700165e-06,4.144087279857834e-06,1.2267152676473208e-06,1.1488547350762291e-07,0.044502685849997836,0.00013503042889140282
0.1,6.0,801,0.01499999999999968,256,9.762527297207463e-05,1.1449664182191432e-05,7.681910543646933e-07,9.923707754363151e-08,0.044502685849997836,0.00013503042889140282
0.2,6.0,801,0.01499999999999968,256,2.4150652687395458e-05,1.4577514274904759e-05,9.261606351571129e-07,1.3996698778244963e-07,0.044502685849997836,0.00013503042889140282
0.4,6.0,801,0.01499999999999968,256,1.9636725546278117e-05,6.442502864463847e-06,8.847304225365774e-07,1.631228264292371e-07,0.044502685849997836,0.00013503042889140282
0.8,6.0,801,0.01499999999999968,256,7.564413130297473e-06,3.641400386729328e-06,9.926864684301452e-07,2.1754018813422994e-07,0.044502685849997836,0.00013503042889140282
1.6,6.0,801,0.01499999999999968,256,1.4524764435971257e-06,5.545554310094618e-07,2.6116854834296245e-07,1.1288432470525798e-07,0.044502685849997836,0.00013503042889140282
0.02,8.0,201,0.08000000000000007,256,6.976765453117704e-07,1.1718217503110003e-07,1.641139296644587e-08,2.511626369011828e-09,0.01618232729983471,0.0038408915859238224
