beta,t,augmented_max_abs_err
0.1,0.02,1.9539925233402755e-14
0.1,2.4,8.881784197001252e-16
0.25,0.02,4.440892098500626e-14
0.25,2.4,8.881784197001252e-16
0.5,0.02,4.263256414560601e-14
0.5,2.4,8.881784197001252e-16
1.0,0.02,4.8405723873656825e-14
1.0,2.4,6.661338147750939e-16
