model,strength,approx,t,rel_residual_median,sv1,sv2,sv2_over_sv1,effective_rank,residual_fro
A_beta,0.1,naive_chain,0.02,0.00131610647422778,0.010005051112025168,3.21703410479679e-14,3.2154099652026817e-12,1.0,0.010005051112025168
A_beta,0.1,chow_liu,0.02,0.0015522075239062464,0.006882965610111057,0.005529744916367909,0.8033956915671248,33.12983272485037,0.023389700433676604
A_beta,0.1,naive_chain,0.05,0.0012525688902799317,0.009727487358828267,1.6900145688258217e-14,1.7373598201513303e-12,1.0,0.009727487358828267
A_beta,0.1,chow_liu,0.05,0.0015843679604613222,0.0064494564006527914,0.004037952313168842,0.6260918846990166,34.37153554713234,0.015371696639413988
A_beta,0.1,naive_chain,0.1,0.0016933660533185878,0.009662180218867077,8.68160526012664e-15,8.985141100115587e-13,1.0,0.009662180218867077
A_beta,0.1,chow_liu,0.1,0.0017913562148089354,0.006340514515412066,0.0038364317001574255,0.6050663066588845,32.27541230351544,0.011237861625094365
A_beta,0.1,naive_chain,0.2,0.0018860489188645669,0.010090801200307293,6.3974730145777295e-15,6.339905907950013e-13,1.0,0.010090801200307293
A_beta,0.1,chow_liu,0.2,0.002016147896121626,0.0065896169419794376,0.003743447390331501,0.5680827009053757,24.18198971255959,0.009898936213363642
A_beta,0.1,naive_chain,0.4,0.0023519769675701043,0.011598169289383776,1.5385403527149787e-15,1.3265372442211723e-13,1.0,0.011598169289383776
A_beta,0.1,chow_liu,0.4,0.002277284412929739,0.007502655930193039,0.004072239489699504,0.542773056313503,14.206572605072742,0.010434791355206726
A_beta,0.1,naive_chain,0.8,0.0022233631203004258,0.014166435038856829,1.4976704309505938e-15,1.0571964131008711e-13,1.0,0.014166435038856829
A_beta,0.1,chow_liu,0.8,0.0021767961971265537,0.008972246076776947,0.004788038746970799,0.5336499585498196,8.034632918748501,0.01153034244714202
A_beta,0.1,naive_chain,1.6,0.0012418849821854451,0.00974164012249317,1.0198814485607332e-15,1.0469299170740828e-13,1.0,0.00974164012249317
A_beta,0.1,chow_liu,1.6,0.0011166080939412726,0.006005247225442184,0.002912135961510061,0.48493190241566314,5.2146943496659945,0.007091102077134906
A_beta,0.1,naive_chain,2.4,0.0003180573191208751,0.0029091906667979557,1.459717255041522e-15,5.017606001906302e-13,1.0,0.0029091906667979557
A_beta,0.1,chow_liu,2.4,0.0002479716277709285,0.0017788020426628246,0.0008135907367501416,0.45738126966180875,4.638282370284995,0.0020474212930974697
A_beta,0.25,naive_chain,0.02,0.00797159165187137,0.05187355357675642,3.8651257159691264e-14,7.45105251031234e-13,1.0,0.05187355357675642
A_beta,0.25,chow_liu,0.02,0.009072190881685028,0.034174952862548125,0.03355872712601852,0.981968497835006,33.3846912753147,0.14043494440062584
A_beta,0.25,naive_chain,0.05,0.008293882761759238,0.05042281077156944,2.6523627483525754e-14,5.260243742397821e-13,1.0,0.05042281077156944
A_beta,0.25,chow_liu,0.05,0.00923475168006089,0.030507956634443275,0.024830737796260924,0.81391022328343,34.94912975409894,0.08922032153658394
A_beta,0.25,naive_chain,0.1,0.009221578065264992,0.050165843628753426,1.0925878807956195e-14,2.1779517730852705e-13,1.0,0.050165843628753426
A_beta,0.25,chow_liu,0.1,0.009525751532946405,0.02994506143189056,0.023489572058257212,0.784422236423985,33.11448421453019,0.06307760931089987
A_beta,0.25,naive_chain,0.2,0.011670550685431744,0.052654053994218325,4.477047991073942e-15,8.502760284261386e-14,1.0,0.052654053994218325
A_beta,0.25,chow_liu,0.2,0.011134026485582463,0.03134506606790963,0.022825883501079367,0.7282129650525124,24.989542738013558,0.05432452022848824
A_beta,0.25,naive_chain,0.4,0.011598907178224056,0.06122522207556056,1.4391163906962242e-15,2.3505286578138527e-14,1.0,0.06122522207556056
A_beta,0.25,chow_liu,0.4,0.012066071844508837,0.03631295619205191,0.024742591166030854,0.6813708868859994,14.710093978661671,0.05669131147816066
A_beta,0.25,naive_chain,0.8,0.01357210383997509,0.07683985753082478,1.0616639888004148e-15,1.381657934977979e-14,1.0,0.07683985753082478
A_beta,0.25,chow_liu,0.8,0.012851668719537367,0.04529376105693281,0.028930118854237657,0.6387219382791688,8.281881089689515,0.06264795641906365
A_beta,0.25,naive_chain,1.6,0.006364396829038596,0.05583608172860801,8.925476962617855e-16,1.5985142019814804e-14,1.0,0.05583608172860801
A_beta,0.25,chow_liu,1.6,0.0056394332728452855,0.03317676648186067,0.01744595635647669,0.5258486045050602,5.258868004338849,0.040032284282676404
A_beta,0.25,naive_chain,2.4,0.0021268449854051044,0.01712831895738618,1.0154685696883962e-15,5.928594465194143e-14,1.0,0.01712831895738618
A_beta,0.25,chow_liu,2.4,0.001666701788901309,0.010273021134043265,0.004858360467648189,0.4729242161829401,4.608185649409132,0.011901423425327321
A_beta,0.5,naive_chain,0.02,0.024123940925179437,0.13829494274190854,3.254561280194165e-14,2.3533480080091976e-13,1.0,0.13829494274190854
A_beta,0.5,chow_liu,0.02,0.02666935905927481,0.12125552522154122,0.12092660782658107,0.9972874028267232,33.61923215973626,0.5087785165830332
A_beta,0.5,naive_chain,0.05,0.02542148287595752,0.133918938278541,3.56213680333958e-14,2.659920134619505e-13,1.0,0.133918938278541
A_beta,0.5,chow_liu,0.05,0.02714657005199617,0.09435973388196459,0.07314219244798534,0.7751419958377537,35.5807852406679,0.3008940797612301
A_beta,0.5,naive_chain,0.1,0.029136590111788593,0.13329096735748255,1.2034826440196392e-14,9.028988744540605e-14,1.0,0.13329096735748255
A_beta,0.5,chow_liu,0.1,0.028223150965885357,0.08801869697824168,0.07145099598384502,0.8117706627889276,33.748994197074275,0.2023996461475999
A_beta,0.5,naive_chain,0.2,0.03670242903050057,0.1407344312538582,3.5282487663767022e-15,2.5070259885531573e-14,1.0,0.1407344312538582
A_beta,0.5,chow_liu,0.2,0.032429246055989194,0.08443452513395179,0.07234079573431614,0.8567679585992878,25.240155066874053,0.16888168541513854
A_beta,0.5,naive_chain,0.4,0.0386893284391579,0.16607783334118942,1.69124887350604e-15,1.018347144517202e-14,1.0,0.16607783334118942
A_beta,0.5,chow_liu,0.4,0.03614521126586555,0.09044395167176761,0.07873973615710739,0.870591506692053,14.831787525012185,0.17049948440529317
A_beta,0.5,naive_chain,0.8,0.04415076598380063,0.2161234242681421,9.657305949610828e-16,4.468421681876144e-15,1.0,0.2161234242681421
A_beta,0.5,chow_liu,0.8,0.03817042082511321,0.10347203663602926,0.10128417407817443,0.9788555185634279,8.46359073590412,0.18068978593573906
A_beta,0.5,naive_chain,1.6,0.02158411732638974,0.17335231232509973,8.453989141732725e-16,4.876767450253774e-15,1.0,0.17335231232509973
A_beta,0.5,chow_liu,1.6,0.01795150278901657,0.09135622811977388,0.060502697561630445,0.6622722807941186,5.3042509960109685,0.1186651960476361
A_beta,0.5,naive_chain,2.4,0.006812465830689983,0.05678382295843494,1.3960574466274624e-15,2.458547829105059e-14,1.0,0.05678382295843494
A_beta,0.5,chow_liu,2.4,0.005320210785228919,0.03189849354281065,0.016683467344402177,0.5230174058850604,4.503288900166698,0.0377409228846001
A_beta,1.0,naive_chain,0.02,0.05524357170855528,0.3146172744691736,7.775151754457881e-14,2.47130478374915e-13,1.0,0.3146172744691736
A_beta,1.0,chow_liu,0.02,0.054576280459341625,0.3665689802349972,0.3377964327229135,0.9215085043648854,34.08928241160801,1.524424604328467
A_beta,1.0,naive_chain,0.05,0.07141574185826918,0.29957438552812854,2.5980468225602242e-14,8.67245982322571e-14,1.0,0.29957438552812854
A_beta,1.0,chow_liu,0.05,0.052897818798295776,0.32560521779624635,0.2552610926433785,0.7839588516763665,35.34777021430617,0.8000088920926592
A_beta,1.0,naive_chain,0.1,0.07728003916373426,0.29569506468871865,1.477432030918935e-14,4.996471728313232e-14,1.0,0.29569506468871865
A_beta,1.0,chow_liu,0.1,0.05969436901354454,0.2917941975612462,0.23688378007945338,0.8118179938438721,30.942248197470636,0.5434437972123729
A_beta,1.0,naive_chain,0.2,0.08647183387745935,0.3101427705728997,5.543787179722558e-15,1.7874952137307613e-14,1.0,0.3101427705728997
A_beta,1.0,chow_liu,0.2,0.06593616789345429,0.27060986897432543,0.22715519398603284,0.8394194744153421,20.79821094732782,0.4587949438785515
A_beta,1.0,naive_chain,0.4,0.10522125618964992,0.3605758476048031,1.8560176634939077e-15,5.1473710061915536e-15,1.0,0.3605758476048031
A_beta,1.0,chow_liu,0.4,0.07308658298524545,0.27852489195601554,0.2285566438243381,0.8205968314689503,11.962436914047657,0.43450561615233646
A_beta,1.0,naive_chain,0.8,0.1134576930361327,0.45375738036012625,1.4425927968847176e-15,3.179216161155987e-15,1.0,0.45375738036012625
A_beta,1.0,chow_liu,0.8,0.07257202847790706,0.2903788550538943,0.20541653133200624,0.7074087102309186,7.313394227027337,0.4001905731613164
A_beta,1.0,naive_chain,1.6,0.05617011853177957,0.3753539580198357,1.7655827316996538e-15,4.703780775388416e-15,1.0,0.3753539580198357
