t,pointwise_rel_score_dev,trajectory_rel_divergence
3.0,1.1375509295666296e-05,0.0
2.7935550822671877,2.0850439940485682e-05,4.609161116767631e-06
2.601316665886944,4.8667730944825344e-05,1.0104353772286949e-05
2.4223071308582695,9.611365979853838e-05,2.185722097030799e-05
2.2556161320737225,0.00021107118938978954,4.223687133511226e-05
2.1003959697994676,0.0003983470075863751,8.850449310163658e-05
1.955857278735607,0.000528029688725095,0.00017451935108466862
1.8212650137337085,0.0008079276620259036,0.0002682084528738061
1.6959347117570736,0.0011894275871943713,0.0003909763302819111
1.5792290110741036,0.0023836533895738904,0.0005732110131545657
1.470554409983282,0.0031437261455259367,0.0009444925463296628
1.3693582485864075,0.004438596016198102,0.0014272838501091286
1.2751258982610179,0.005481233933042385,0.0020270690569749827
1.1873781445391929,0.005940007130728734,0.002745139022875456
1.1056687500834819,0.007614523710364466,0.003415565636943331
1.0295821853665732,0.010195270116385742,0.0041910970703707105
0.9587315155141827,0.012301676850697099,0.005203827468324884
0.8927564325647893,0.013141944414528752,0.006397505706198763
0.8313214231393636,0.014636743228780669,0.00755093890315403
0.7741140622028533,0.01659354994984214,0.008750542626479998
0.7208434242404262,0.018433301973503884,0.00993910046651803
0.671238603768575,0.021449631060446187,0.011106899698314762
0.6250473376572112,0.024986851297425547,0.012382520687941854
0.5820347222566258,0.02825250292311276,0.013818513489605163
0.5419820188053226,0.033193120947870934,0.015444092719877926
0.5046855410436797,0.03815796508506743,0.017223114011917708
0.4699556193764456,0.0413236733061787,0.01913496194385609
0.43761563631636446,0.04623784818787248,0.02108858864930418
0.4075011283037231,0.05127979245500493,0.0232598781508273
0.37945894933415963,0.053101088914352244,0.025468261584218187
0.35334649214140285,0.05896085181524427,0.0276364786764832
0.3290309629742996,0.06605536107006914,0.029826544596209273
0.30638870628004045,0.07129051841138433,0.032042508911600265
0.2853045758592918,0.07556706647228215,0.03439528676422505
0.2656713492952697,0.08209517494114166,0.03657006836764256
0.2473891826788606,0.08934350744892744,0.03881691274976018
0.23036510285681894,0.09679776879117848,0.041006445839389685
0.21451253462088993,0.10181216640598661,0.04329217449069533
0.19975086043340098,0.10917800476854896,0.0456712822447311
0.18600501045032372,0.11774511608478654,0.04802944091097597
0.17320508075688767,0.12416752137007274,0.05031540738118582
0.16128597787430077,0.1325858715179616,0.05244222679409442
0.15018708772972866,0.14020093533869463,0.05439997727463331
0.13985196740609712,0.15225130648103966,0.056443866041255036
0.1302280581041226,0.16347710010406097,0.058590527444553
0.12126641785685273,0.17218385187777216,0.06065251795439226
0.11292147263744916,0.18176677922212245,0.06265014105551563
0.10515078459448039,0.19079872527889924,0.06472696237961865
0.09791483623609769,0.19872526832858556,0.06675495849651134
0.09117682946557,0.2092558706059068,0.0688933961074184
0.08490249844618389,0.21893363375784053,0.07078483400298213
0.07905993534383969,0.2264287641133712,0.07273681755349483
0.07361942806116618,0.23869672486573423,0.07458344653610346
0.06855330913795815,0.24851409328838325,0.07641739521798464
0.06383581504952553,0.25764329473480757,0.07810223219239289
0.0594429551874234,0.26627458507586754,0.07971560634796256
0.05535238985626912,0.2783436797171393,0.0814456642278141
0.0515433166662051,0.2872721109204236,0.08315207060116703
0.04799636474326144,0.29805055167759464,0.08468636737982813
0.0446934962196292,0.3067053589035417,0.0862169757180783
0.041617914502878155,0.31848001721348407,0.08767184824462769
0.03875397885762553,0.33074692366284153,0.08913957579415144
0.03608712486526497,0.3417106575158032,0.09054437558333885
0.03360379035725719,0.3534732402030788,0.09196087778806988
0.031291346445318974,0.3655011155015729,0.09311271311904509
0.02913803329776803,0.3745952839215046,0.09440071218759527
0.0271329003354168,0.3853764494941253,0.09559496186063214
0.025265750542884245,0.3930184111436456,0.09668482260224724
0.023527088612123073,0.4018034281573884,0.09779407689452661
0.021908072654448957,0.4107453363017149,0.09893655128180447
0.020400469235504887,0.4190881779227704,0.09995692801650012
0.018996611504493357,0.4285700807484061,0.10086998981397928
0.01768936020474426,0.43762720450805764,0.10172099874657879
0.01647206736733942,0.44633003940354843,0.10261482185188596
0.015338542503159504,0.4539413113993154,0.10360377285607084
0.014283021121424164,0.46240779892191686,0.10442886468656282
0.013300135414628015,0.47076533524967895,0.10524019238629999
0.012384886960791977,0.4787137961089061,0.10589178183127462
0.011532621304208346,0.4865042003045389,0.10657920242927292
0.010739004285411352,0.4942957728200154,0.10717061083103495
