t,score_norm_mean,posterior_var_mean,x_var,sampler
3.0,5.613688811424308,0.9864668806529013,0.9998502859205955,grid
2.7935550822671877,5.721376410868543,0.9798123445201855,1.0371314876285012,grid
2.601316665886944,5.787405795455687,0.9706289052025926,1.0647667876890219,grid
2.4223071308582695,5.868018280539755,0.958617147633503,1.094584827989047,grid
2.2556161320737225,5.9880925845350665,0.9435064826266601,1.1384081767384853,grid
2.1003959697994676,5.934980245812569,0.9251993688733751,1.1142737022109817,grid
1.955857278735607,5.9672406644797835,0.9034530176902726,1.1263827989313016,grid
1.8212650137337085,5.913037074611137,0.8775380637615109,1.102411912368112,grid
1.6959347117570736,5.835264701719509,0.8485665467603183,1.072009125244043,grid
1.5792290110741036,5.82011165717435,0.8184774736109647,1.0714503814102354,grid
1.470554409983282,5.833957024017135,0.7853807367025794,1.0708727926182737,grid
1.3693582485864075,5.814202941614003,0.7518468271091203,1.0633442531996193,grid
1.2751258982610179,5.823112452559319,0.7156457616406601,1.0562732915369581,grid
1.1873781445391929,5.814095409162382,0.6798311067669587,1.0445811187633023,grid
1.1056687500834819,5.82964321756132,0.6453822847736578,1.0417435175786707,grid
1.0295821853665732,5.870307189912751,0.6121247885671818,1.047901175021822,grid
0.9587315155141827,5.894555740856058,0.5796299597834177,1.0432526009458534,grid
0.8927564325647893,5.92763223668459,0.5482114656228592,1.0387837419487456,grid
0.8313214231393636,5.979957538521644,0.5181049719660963,1.0342177885903578,grid
0.7741140622028533,6.010393183432916,0.49038077126552204,1.0296070601791047,grid
0.7208434242404262,6.055366307941451,0.46404182260125476,1.031220820845026,grid
0.671238603768575,6.095394655301089,0.43917867515905684,1.0285853161555862,grid
0.6250473376572112,6.185750984104491,0.4161030899715999,1.032431341050618,grid
0.5820347222566258,6.286724354959984,0.39413909942541747,1.0371968260975972,grid
0.5419820188053226,6.355437818221526,0.3732518812915467,1.03258805852159,grid
0.5046855410436797,6.451032934786465,0.35400397296424074,1.036125992082452,grid
0.4699556193764456,6.568591089662782,0.3356603185105715,1.0383125991220488,grid
0.43761563631636446,6.668667003998214,0.31889860150664723,1.0429222875252864,grid
0.4075011283037231,6.7333623604709665,0.30283833919942155,1.036569132766977,grid
0.37945894933415963,6.835517172714253,0.28747152057905007,1.0337971997839142,grid
0.35334649214140285,6.921561015031427,0.27283110855869674,1.0260155647801878,grid
0.3290309629742996,7.023256550111846,0.2592989778255283,1.0233758432244628,grid
0.30638870628004045,7.171419020397369,0.2464736029723578,1.0276479303407178,grid
0.2853045758592918,7.291050693439535,0.2341970314182233,1.0230899037324641,grid
0.2656713492952697,7.433182310683183,0.2231277601144935,1.028198954943926,grid
0.2473891826788606,7.564976913193077,0.2124526210212304,1.0302307185705626,grid
0.23036510285681894,7.7057065489597605,0.2023488444124136,1.0370520855968277,grid
0.21451253462088993,7.845911498454614,0.1926285788281684,1.0391275694333317,grid
0.19975086043340098,7.969337440708648,0.18312591306087847,1.0327832200975655,grid
0.18600501045032372,8.057517161901833,0.17396665349072613,1.0272993785434401,grid
0.17320508075688767,8.184049525948929,0.16547066017809928,1.0247620258809405,grid
0.16128597787430077,8.3491214348577,0.15740390876091584,1.0274127011848093,grid
0.15018708772972866,8.534044418945365,0.14989426393229988,1.035172611829333,grid
0.13985196740609712,8.658540849393228,0.14257865010185955,1.0380684439002577,grid
0.1302280581041226,8.801991545142014,0.1354710141033422,1.038430127617207,grid
0.12126641785685273,8.975737807479724,0.1287591221938223,1.041372316659111,grid
0.11292147263744916,9.16728862794049,0.12251101838717225,1.0457501677007253,grid
0.10515078459448039,9.324160020912789,0.11640941061458734,1.046961622735368,grid
0.09791483623609769,9.553214422483826,0.11075897179915692,1.0483342402984925,grid
0.09117682946557,9.678883294251625,0.10499864456995,1.0438092020652352,grid
0.08490249844618389,9.86789032040781,0.09967423389659145,1.0469376300611577,grid
0.07905993534383969,10.055777774556809,0.09459577717099674,1.0471958180335683,grid
0.07361942806116618,10.258285184901442,0.08977231007801739,1.047924850614156,grid
0.06855330913795815,10.44237158933833,0.08518255481025712,1.0487388807649227,grid
0.06383581504952553,10.61466897653106,0.08079518373927443,1.0520487342383813,grid
0.0594429551874234,10.859098306323144,0.07671432550707005,1.055774392186,grid
0.05535238985626912,11.024811876494926,0.07267878993369237,1.0552149818575902,grid
0.0515433166662051,11.241751962016851,0.06883767348838771,1.0540302436763624,grid
0.04799636474326144,11.398121924880401,0.065169567998174,1.0557252037617209,grid
0.0446934962196292,11.557385894345689,0.06164793210474596,1.0560467740082597,grid
0.041617914502878155,11.726212134169481,0.05828812237007353,1.0568717722058443,grid
0.03875397885762553,11.88293998153341,0.05508170622465243,1.0563270559779425,grid
0.03608712486526497,11.997560452569324,0.05205843151086752,1.0567203251276769,grid
0.03360379035725719,12.119356976840454,0.04914715778496746,1.0555318705903658,grid
0.031291346445318974,12.316954710178372,0.046418539156463,1.059419873029116,grid
0.02913803329776803,12.520208493415394,0.043828480185538685,1.0594664494514008,grid
0.0271329003354168,12.660431989999422,0.041354013517201874,1.0604680851756105,grid
0.025265750542884245,12.875194356682721,0.039015118855021354,1.0623115334575663,grid
0.023527088612123073,13.057438039173038,0.036778679531631525,1.062402049154895,grid
0.021908072654448957,13.236172161551027,0.03466518347046293,1.0609570960761336,grid
0.020400469235504887,13.409732307210918,0.03264982035682062,1.061138680166258,grid
0.018996611504493357,13.583102914553297,0.03073698692986645,1.06251904780896,grid
0.01768936020474426,13.737142740965496,0.028912300647734493,1.0642488507559416,grid
0.01647206736733942,13.903091642569045,0.02720366915355307,1.0641293400504115,grid
0.015338542503159504,14.059013747252138,0.02557287709028902,1.0613348114665202,grid
0.014283021121424164,14.17248564082965,0.024030289493473758,1.061028911627052,grid
0.013300135414628015,14.337576063861167,0.022571404530005754,1.060274169221512,grid
0.012384886960791977,14.533323388692807,0.021209365973197936,1.0621225109028516,grid
0.011532621304208346,14.693884237280127,0.019916943081651196,1.0626230515876924,grid
0.010739004285411352,14.830168021094634,0.018687433235762396,1.064369686025484,grid
3.0,5.613688528771197,0.9863127261433254,0.9998502859205955,gauss
2.7935550822671877,5.721374103391657,0.9794999213700859,1.0371314316389373,gauss
2.601316665886944,5.787404455244086,0.9702538686824291,1.064766680290089,gauss
2.4223071308582695,5.8680322760508945,0.9581306679260717,1.0945843408405205,gauss
2.2556161320737225,5.988130840828572,0.9427640886224736,1.1384053559679606,gauss
2.1003959697994676,5.935049815761358,0.9239219175286759,1.114263982591071,gauss
1.955857278735607,5.9673118160236,0.901552166667342,1.1263618627714727,gauss
1.8212650137337085,5.913178084396933,0.8758073552285529,1.1023818549562783,gauss
1.6959347117570736,5.835356984008231,0.8470393634541835,1.0719538660983081,gauss
1.5792290110741036,5.820737141712016,0.815764880958952,1.0713701443144568,gauss
1.470554409983282,5.834348735895567,0.7826093086911353,1.070723428722081,gauss
1.3693582485864075,5.8154206931593615,0.7482418710902771,1.0631338689512646,gauss
1.2751258982610179,5.8241282368620935,0.7133149862234696,1.0559131891394975,gauss
1.1873781445391929,5.81352721931579,0.6784173107110602,1.044150795364589,gauss
1.1056687500834819,5.828782450794562,0.6440445466297007,1.0413219162745935,gauss
1.0295821853665732,5.870934727132119,0.6105873284697142,1.0474695702730872,gauss
0.9587315155141827,5.89536767304325,0.5783325567047974,1.0426329344569711,gauss
0.8927564325647893,5.927656590282375,0.5474735324258213,1.038036278642624,gauss
0.8313214231393636,5.9779484380484815,0.5181246153027228,1.0333416734566756,gauss
