n_chains,seed,arm,innov_kurtosis,innov_kurtosis_se,kurtosis_gap_in_se,innov_variance,innov_kl,cov_frobenius_rel,cov_worst_lag_abs,marginal_var,notes
128,0,exact,-0.042040436025287065,0.018045890303903286,2.3296404509448787,0.33542133498830434,0.001021692011699006,0.05881183332273492,0.01910477475750155,0.9901608479791143,
128,0,em_bp,-0.029282548814094866,0.018342528860149053,1.5964292076276396,0.3268489845357103,0.0012429726006772308,0.06552411348028897,0.03153075389031146,0.9690010658787424,
128,0,mlp,0.09954072685981297,0.024148641552923514,4.122001092345595,0.28949959351391236,0.007572724590274091,0.23048983487445238,0.16022969713235014,0.8471645181660012,
128,0,cnn,0.020983246743117245,0.019226729064841668,1.091358112570878,0.3042906972029768,0.0027061926632886923,0.16168368988361853,0.08983431878361647,0.910472523672363,
128,1,exact,-0.012160569389386922,0.01980804372388249,0.6139207666794962,0.3347041603640368,0.0010830419040431056,0.0661452122197297,0.04379210384539492,1.0142339175058581,
128,1,em_bp,-0.000899800203167711,0.02031106339718316,0.04430098934615604,0.32315934085180936,0.0016046427325842668,0.10961309779383989,0.04779575345395126,1.0298280849381223,
128,1,mlp,0.13271033521224496,0.02550594570705155,5.2031136871570665,0.29759882519017133,0.005441352080444609,0.3784879214624001,0.19837718468465954,0.9065129886096231,
128,1,cnn,0.06602621660431085,0.023098114366391156,2.858511112940981,0.31109885638761775,0.003091682112071807,0.1771211686143284,0.10588922155595626,0.8943639301597427,
128,2,exact,0.006540880562831752,0.017591310624752606,0.3718245162261035,0.3404259005489256,0.0011958346946621056,0.07524147935604926,0.028086939487554814,1.0119753262331366,
128,2,em_bp,-0.0014390547914051588,0.01738694667028518,0.08276638898677634,0.3516977205482975,0.0017301556354474817,0.07716664564086977,0.029073470778590238,1.0217657841159018,
128,2,mlp,0.07876014637110362,0.02377059546262289,3.3133434328537046,0.2997546596602058,0.0040613958475874,0.27776919343480266,0.19099282005068596,0.8120721601836239,
128,2,cnn,0.02311861116430336,0.018134198099103632,1.274862612504829,0.314782558012836,0.0018407500329061075,0.2682746990358922,0.1592970534120305,0.8405365500778376,
512,0,exact,0.02135849299866832,0.019683737212327697,1.085083222168387,0.3361695335486375,0.0007955268560271005,0.045642214551241844,0.017968741390008036,1.0052500358095284,
512,0,em_bp,0.04738835365988514,0.02039980780231157,2.322980398595491,0.3429563875687016,0.0011742332944251273,0.0438307072303895,0.01490356057995667,1.009145753946202,
512,0,mlp,0.08877546562568694,0.021930135246122417,4.048103882140161,0.32920560995754977,0.0010666526085654083,0.16857462481850452,0.0970426254847051,0.9042612486393405,
512,0,cnn,0.05141899072456013,0.020547109644724813,2.502492643181142,0.32072664058860995,0.0013483761750925553,0.16499347313633395,0.0675690342225924,1.009444702247617,
512,1,exact,0.018446642404932767,0.019755248790090763,0.9337590531477187,0.3371673155538874,0.0010050393210193113,0.05890601475854962,0.04010009762184678,1.0054011705384858,
512,1,em_bp,0.09979477957741434,0.02189314135152441,4.558266809457459,0.3387692016473695,0.0010364592396229447,0.07110092892284423,0.0385086553225785,0.9838793897614214,
512,1,mlp,0.1241777664032897,0.025518042271037943,4.8662732463699605,0.33448687990408293,0.0010916587940493546,0.17933639943201074,0.07720784758620391,0.9291188358445661,
512,1,cnn,0.08233667073294626,0.022962107220904755,3.5857628370442747,0.3171877916182439,0.002181369183924696,0.18735195206402536,0.08561285150508087,0.9960812147031086,
512,2,exact,-0.006528809876799269,0.021431862103843007,0.3046310136359346,0.3376371563357256,0.0013617259819581405,0.06545667973762732,0.03754677473120544,0.9898151280065957,
