seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,12,24,19489,0.1,0.02906779241505065,1.9280075537976743e-07,150765.96747660375
0,12,24,19489,0.2,0.04640742233723226,1.820454553403232e-05,2549.221690290281
0,12,24,19489,0.4,0.07352362933844894,0.0006226479441541154,118.08218436878137
0,12,24,19489,0.8,0.13578757713530049,0.008088245127546568,16.78826185334585
0,12,24,19489,1.6,0.32911113952548027,0.026720424891223508,12.316837807230337
1,12,24,19489,0.1,0.04450832778198392,1.9280075537976743e-07,230851.4180575386
1,12,24,19489,0.2,0.07038779923612885,1.820454553403232e-05,3866.4958213069935
1,12,24,19489,0.4,0.10350683679427124,0.0006226479441541154,166.23653505334892
1,12,24,19489,0.8,0.191426020872039,0.008088245127546568,23.667188352154312
1,12,24,19489,1.6,0.45419573059509105,0.026720424891223508,16.998072914037923
2,12,24,19489,0.1,0.032121796750019645,1.9280075537976743e-07,166606.17686247156
2,12,24,19489,0.2,0.04907080472040646,1.820454553403232e-05,2695.524841785888
2,12,24,19489,0.4,0.07804083425081956,0.0006226479441541154,125.33701425263712
2,12,24,19489,0.8,0.1914666668786304,0.008088245127546568,23.672213670495985
2,12,24,19489,1.6,0.5683553955982591,0.026720424891223508,21.27044752888413
