n_chains,n_components,baseline_components,n_pairs,mean_paired_diff,se_paired_diff,significant
128,2,1,6,1.0888702718061171e-05,7.674030345867843e-05,False
128,4,1,6,-0.0012870611115968348,8.878241721457222e-05,True
128,8,1,6,-0.0016991373355434948,6.0759405570688374e-05,True
128,16,1,6,-0.0016832439126768788,6.388446768260751e-05,True
512,2,1,6,3.787787903295229e-05,1.2951770655872425e-05,True
512,4,1,6,-0.00141237806940255,0.00010705414784775476,True
512,8,1,6,-0.0017414424561262222,5.0150092985945006e-05,True
512,16,1,6,-0.0017602559757666774,3.603283900254156e-05,True
