n_chains,seed,n_components,t,mse_vs_bayes,heldout_log_evidence_per_edge,em_seconds_total,fitted_rho,innovation_mean,innovation_var,innovation_excess_kurtosis,grid_spacing,s_min,s_median,s_min_over_h,s_median_over_h,resolved,min_weight,effective_n_components,column_mass_residual_max,column_mass_residual_interior
128,0,1,0.1,0.003697869449674115,-1.3194269515031618,14.305174746012199,0.8390454740698771,-0.004984861621869916,0.29155252400842,0.0,0.040000000000000036,0.5399560389591175,0.5399560389591175,13.498900973977925,13.498900973977925,True,1.0,1.0,0.00878901119894726,1.9984014443252818e-15
128,0,1,0.2,0.0033516152944373353,-1.3194269515031618,14.305174746012199,0.8390454740698771,-0.004984861621869916,0.29155252400842,0.0,0.040000000000000036,0.5399560389591175,0.5399560389591175,13.498900973977925,13.498900973977925,True,1.0,1.0,0.00878901119894726,1.9984014443252818e-15
128,0,1,0.4,0.0024248419342270825,-1.3194269515031618,14.305174746012199,0.8390454740698771,-0.004984861621869916,0.29155252400842,0.0,0.040000000000000036,0.5399560389591175,0.5399560389591175,13.498900973977925,13.498900973977925,True,1.0,1.0,0.00878901119894726,1.9984014443252818e-15
128,0,1,0.8,0.001403813104688246,-1.3194269515031618,14.305174746012199,0.8390454740698771,-0.004984861621869916,0.29155252400842,0.0,0.040000000000000036,0.5399560389591175,0.5399560389591175,13.498900973977925,13.498900973977925,True,1.0,1.0,0.00878901119894726,1.9984014443252818e-15
128,0,1,1.6,0.0007662067379454395,-1.3194269515031618,14.305174746012199,0.8390454740698771,-0.004984861621869916,0.29155252400842,0.0,0.040000000000000036,0.5399560389591175,0.5399560389591175,13.498900973977925,13.498900973977925,True,1.0,1.0,0.00878901119894726,1.9984014443252818e-15
128,0,2,0.1,0.003796739161580724,-1.319529895280814,14.273949707014253,0.837845867951247,-0.004950024865137112,0.2943127393464365,0.0014454755125568042,0.040000000000000036,0.4871479952314393,0.5125035355065929,12.178699880785972,12.81258838766481,True,0.49829673226792925,1.9999883955273534,0.010168933727197405,1.9984014443252818e-15
128,0,2,0.2,0.003436094074825691,-1.319529895280814,14.273949707014253,0.837845867951247,-0.004950024865137112,0.2943127393464365,0.0014454755125568042,0.040000000000000036,0.4871479952314393,0.5125035355065929,12.178699880785972,12.81258838766481,True,0.49829673226792925,1.9999883955273534,0.010168933727197405,1.9984014443252818e-15
128,0,2,0.4,0.0024996524069301855,-1.319529895280814,14.273949707014253,0.837845867951247,-0.004950024865137112,0.2943127393464365,0.0014454755125568042,0.040000000000000036,0.4871479952314393,0.5125035355065929,12.178699880785972,12.81258838766481,True,0.49829673226792925,1.9999883955273534,0.010168933727197405,1.9984014443252818e-15
128,0,2,0.8,0.0014572898543464448,-1.319529895280814,14.273949707014253,0.837845867951247,-0.004950024865137112,0.2943127393464365,0.0014454755125568042,0.040000000000000036,0.4871479952314393,0.5125035355065929,12.178699880785972,12.81258838766481,True,0.49829673226792925,1.9999883955273534,0.010168933727197405,1.9984014443252818e-15
128,0,2,1.6,0.0008173575765098083,-1.319529895280814,14.273949707014253,0.837845867951247,-0.004950024865137112,0.2943127393464365,0.0014454755125568042,0.040000000000000036,0.4871479952314393,0.5125035355065929,12.178699880785972,12.81258838766481,True,0.49829673226792925,1.9999883955273534,0.010168933727197405,1.9984014443252818e-15
128,0,4,0.1,0.0006977673303321599,-1.3177416989655317,17.0518284199934,0.8355086547000582,-0.00496808210244,0.2962886066572625,1.3795852686415344,0.040000000000000036,0.36468902864776465,0.5476116029676135,9.117225716194108,13.690290074190324,True,0.16262205742194724,3.763847661653953,0.015998038897541367,2.0011459156421552e-10
128,0,4,0.2,0.0007644937101987288,-1.3177416989655317,17.0518284199934,0.8355086547000582,-0.00496808210244,0.2962886066572625,1.3795852686415344,0.040000000000000036,0.36468902864776465,0.5476116029676135,9.117225716194108,13.690290074190324,True,0.16262205742194724,3.763847661653953,0.015998038897541367,2.0011459156421552e-10
128,0,4,0.4,0.000704460446877529,-1.3177416989655317,17.0518284199934,0.8355086547000582,-0.00496808210244,0.2962886066572625,1.3795852686415344,0.040000000000000036,0.36468902864776465,0.5476116029676135,9.117225716194108,13.690290074190324,True,0.16262205742194724,3.763847661653953,0.015998038897541367,2.0011459156421552e-10
128,0,4,0.8,0.0006787972447312278,-1.3177416989655317,17.0518284199934,0.8355086547000582,-0.00496808210244,0.2962886066572625,1.3795852686415344,0.040000000000000036,0.36468902864776465,0.5476116029676135,9.117225716194108,13.690290074190324,True,0.16262205742194724,3.763847661653953,0.015998038897541367,2.0011459156421552e-10
128,0,4,1.6,0.0009178404442574884,-1.3177416989655317,17.0518284199934,0.8355086547000582,-0.00496808210244,0.2962886066572625,1.3795852686415344,0.040000000000000036,0.36468902864776465,0.5476116029676135,9.117225716194108,13.690290074190324,True,0.16262205742194724,3.763847661653953,0.015998038897541367,2.0011459156421552e-10
128,0,8,0.1,0.000428655917673025,-1.3173995586837297,20.809590665943688,0.8356566780482195,-0.004958996213529247,0.2961362367396154,2.2433661909632843,0.040000000000000036,0.39273058694977697,0.4496092642418417,9.818264673744416,11.240231606046033,True,0.0722328090031132,7.656735776183124,0.014802197335771261,9.496209985027093e-08
128,0,8,0.2,0.0003389667927226514,-1.3173995586837297,20.809590665943688,0.8356566780482195,-0.004958996213529247,0.2961362367396154,2.2433661909632843,0.040000000000000036,0.39273058694977697,0.4496092642418417,9.818264673744416,11.240231606046033,True,0.0722328090031132,7.656735776183124,0.014802197335771261,9.496209985027093e-08
128,0,8,0.4,0.0003029545654863532,-1.3173995586837297,20.809590665943688,0.8356566780482195,-0.004958996213529247,0.2961362367396154,2.2433661909632843,0.040000000000000036,0.39273058694977697,0.4496092642418417,9.818264673744416,11.240231606046033,True,0.0722328090031132,7.656735776183124,0.014802197335771261,9.496209985027093e-08
128,0,8,0.8,0.0004350695750786829,-1.3173995586837297,20.809590665943688,0.8356566780482195,-0.004958996213529247,0.2961362367396154,2.2433661909632843,0.040000000000000036,0.39273058694977697,0.4496092642418417,9.818264673744416,11.240231606046033,True,0.0722328090031132,7.656735776183124,0.014802197335771261,9.496209985027093e-08
