t,trial,relative_score_error,score_cosine,posterior_mean_mse
0.08,0.0,0.2859398379225522,0.9593511324419023,0.003645029860729932
0.08,1.0,0.21242024407668472,0.9774126421516722,0.003107464331076889
0.08,2.0,0.15834330007920966,0.997256948202734,0.0017061853577257052
0.08,3.0,0.17384518558883855,0.9865288423631886,0.0024771964525052256
0.08,4.0,0.15791905237945372,0.991987855023986,0.001810876468989569
0.08,5.0,0.13414048444267548,0.9929597517692882,0.0012349199777737492
0.08,6.0,0.19198363674035926,0.9831409818040705,0.0022740426136330645
0.08,7.0,0.15240223498211608,0.9894644741103364,0.001866756853946542
0.08,8.0,0.14847097494996175,0.9911687974167878,0.0017938558501356156
0.08,9.0,0.1505831754562383,0.9906076893394721,0.002161302125581038
0.08,10.0,0.18403649824185916,0.9843724077972467,0.0026366413028242972
0.08,11.0,0.1676327210285211,0.9863645935345737,0.00195040563158983
0.08,12.0,0.3634329960385175,0.9386985358526336,0.009002328123604237
0.08,13.0,0.16682700661977315,0.9864038199805883,0.0025782088286451367
0.08,14.0,0.1515334374569843,0.9884525083654795,0.0018419262152281572
0.08,15.0,0.13268885292340896,0.9918228322477264,0.0021307795224063683
0.08,16.0,0.16583368125133988,0.9883119695492022,0.0017796085013200235
0.08,17.0,0.21644938479374007,0.9764720650206313,0.004478085558088604
0.08,18.0,0.2856483678913594,0.9597632033160923,0.004874547493054172
0.08,19.0,0.1632694898630658,0.9949449739059424,0.0012556644088848234
0.08,20.0,0.16143378706957165,0.98703775619105,0.002557541714606999
0.08,21.0,0.1428212714047329,0.9935480722251037,0.0014864152243324225
0.08,22.0,0.19386481328931876,0.9810749033577163,0.002816368707834449
0.08,23.0,0.24696217221057018,0.9702359806871886,0.004487467739971759
0.08,24.0,0.15170329012864162,0.9952995505374623,0.0011766334704794799
0.08,25.0,0.17905400381549486,0.9838394152099151,0.002245687804889093
0.08,26.0,0.2371719592673225,0.971587973422519,0.005235949061434862
0.08,27.0,0.24838505589007528,0.9687465984325665,0.004210744338876643
0.08,28.0,0.3062949604667544,0.9544030706154522,0.0056880625681113095
0.08,29.0,0.1819512833253374,0.9856844094176276,0.0026427454506034297
0.08,30.0,0.15419386803345486,0.988106088095186,0.002512949458895741
0.08,31.0,0.2112600600325646,0.9774670780167823,0.0034141258416320167
0.08,32.0,0.3394698139148029,0.9516494059008972,0.007526381141523279
