n_chains,n_components,design,seed,n_updates,final_log_evidence,monotone_violations,settle_rho,settle_innovation_var,settle_innovation_excess_kurtosis,final_innovation_excess_kurtosis,final_innovation_var,final_rho,final_abs_rho_score,final_min_sd_over_dx,final_min_component_mass,final_effective_components
512,8,high,0,400,-22939.90194894222,0,388,386,396,0.24041166769462663,0.2604990053633947,0.853416148390766,0.0002493819492364083,10.19833543380465,0.09120969706147251,7.890523509953679
512,8,high,1,400,-22854.14383081034,0,384,379,398,0.33661039543705495,0.2929268358236506,0.838914552168596,0.00015925073932283233,10.998228765783278,0.08802810636156806,7.896017796296866
512,8,high,2,400,-23002.960754726533,0,385,381,398,0.2916097660617232,0.2980764890564133,0.8309746369082422,0.00016894779258143692,10.77379020317404,0.09308462471424911,7.865369189852144
512,8,high,3,400,-23066.378809446564,0,388,383,396,0.26899761616831297,0.3159399022405685,0.8326474361412742,0.0002083782034693436,11.477137749432421,0.09668909732647701,7.865546656167288
512,8,high,4,400,-23145.798794738686,0,388,381,398,0.09004771330263361,0.3557592606435922,0.8139630638907275,0.00019663889771810955,12.19740611947157,0.1082587181732409,7.972550569280231
512,8,high,5,400,-22950.668103153897,0,383,377,192,-0.04735996228724915,0.3211001096396913,0.841694997470283,0.00014862325767236802,11.803059136330745,0.10363812624482625,7.939233131691708
512,8,high,6,400,-22891.44107276474,0,388,385,396,0.01980213270692488,0.27243921685063527,0.8444982757852689,0.000225126601483318,10.88702236693438,0.096931859674882,7.9157515819137885
512,8,high,7,400,-23103.879771128853,0,378,362,397,2.762434684064564,0.3432728443353181,0.8160160385331119,0.00011456964938630725,11.236965868250316,0.06868002166200744,7.780265874293706
512,8,low,0,400,-18334.37337056246,0,50,32,83,3.4971007525018933,0.2710781133127045,0.8540647147350092,1.8951902150417033e-06,5.9850015095590665,0.0904583887446283,7.638835599055696
512,8,low,1,400,-18386.351089347598,0,36,31,38,2.963899038583272,0.2692389776439173,0.8556637600961697,2.4385450978181353e-07,7.280596409166998,0.06050016575608131,7.59973942019832
512,8,low,2,400,-18441.687804037538,0,39,33,48,2.6026158090524607,0.26823836981646415,0.8525091605419053,5.813333615666976e-07,8.245882432704565,0.06727283967398805,7.598129052706274
512,8,low,3,400,-18580.92362553426,0,51,34,39,2.6397190139663733,0.2796822369314535,0.8545027917780924,2.054607335380145e-06,6.615388202859728,0.07981678694207996,7.606283554986262
512,8,low,4,400,-18337.2004054513,0,46,37,120,2.916725154671089,0.26573550110090843,0.855438844449867,2.556825189977172e-07,7.112706407867437,0.09041910002044842,7.9324374163917675
512,8,low,5,400,-18562.532543679372,0,36,30,36,2.785479159980361,0.2781948419017241,0.8480799021828196,3.1310932929370545e-08,8.126087888893963,0.07354484412736559,7.711620931174372
512,8,low,6,400,-18561.77378183363,0,34,29,37,3.134424031656704,0.2768299012113857,0.8535382070692726,6.218606407470264e-07,7.331666351812802,0.07056782608607583,7.739232388937542
512,8,low,7,400,-18504.825599013464,0,43,31,39,2.5471817012707554,0.2811456193670449,0.8517913460384917,3.1481477848369415e-06,5.976776075770022,0.08286963747795009,7.736095285448403
512,8,uniform,0,400,-20871.278584249634,0,86,72,204,3.0055982243116004,0.2671418547856276,0.858381412451292,2.7121543687449876e-06,7.4323023868547695,0.09215384957914646,7.672389101173553
512,8,uniform,1,400,-20916.383817971237,0,89,75,190,2.892827423780968,0.26587357465769307,0.8614778502327196,3.4268009195753997e-06,8.044633107133228,0.08620047928108918,7.793791672077703
512,8,uniform,2,400,-20933.804071722283,0,76,68,97,3.304220002526086,0.2857952629868041,0.8404538249638607,5.304733563505221e-07,8.120869596334028,0.07229709152124095,7.557794354949969
512,8,uniform,3,400,-21046.332658591768,0,98,74,95,2.5342710636738452,0.2779964715660403,0.8503059765482007,2.097728444662459e-06,8.231259409250836,0.08369701372702937,7.595354261260791
512,8,uniform,4,400,-20968.065050785448,0,77,67,204,2.976837252750798,0.2885302697589881,0.8559345247684029,6.076583970012944e-07,8.103307984168636,0.09993859487507654,7.93373402353831
512,8,uniform,5,400,-20872.175041582646,0,69,57,304,3.135845860142827,0.2836068705179163,0.8490653158276236,3.6958381011555215e-06,7.847455129960716,0.037062286052136795,7.50796980790483
512,8,uniform,6,400,-20847.306026641178,0,77,69,88,2.6349083723062803,0.26479869346199764,0.8563760303988192,2.3074985244304216e-06,7.644821482413479,0.0809364231176723,7.728055317545207
512,8,uniform,7,400,-20943.09684158952,0,117,73,72,2.8486831109051343,0.28118278711615496,0.842783453263615,3.611480964829766e-06,7.559688208713933,0.07401883334173305,7.522132487587293
