seed,n_chains,t,method,n_params,score_rel_l2
4,32,0.1,em_bp,13,0.2873294492518044
4,32,0.1,local_cnn_oracle_r,6593,0.19238327512367046
4,32,0.1,global_mlp,25505,1.3486119036585917
4,32,0.2,em_bp,13,0.15018794678822284
4,32,0.2,local_cnn_oracle_r,6593,0.150431477151694
4,32,0.2,global_mlp,25505,0.9681704389185067
4,32,0.4,em_bp,13,0.08027608736014362
4,32,0.4,local_cnn_oracle_r,6593,0.12521105658572915
4,32,0.4,global_mlp,25505,0.5378259699214106
4,32,0.8,em_bp,13,0.03862405240376997
4,32,0.8,local_cnn_oracle_r,6593,0.08198317270352458
4,32,0.8,global_mlp,25505,0.2359114334962744
4,32,1.6,em_bp,13,0.012472842705222515
4,32,1.6,local_cnn_oracle_r,6593,0.03130116249357028
4,32,1.6,global_mlp,25505,0.06568063261990471
4,128,0.1,em_bp,13,0.058440258058557785
4,128,0.1,local_cnn_oracle_r,6593,0.1201980302959023
4,128,0.1,global_mlp,25505,0.7892459823442716
4,128,0.2,em_bp,13,0.02851799043639538
4,128,0.2,local_cnn_oracle_r,6593,0.1065361967306164
4,128,0.2,global_mlp,25505,0.5764296863221392
4,128,0.4,em_bp,13,0.014154564725420026
4,128,0.4,local_cnn_oracle_r,6593,0.08762944372824547
4,128,0.4,global_mlp,25505,0.3610016806528096
4,128,0.8,em_bp,13,0.007382435687248402
4,128,0.8,local_cnn_oracle_r,6593,0.062192505018455975
4,128,0.8,global_mlp,25505,0.1603860553574794
4,128,1.6,em_bp,13,0.005612331419630061
4,128,1.6,local_cnn_oracle_r,6593,0.016795649070198725
4,128,1.6,global_mlp,25505,0.052033430577205116
4,512,0.1,em_bp,13,0.027836819999332088
4,512,0.1,local_cnn_oracle_r,6593,0.08519612932988656
4,512,0.1,global_mlp,25505,0.3376806014662657
4,512,0.2,em_bp,13,0.013210695635300881
4,512,0.2,local_cnn_oracle_r,6593,0.06932356932083446
4,512,0.2,global_mlp,25505,0.2555053007242374
4,512,0.4,em_bp,13,0.007423059038782026
4,512,0.4,local_cnn_oracle_r,6593,0.060727939953196496
4,512,0.4,global_mlp,25505,0.18757083591226162
4,512,0.8,em_bp,13,0.006827300178885221
4,512,0.8,local_cnn_oracle_r,6593,0.04790617427601343
4,512,0.8,global_mlp,25505,0.0982329431056417
4,512,1.6,em_bp,13,0.005251960807722599
4,512,1.6,local_cnn_oracle_r,6593,0.014334020251949613
4,512,1.6,global_mlp,25505,0.03276486294909011
4,2048,0.1,em_bp,13,0.02636943224307558
4,2048,0.1,local_cnn_oracle_r,6593,0.08563552387141939
4,2048,0.1,global_mlp,25505,0.2253854496380157
4,2048,0.2,em_bp,13,0.013031869071170248
4,2048,0.2,local_cnn_oracle_r,6593,0.07939905865367473
4,2048,0.2,global_mlp,25505,0.17115723761307175
4,2048,0.4,em_bp,13,0.006311922747567608
4,2048,0.4,local_cnn_oracle_r,6593,0.058950746520471706
4,2048,0.4,global_mlp,25505,0.13353875921295874
4,2048,0.8,em_bp,13,0.0030311425159702528
4,2048,0.8,local_cnn_oracle_r,6593,0.03923937895009062
4,2048,0.8,global_mlp,25505,0.06481465154998055
4,2048,1.6,em_bp,13,0.001244497295799451
4,2048,1.6,local_cnn_oracle_r,6593,0.011723906476539751
4,2048,1.6,global_mlp,25505,0.02789748150982873
