arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,64,0,8,0.822655251591731,-0.011368411997982483,0.3691397278398023,3.232434832899889,0.023363593628988336,0.023401566362054354
noised,64,0,8,0.817031919787887,-0.001101064367714456,0.35982431097138784,3.1210609689831763,0.044018049202836036,0.01936648876358157
clean,64,1,8,0.8035054460652084,0.012218383453617272,0.3426299833617994,3.5319267274509514,0.029544803386969656,0.012147587282332064
noised,64,1,8,0.8129583642773615,0.012443937004638356,0.28471901795554966,2.537148429866969,0.07479285689567174,0.031075760389290108
clean,64,2,8,0.8003748292486141,-0.016696250967604916,0.3342258047615822,2.8362033315698527,0.0273216916367754,0.0189453334096434
noised,64,2,8,0.7969057831004699,-0.012311270960738687,0.32681465944461,2.029403512292543,0.04801966929524505,0.023243753816351832
clean,64,3,8,0.8214562947578145,0.0182559343951966,0.3503735233510558,1.7642292229130403,0.042872098191065154,0.023652723737629677
noised,64,3,8,0.7910299485537703,0.014958143856237992,0.4163208169002802,0.39285169364443107,0.11442867259187287,0.028185846002399578
clean,64,4,8,0.8067042457982665,0.013524384159489847,0.36274356661788887,2.9607053478623513,0.013157037152889,0.013118698403079374
noised,64,4,8,0.8222441641068604,0.014946145438878193,0.349060036642717,3.6802008355477804,0.07969206107660487,0.02958273931978693
clean,64,5,8,0.7980317639010653,-0.022186578112720044,0.37969730051261497,2.8356111249052125,0.03897637893658811,0.02072288547759864
noised,64,5,8,0.8138159673610067,-0.018538681112824373,0.3871553760486151,3.8264341474274923,0.050999435485508414,0.02676000067916357
clean,64,6,8,0.7768610087561575,-0.015382577358833346,0.35481719940107864,2.2955914378048083,0.04960139502946632,0.02811579376729375
noised,64,6,8,0.8146699618817037,-0.003022944644381399,0.294878215886716,1.9261091636442353,0.0716816874658655,0.025794456949783644
clean,64,7,8,0.7958054061439171,-0.018066983644385644,0.35768262259868483,3.2981766523723755,0.023912621114392085,0.015925276884441137
noised,64,7,8,0.8051115248897186,-0.032040475312301926,0.33724155680503826,4.328870553009101,0.09257003574836586,0.03662494389389605
clean,64,8,8,0.8140470106946941,-0.004677914730062818,0.3678271777332658,1.7842814395107354,0.04145555128286759,0.017788216872461102
noised,64,8,8,0.7987711732271894,-0.014669772916802288,0.3864342770871706,2.891840383810653,0.04115079202564461,0.015393272711122173
clean,64,9,8,0.7915644398004945,0.011361450063879877,0.33436488813569576,5.412251537290992,0.04579133902681314,0.02756094166323196
noised,64,9,8,0.8066120057235001,0.020761238145466907,0.29320243229319265,5.864297555841187,0.13618485896511429,0.049357996225315795
clean,64,10,8,0.79705981129357,0.01465183936489834,0.3511032435324914,2.8317024024217874,0.019972318571126718,0.013817739934977232
noised,64,10,8,0.787214482116482,0.009393597871150409,0.3583843810936981,3.4466940207897485,0.08890266851289577,0.025690547712717955
clean,64,11,8,0.775158019453673,0.012097196834681473,0.3641871245188605,3.2186948816682346,0.028757878946800885,0.02177719419146496
noised,64,11,8,0.7671618522369692,0.0069116358932960155,0.39184484633338257,1.4974908466386108,0.0718491237691854,0.024990376715212433
clean,64,12,8,0.8078340218867646,-0.005695792418251757,0.36791648728099147,2.7533999167725742,0.017386007451236682,0.010571523269646806
noised,64,12,8,0.8268141395199008,-0.008708611354451794,0.32411816133655924,2.6540751912647247,0.08895233053576862,0.022190174757083396
clean,64,13,8,0.8005539277245859,-0.001917377133287195,0.3310712304753198,2.622547308339451,0.04731180694320048,0.01747800774007886
noised,64,13,8,0.7756563101583815,0.0003949883217124442,0.3304436461482419,0.350666980906865,0.11499324722499586,0.038039402876670715
clean,64,14,8,0.8002062859007977,-0.008682703698738446,0.3424586423613497,7.095243378010858,0.032546633758595414,0.016460398824049583
