t,radius,rms_error,fitted_slope,fitted_slope_se,predicted_log_q,q
0.1,0,0.2566109149838776,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,1,0.07113879981223441,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,2,0.022051835216547824,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,3,0.0069005082061669295,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,4,0.002160769526589166,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,5,0.0006764338902540516,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,6,0.0002116649298472812,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,7,6.619231211021128e-05,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,8,2.068224730169768e-05,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,9,6.454381631601604e-06,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,10,2.010471979505853e-06,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,11,6.243228500620244e-07,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.1,12,1.9280075537976743e-07,-1.168038037031403,0.0023122759908535415,-1.1591674162062877,0.31374729308016946
0.2,0,0.37965109257720764,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,1,0.1459204509388931,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,2,0.06330864688136457,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,3,0.028016545249572616,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,4,0.01244258329339346,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,5,0.005527991584783078,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,6,0.0024550820914932573,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,7,0.0010896224929189244,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,8,0.00048313553924939393,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,9,0.00021392126536398645,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,10,9.451670958249556e-05,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,11,4.161353772050484e-05,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.2,12,1.820454553403232e-05,-0.8200987086783618,0.002954185037159902,-0.8086115528721749,0.4454761571212489
0.4,0,0.5009633759614682,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,1,0.25644285918490106,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,2,0.14417531076573603,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,3,0.08319336969750844,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,4,0.0483966715861415,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,5,0.02822123068628018,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,6,0.016462041972677057,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,7,0.009597575712145602,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,8,0.0055893925167644996,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,9,0.0032495316964469465,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,10,0.0018841200443834342,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,11,0.0010875681995594398,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.4,12,0.0006226479441541154,-0.5490691320854443,0.00295261612218802,-0.5347699790120216,0.5858040218685096
0.8,0,0.5432696936127885,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,1,0.36195531236703177,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,2,0.25082413815637095,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,3,0.17685833300591766,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,4,0.12571665657952863,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,5,0.089689248436659,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,6,0.06406979585035258,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,7,0.04576413445515313,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,8,0.03265131198201942,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,9,0.023243726378674515,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,10,0.016484387192021728,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,11,0.011615572369596545,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
0.8,12,0.008088245127546568,-0.3449751160603211,0.0017823710796194482,-0.3287567417153333,0.7198180971669196
1.6,0,0.37091903292976,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,1,0.2975481540310461,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,2,0.239907807304093,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,3,0.1940090767915778,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,4,0.15713419680572563,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,5,0.1273311048731277,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,6,0.10314155988394855,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,7,0.08344401744737893,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,8,0.06735660410531859,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,9,0.05417308825415608,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,10,0.04331731814981855,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,11,0.03430719551167285,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
1.6,12,0.026720424891223508,-0.21634737529964643,0.0012528984627252755,-0.20052141940373316,0.8183039622550717
