n_sites,n_train,method,nn_distance,nn_distance_fresh,memorization_ratio,sample_std,lag1_corr,collapse_wall,rho_hat,em_monotone_violation
8,64,empirical,0.20195198530462927,0.44202936555169675,0.4568745903398817,0.9614118507554917,0.7963745676920105,88.83406668635023,,
8,64,bp_em,0.47682358758648113,0.44202936555169675,1.078714729713393,0.9924822135270969,0.786636859646405,88.83406668635023,0.8128904186342418,0.0
8,64,bp_true,0.4755759663764592,0.44202936555169675,1.075892244812498,1.0339154882259738,0.8166819993927003,88.83406668635023,,
8,64,dsm_eps,0.3537320965780949,0.44202936555169675,0.8002456943931812,0.9075042629648459,0.7709434143161743,88.83406668635023,,
8,256,empirical,0.18542014778764127,0.34306055766962607,0.5404880964666432,1.0279036227033527,0.8326447537226195,88.83406668635023,,
8,256,bp_em,0.36300087204416964,0.34306055766962607,1.0581247652309436,1.027603325344464,0.8298289005475382,88.83406668635023,0.854268011370592,0.0
8,256,bp_true,0.35806407775921334,0.34306055766962607,1.0437343196533715,1.0113154640550484,0.8282202784453369,88.83406668635023,,
8,256,dsm_eps,0.3185553216352387,0.34306055766962607,0.9285687745602443,0.9509594991437893,0.818689438077494,88.83406668635023,,
8,1024,empirical,0.19273616880064126,0.2918103693171528,0.6604843044188289,0.9085669150732527,0.7781029465538148,88.83406668635023,,
8,1024,bp_em,0.2960946122855541,0.2918103693171528,1.0146815994867715,0.9097626912757887,0.7737560163638731,88.83406668635023,0.8444307151976789,0.0
8,1024,bp_true,0.29535091700748733,0.2918103693171528,1.0121330427654764,0.9136645827146421,0.7790825776434175,88.83406668635023,,
8,1024,dsm_eps,0.286087343443055,0.2918103693171528,0.9803878598026179,0.8954049920837849,0.7846432814996696,88.83406668635023,,
16,64,empirical,0.19853320674094482,0.5987590546604618,0.33157445419097176,0.9614465371586032,0.8162478463619067,14980.54432910369,,
16,64,bp_em,0.5820646576546977,0.5987590546604618,0.9721183389615194,0.9670302070248478,0.8254927275447593,14980.54432910369,0.8656505957713188,0.0
16,64,bp_true,0.5937462487381869,0.5987590546604618,0.9916280081557723,0.9662222561249802,0.8101723500193336,14980.54432910369,,
16,64,dsm_eps,0.449520915986249,0.5987590546604618,0.7507542683277814,1.15348821222831,0.8577145153654802,14980.54432910369,,
16,256,empirical,0.19882135694885456,0.5132905975932982,0.3873465788796488,1.0118006064210276,0.817212273449277,14980.54432910369,,
16,256,bp_em,0.533570184048051,0.5132905975932982,1.039508977078168,1.0284667896199837,0.8125839923365255,14980.54432910369,0.8331660809982847,0.0
16,256,bp_true,0.5265850887960013,0.5132905975932982,1.0259005157410597,1.0392333903558326,0.8278782147392584,14980.54432910369,,
16,256,dsm_eps,0.46480920175297263,0.5132905975932982,0.9055478591120825,1.012916504427286,0.8281079877618231,14980.54432910369,,
16,1024,empirical,0.19928341832085927,0.43748027773110226,0.45552549101047485,1.0127221610198527,0.8317216485443846,14980.54432910369,,
16,1024,bp_em,0.46643600388419293,0.43748027773110226,1.0661875006189154,1.0174652220274907,0.8283756692808102,14980.54432910369,0.8488136755399135,0.0
16,1024,bp_true,0.46885494702700814,0.43748027773110226,1.071716762772996,1.026463338260197,0.829502004399652,14980.54432910369,,
16,1024,dsm_eps,0.4664310169704811,0.43748027773110226,1.066176101445134,1.1170101312305079,0.8540834296676784,14980.54432910369,,
32,64,empirical,0.20053845597944234,0.7471734231399066,0.268396131030335,0.9719848119519572,0.7971223974726416,426013826.3094977,,
32,64,bp_em,0.7631835254500905,0.7471734231399066,1.0214275586019954,0.9513124402361288,0.7864254205003536,426013826.3094977,0.8250856025301758,0.0
32,64,bp_true,0.7652964495507513,0.7471734231399066,1.024255448400031,0.9820498836040474,0.81159286069165,426013826.3094977,,
32,64,dsm_eps,0.5899456060604862,0.7471734231399066,0.7895698478959685,1.1867965140229675,0.816527127158628,426013826.3094977,,
32,256,empirical,0.1987401488578986,0.6456328695781863,0.3078222287346402,0.9861760724196642,0.8061077862963218,426013826.3094977,,
32,256,bp_em,0.6709752976583354,0.6456328695781863,1.0392520723065202,0.9891558821074727,0.80729264563342,426013826.3094977,0.8531709158098733,0.0
32,256,bp_true,0.6610011415198981,0.6456328695781863,1.023803422449282,0.9624345909738375,0.8031413902595975,426013826.3094977,,
32,256,dsm_eps,0.6797255366435,0.6456328695781863,1.0528050362237404,1.2702777780174925,0.8562941535002473,426013826.3094977,,
32,1024,empirical,0.20282327364882335,0.606323202689828,0.33451346204308147,0.943247764694354,0.7920959393285146,426013826.3094977,,
32,1024,bp_em,0.6202725042267625,0.606323202689828,1.023006379229842,0.973146564512972,0.7967466798665387,426013826.3094977,0.848393943411962,0.0
32,1024,bp_true,0.6213322791149893,0.606323202689828,1.0247542504700078,0.9778289232318348,0.7984460795065129,426013826.3094977,,
32,1024,dsm_eps,0.676229144413143,0.606323202689828,1.1152948483798601,1.208748994515433,0.8479347499271722,426013826.3094977,,
