n_sites,n_train,t_collapse_predicted,log_n_train,excess_entropy_total_at_0,t_collapse_train_entropy,t_collapse_train_part2,participation_min_train,participation_max_train,t_collapse_fresh_entropy,t_collapse_fresh_part2,participation_min_fresh,participation_max_fresh
8,32,0.036933924104852967,3.4657359027997265,4.486770210284767,0.36945815180171826,0.15407517217937322,1.0,31.30577367617581,0.30643902753945096,0.10703459335843475,1.0000000117643313,31.305467315947592
8,128,nan,4.852030263919617,4.486770210284767,0.2338316867619098,0.06886177930664662,1.0,125.43549791874165,0.2158252028013071,0.04890058306906699,1.0029366787420875,125.56539458687502
8,512,nan,6.238324625039508,4.486770210284767,0.16946040184865183,0.04037739143693057,1.0,502.4195227241048,0.16137357645221992,0.029536815407863144,1.010278250085831,501.79629559162277
8,2048,nan,7.6246189861593985,4.486770210284767,0.12169934868298365,0.02578828213337197,1.0,2009.2070437424793,0.11945724359971838,0.01704875830460439,1.002793835326751,2004.663050764443
16,32,0.19763032404056335,3.4657359027997265,9.614507593467357,0.565589896250792,0.28609240881536,1.0,31.096127459288,0.5352384277036041,0.23942719791865635,1.0000659873558697,30.972778179422775
16,128,0.11901165041206738,4.852030263919617,9.614507593467357,0.47138159566224436,0.21159898077501818,1.0,123.20796972437924,0.45923282119414865,0.13493261495750744,1.0000033065730483,123.03381106890905
16,512,0.0679240156519689,6.238324625039508,9.614507593467357,0.3846827657693279,0.13595859041527225,1.0,493.0497240008093,0.35977296018456995,0.08567175834384555,1.0000504714019758,493.8457307302784
16,2048,0.032882295777847875,7.6246189861593985,9.614507593467357,0.3114459499334506,0.09421925168908969,1.0,1973.8544148011763,0.29632284958510036,0.05246350336760275,1.002954572600653,1966.9188805581057
32,32,0.3972659970597123,3.4657359027997265,19.869982359832537,0.9305533913853599,0.6014526609232228,1.0,29.475043852605978,0.8792797377141401,0.44285199521844276,1.0,29.78009514095613
32,128,0.3021720361748319,4.852030263919617,19.869982359832537,0.8356514307927427,0.4332297129295302,1.0,119.48657100277234,0.7373828035708498,0.2920578593217275,1.0000000000000797,118.64973984682351
32,512,0.2346556615556116,6.238324625039508,19.869982359832537,0.7058426532783165,0.3312697187659158,1.0,472.7831794878601,0.6656485573498014,0.19109510090756393,1.000000759932083,473.42511810573194
32,2048,0.1837144939203029,7.6246189861593985,19.869982359832537,0.6107900035203174,0.2523233480965424,1.0,1896.6441520566823,0.5664340532749772,0.15411396751422476,1.0000243404451195,1885.8819193920979
