init,rho_init,b_init,rho_hat,b_hat,rho_true,b_true,rho_err,b_err,logL_start,logL_end,monotone_violation,iters,sec_per_iter
0,0.10518925475662078,1.085459458214468,0.8461538461538464,0.3691839296553711,0.85,0.37249161064378356,0.0038461538461536104,0.0033076809884124425,-46770.76394155504,-40938.64344809743,0.0,48,0.6409759793702202
1,0.5532776486615243,0.8938915665698287,0.8461538461538464,0.3691848490997956,0.85,0.37249161064378356,0.0038461538461536104,0.003306761543987957,-43704.23444880527,-40938.64345018915,0.0,45,0.6411020461366408
2,-0.4204376690838477,0.7232712942906623,0.8461538461538464,0.36918509114991843,0.85,0.37249161064378356,0.0038461538461536104,0.0033065194938651232,-50252.61244886545,-40938.64345074725,0.0,49,0.6409000412808085
3,0.6812771899783645,1.4870348949359542,0.8461538461538464,0.3691804867168819,0.85,0.37249161064378356,0.0038461538461536104,0.003311123926901638,-47940.541960077986,-40938.64344066251,0.0,46,0.6473622157582608
4,0.22204211767166382,0.24865914976437586,0.8461538461538464,0.369182582010134,0.85,0.37249161064378356,0.0038461538461536104,0.003309028633649569,-49564.58898036556,-40938.64344511245,0.0,44,0.6387707848758013
5,0.1982524740574455,0.43242695537101195,0.8461538461538464,0.3691804103505155,0.85,0.37249161064378356,0.0038461538461536104,0.003311200293268035,-45833.40917475331,-40938.64344050473,0.0,46,0.639269175797539
