n_chains,n_edges,gauss_rho_rmse,gauss_q_rmse,mixture_rho_rmse,mixture_var_rmse
64,1984,0.011680036015233654,0.0360092318309988,0.012127212945094173,0.018208049459967485
128,3968,0.005036266486119807,0.014543526230091737,0.006198951022430407,0.015317306467241939
256,7936,0.008259466812106419,0.013682950244275224,0.008826010783046971,0.008517843815798306
512,15872,0.009370473471217436,0.005821996641472659,0.00672772767454501,0.013262240059467367
1024,31744,0.0043459774595928525,0.005027296873297024,0.005797673606589753,0.00472007031672013
