t,alpha,delta,n_chains,n_rep,rho_rmse,rho_std,rho_bias,q_rmse,q_std,q_bias,rho_crlb,q_crlb,fisher_rho,fisher_q,fisher_logdet
0.05,0.951229424500714,0.09516258196404048,256,10,0.006265745623897597,0.005989052496176909,-0.0026415323964746884,0.004522569366861604,0.004669581013179071,0.0009105742821410801,0.0060627765272224556,0.006496676232037925,113.12506678567279,98.51889270630294,9.256245711473404
0.1,0.9048374180359595,0.18126924692201818,256,10,0.004446100530071422,0.0043157258718670094,0.0017334558265238108,0.008181943498738322,0.00824763944127193,-0.002392278975923251,0.007235859071380327,0.008760849886138872,86.26522040066625,58.84688216501909,8.387173783825205
0.2,0.8187307530779818,0.3296799539643607,256,10,0.007179751657464749,0.006608718993734244,0.0034987403159620787,0.00804671670836015,0.007334698459235181,-0.004041240953653491,0.00804035196984753,0.011285981149329749,85.07448051579092,43.178821620656294,7.866737529111354
0.4,0.6703200460356393,0.5506710358827784,256,10,0.011338186778830205,0.011729222652113333,-0.002176529763425339,0.017296005175792856,0.018191027743743978,0.0011531061116637792,0.010759470183635402,0.019342197212771747,62.77848334108974,19.425892367195196,6.485367319627906
0.8,0.44932896411722156,0.7981034820053446,256,10,0.023594546452876137,0.014029282297978013,-0.01948240069139855,0.07017229966533993,0.02818602434914741,0.06487792281333157,0.018811533859014594,0.038477597882612416,31.53200852770726,7.536750687536649,4.421183889606575
1.6,0.20189651799465538,0.9592377960216338,256,10,0.39852736966056246,0.0622478986285382,-0.3941278264386628,0.6260346385152222,0.057626487499424825,0.6236430371338366,0.05893440096700894,0.16027414323912204,6.381321964572303,0.8628225287878208,-0.03006309472653701
