seed,n_chains,t,method,n_params,score_rel_l2
13,32,0.1,em_bp,13,0.187066336380821
13,32,0.1,local_cnn_oracle_r,6593,0.22309502487860727
13,32,0.1,global_mlp,25505,1.1217347937418511
13,32,0.2,em_bp,13,0.08860213481715216
13,32,0.2,local_cnn_oracle_r,6593,0.14569308218324517
13,32,0.2,global_mlp,25505,0.7825338120154435
13,32,0.4,em_bp,13,0.04535710923638556
13,32,0.4,local_cnn_oracle_r,6593,0.11028088417659468
13,32,0.4,global_mlp,25505,0.4365539590830961
13,32,0.8,em_bp,13,0.024708800910859276
13,32,0.8,local_cnn_oracle_r,6593,0.07448348038629546
13,32,0.8,global_mlp,25505,0.22449891820495066
13,32,1.6,em_bp,13,0.022227641851746038
13,32,1.6,local_cnn_oracle_r,6593,0.032379652363606445
13,32,1.6,global_mlp,25505,0.07357477575854847
13,128,0.1,em_bp,13,0.059793040333919835
13,128,0.1,local_cnn_oracle_r,6593,0.11616936355081765
13,128,0.1,global_mlp,25505,0.7863772921643749
13,128,0.2,em_bp,13,0.03260722890249652
13,128,0.2,local_cnn_oracle_r,6593,0.10345952877392187
13,128,0.2,global_mlp,25505,0.5630368942222137
13,128,0.4,em_bp,13,0.020192165138386845
13,128,0.4,local_cnn_oracle_r,6593,0.06723568421503878
13,128,0.4,global_mlp,25505,0.34880089333265574
13,128,0.8,em_bp,13,0.013280317740344993
13,128,0.8,local_cnn_oracle_r,6593,0.044598816243733325
13,128,0.8,global_mlp,25505,0.12672232268223527
13,128,1.6,em_bp,13,0.007663211507344225
13,128,1.6,local_cnn_oracle_r,6593,0.01664605091708161
13,128,1.6,global_mlp,25505,0.04457636228722713
13,512,0.1,em_bp,13,0.039653100622095525
13,512,0.1,local_cnn_oracle_r,6593,0.09075127010062256
13,512,0.1,global_mlp,25505,0.3117691614529551
13,512,0.2,em_bp,13,0.023793361083492354
13,512,0.2,local_cnn_oracle_r,6593,0.08260311334751654
13,512,0.2,global_mlp,25505,0.23003664605235447
13,512,0.4,em_bp,13,0.012580398149743714
13,512,0.4,local_cnn_oracle_r,6593,0.05764329446094426
13,512,0.4,global_mlp,25505,0.171630757719222
13,512,0.8,em_bp,13,0.00799473017063067
13,512,0.8,local_cnn_oracle_r,6593,0.04736718665063402
13,512,0.8,global_mlp,25505,0.08749446612981013
13,512,1.6,em_bp,13,0.005135733289102328
13,512,1.6,local_cnn_oracle_r,6593,0.013636040298413303
13,512,1.6,global_mlp,25505,0.025703873829203295
13,2048,0.1,em_bp,13,0.035154399064869626
13,2048,0.1,local_cnn_oracle_r,6593,0.10333039132588755
13,2048,0.1,global_mlp,25505,0.23935434230610833
13,2048,0.2,em_bp,13,0.020787988367178663
13,2048,0.2,local_cnn_oracle_r,6593,0.07775427172907015
13,2048,0.2,global_mlp,25505,0.15452369886493492
13,2048,0.4,em_bp,13,0.014303519695256686
13,2048,0.4,local_cnn_oracle_r,6593,0.06609680357123898
13,2048,0.4,global_mlp,25505,0.14184074003962918
13,2048,0.8,em_bp,13,0.010967808129232188
13,2048,0.8,local_cnn_oracle_r,6593,0.04002704971101263
13,2048,0.8,global_mlp,25505,0.08599700283920297
13,2048,1.6,em_bp,13,0.007251341375266509
13,2048,1.6,local_cnn_oracle_r,6593,0.020896384133112084
13,2048,1.6,global_mlp,25505,0.04110874942455224
