n_chains,arm,n_seeds,median_kurtosis,dist_to_target,blowups,median_cov_frobenius_rel
32,exact,4,1.896752645529463,0.013047354470536954,0,0.054166665074329774
32,em_bp,4,0.4973505601579753,1.4124494398420246,0,0.2215182470327176
32,mlp,4,7.068304130713362,5.158504130713363,2,0.9399932471547259
32,cnn,4,0.6763314482163112,1.2334685517836887,0,0.30465368240184587
128,exact,4,1.8831902872908293,0.026609712709170674,0,0.06577666457764961
128,em_bp,4,0.8242452216451692,1.0855547783548307,0,0.07587497693154652
128,mlp,4,1.275956226975845,0.6338437730241548,0,0.3043099376616692
128,cnn,4,1.312754979412655,0.597045020587345,0,0.18695664855857774
512,exact,4,1.9139068633681648,0.004106863368164904,0,0.05673642127542501
512,em_bp,4,0.840791448998649,1.069008551001351,0,0.06619991303799642
512,mlp,4,0.1657200185873573,1.7440799814126426,0,0.21941089841717526
512,cnn,4,1.4095374096036273,0.5002625903963727,0,0.20497537439619667
2048,exact,4,1.9076052191514647,0.002194780848535194,0,0.0586216131008338
2048,em_bp,4,0.8974010796389844,1.0123989203610155,0,0.05794881396321051
2048,mlp,4,0.043695626824000744,1.8661043731759992,0,0.2489253232083377
2048,cnn,4,1.6193848119248635,0.29041518807513644,0,0.24139709296500392
