n_chains,n_edges,gauss_rho_rmse,gauss_q_rmse,mixture_rho_rmse,mixture_var_rmse
64,1984,0.010944955151511889,0.027183910459511167,0.012815208261101966,0.025186678863437274
128,3968,0.00927870151433291,0.015998083706587445,0.006826787836001146,0.014811397357043002
256,7936,0.008920514035249096,0.012696531016428966,0.008274377360285756,0.010048045305248304
512,15872,0.007020379131000228,0.007937868736417329,0.005860028276208831,0.01013445950243161
1024,31744,0.004892252346637443,0.006389163860895352,0.004041781794952992,0.007137280646852425
