seed,n_chains,t,method,n_params,score_rel_l2
8,32,0.1,em_bp,13,0.14599860387774996
8,32,0.1,local_cnn_oracle_r,6593,0.1598499531056646
8,32,0.1,global_mlp,25505,1.1147834899213642
8,32,0.2,em_bp,13,0.09228785663056832
8,32,0.2,local_cnn_oracle_r,6593,0.12072870557793083
8,32,0.2,global_mlp,25505,0.7396984983986513
8,32,0.4,em_bp,13,0.058178251803648696
8,32,0.4,local_cnn_oracle_r,6593,0.11476885123586048
8,32,0.4,global_mlp,25505,0.43064962889720537
8,32,0.8,em_bp,13,0.030243665113350637
8,32,0.8,local_cnn_oracle_r,6593,0.08218100186354348
8,32,0.8,global_mlp,25505,0.17327507452184135
8,32,1.6,em_bp,13,0.012460888626523395
8,32,1.6,local_cnn_oracle_r,6593,0.03176622291095721
8,32,1.6,global_mlp,25505,0.04714363663189735
8,128,0.1,em_bp,13,0.17986231529921134
8,128,0.1,local_cnn_oracle_r,6593,0.1425926732442451
8,128,0.1,global_mlp,25505,0.6815134072973088
8,128,0.2,em_bp,13,0.10363612078558068
8,128,0.2,local_cnn_oracle_r,6593,0.109498497868247
8,128,0.2,global_mlp,25505,0.4890473001069184
8,128,0.4,em_bp,13,0.05972021200465858
8,128,0.4,local_cnn_oracle_r,6593,0.08081017784450328
8,128,0.4,global_mlp,25505,0.3214938791553027
8,128,0.8,em_bp,13,0.020530604811583593
8,128,0.8,local_cnn_oracle_r,6593,0.04954879169136244
8,128,0.8,global_mlp,25505,0.13924827206973853
8,128,1.6,em_bp,13,0.009826735989808969
8,128,1.6,local_cnn_oracle_r,6593,0.01799177321036331
8,128,1.6,global_mlp,25505,0.0403030314504935
8,512,0.1,em_bp,13,0.024694629388404027
8,512,0.1,local_cnn_oracle_r,6593,0.08476910602903352
8,512,0.1,global_mlp,25505,0.3248655133018026
8,512,0.2,em_bp,13,0.012545217771505197
8,512,0.2,local_cnn_oracle_r,6593,0.07439721783996857
8,512,0.2,global_mlp,25505,0.25268741648016585
8,512,0.4,em_bp,13,0.0082843343462761
8,512,0.4,local_cnn_oracle_r,6593,0.06850398836278261
8,512,0.4,global_mlp,25505,0.18475033678315547
8,512,0.8,em_bp,13,0.008229664844347133
8,512,0.8,local_cnn_oracle_r,6593,0.04261221676503028
8,512,0.8,global_mlp,25505,0.11114717886015292
8,512,1.6,em_bp,13,0.008055393918756582
8,512,1.6,local_cnn_oracle_r,6593,0.015155623674433384
8,512,1.6,global_mlp,25505,0.029175862861072214
8,2048,0.1,em_bp,13,0.031212035835307753
8,2048,0.1,local_cnn_oracle_r,6593,0.0843387978035595
8,2048,0.1,global_mlp,25505,0.24877877742921758
8,2048,0.2,em_bp,13,0.017609482795779965
8,2048,0.2,local_cnn_oracle_r,6593,0.07175574913428968
8,2048,0.2,global_mlp,25505,0.19293233707329208
8,2048,0.4,em_bp,13,0.010239884434447115
8,2048,0.4,local_cnn_oracle_r,6593,0.059615265135631174
8,2048,0.4,global_mlp,25505,0.12915311399388965
8,2048,0.8,em_bp,13,0.00807969174549093
8,2048,0.8,local_cnn_oracle_r,6593,0.040658371335587994
8,2048,0.8,global_mlp,25505,0.05710513938027003
8,2048,1.6,em_bp,13,0.0053337552485812284
8,2048,1.6,local_cnn_oracle_r,6593,0.009887334171289003
8,2048,1.6,global_mlp,25505,0.01976430712274618
