seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,8,24,12481,0.1,0.03496640788947138,2.068224730169768e-05,1690.648379714578
0,8,24,12481,0.2,0.05714537502903471,0.00048313553924939393,118.28021411510434
0,8,24,12481,0.4,0.1031859626142874,0.0055893925167644996,18.46103352104856
0,8,24,12481,0.8,0.18929651638976297,0.03265131198201942,5.7975163905819675
0,8,24,12481,1.6,0.3859971510722557,0.06735660410531859,5.730650412077065
1,8,24,12481,0.1,0.02380017374715711,2.068224730169768e-05,1150.753755139728
1,8,24,12481,0.2,0.03745753566863322,0.00048313553924939393,77.53007722600529
1,8,24,12481,0.4,0.07370127324375868,0.0055893925167644996,13.185918330606297
1,8,24,12481,0.8,0.18874630736711343,0.03265131198201942,5.780665336543081
1,8,24,12481,1.6,0.4294970733572678,0.06735660410531859,6.376465664535394
2,8,24,12481,0.1,0.03004506779294897,2.068224730169768e-05,1452.6984110901117
2,8,24,12481,0.2,0.04565683195502566,0.00048313553924939393,94.50108353850091
2,8,24,12481,0.4,0.0745982787094096,0.0055893925167644996,13.346401864901035
2,8,24,12481,0.8,0.1377007252868488,0.03265131198201942,4.217310635562776
2,8,24,12481,1.6,0.26785392688472714,0.06735660410531859,3.9766542634173114
