n_components,n_chains,seed,n_params,n_iters,monotone_violation,train_log_evidence,train_log_evidence_per_edge,train_edges,heldout_log_evidence,heldout_log_evidence_per_edge,heldout_edges,bic,em_seconds_total,em_seconds_per_iter,fitted_rho,innovation_mean,innovation_var,innovation_excess_kurtosis,protocol,unique_latent_chains,noisy_observations,views_per_latent_chain,views_paired,clean_values_consumed,noisy_values_consumed
4,32,0,12,9,0.0,-6622.632504168542,-1.3352081661630126,4960,-13397.595025195933,-1.3505640146366868,9920,13347.374940573713,0.8616900942288339,0.09574334380320376,0.6944200638538531,-0.03586432897454257,0.5385664586837272,0.3906922395586392,composite,32,160,5,False,0,5120
4,128,0,12,9,0.0,-26260.554281240416,-1.3236166472399404,19840,-12988.45827057673,-1.3093203901791057,9920,52639.8540270509,3.0007055846508592,0.33341173162787324,0.7369556098810383,-0.004956075820435217,0.5222332592529197,0.27173359360667115,composite,128,640,5,False,0,20480
