n_components,n_chains,seed,n_params,n_iters,monotone_violation,train_log_evidence,train_log_evidence_per_edge,train_edges,heldout_log_evidence,heldout_log_evidence_per_edge,heldout_edges,bic,em_seconds_total,em_seconds_per_iter,fitted_rho,innovation_mean,innovation_var,innovation_excess_kurtosis
4,2048,0,12,40,0.0,-418131.3477967031,-1.3171980462345738,317440,-104468.25070466862,-1.3163842074681027,79360,836414.7121226431,553.8684871802106,13.846712179505266,0.847021346288328,-0.0030961444404317027,0.2826436616228203,1.4566849969767377
4,2048,1,12,40,0.0,-418150.22410201485,-1.3172575104020126,317440,-104157.09500068342,-1.3124633946658697,79360,836452.4647332666,554.3941390784457,13.859853476961144,0.848851913557016,7.571270452797857e-05,0.2826712950843091,1.2577522064803794
4,2048,2,12,40,0.0,-418925.32045504043,-1.3196992201834692,317440,-104496.14293758298,-1.3167356720965597,79360,838002.6574393178,552.4882179440465,13.812205448601162,0.8500754232237177,0.0007697715636688972,0.29009520486232265,1.3146076440896906
