seed,n_chains,t,method,n_params,score_rel_l2
10,32,0.1,em_bp,13,0.09502577210759972
10,32,0.1,local_cnn_oracle_r,6593,0.19735679630591407
10,32,0.1,global_mlp,25505,1.2149932812793303
10,32,0.2,em_bp,13,0.0668291102718578
10,32,0.2,local_cnn_oracle_r,6593,0.1459755457506285
10,32,0.2,global_mlp,25505,0.8512447426892971
10,32,0.4,em_bp,13,0.04355266561018498
10,32,0.4,local_cnn_oracle_r,6593,0.12782651545933296
10,32,0.4,global_mlp,25505,0.45143161499398443
10,32,0.8,em_bp,13,0.024984140775605318
10,32,0.8,local_cnn_oracle_r,6593,0.08205755195125801
10,32,0.8,global_mlp,25505,0.2196815782992909
10,32,1.6,em_bp,13,0.01569788463570769
10,32,1.6,local_cnn_oracle_r,6593,0.02995551155468357
10,32,1.6,global_mlp,25505,0.08811197154173465
10,128,0.1,em_bp,13,0.10699397570683242
10,128,0.1,local_cnn_oracle_r,6593,0.13750058288149297
10,128,0.1,global_mlp,25505,0.7972293696128134
10,128,0.2,em_bp,13,0.06592701365785225
10,128,0.2,local_cnn_oracle_r,6593,0.11592644427237739
10,128,0.2,global_mlp,25505,0.6096196813943965
10,128,0.4,em_bp,13,0.040299007282230834
10,128,0.4,local_cnn_oracle_r,6593,0.09597675667304634
10,128,0.4,global_mlp,25505,0.33748568666458745
10,128,0.8,em_bp,13,0.019833093343330294
10,128,0.8,local_cnn_oracle_r,6593,0.061385285050395734
10,128,0.8,global_mlp,25505,0.145002556014168
10,128,1.6,em_bp,13,0.010011671452654768
10,128,1.6,local_cnn_oracle_r,6593,0.023593161793937664
10,128,1.6,global_mlp,25505,0.050559892076710224
10,512,0.1,em_bp,13,0.03956313128219489
10,512,0.1,local_cnn_oracle_r,6593,0.08727832750838507
10,512,0.1,global_mlp,25505,0.30340730000264743
10,512,0.2,em_bp,13,0.01941352800444427
10,512,0.2,local_cnn_oracle_r,6593,0.0705396941318706
10,512,0.2,global_mlp,25505,0.24530813332145177
10,512,0.4,em_bp,13,0.010147380767832124
10,512,0.4,local_cnn_oracle_r,6593,0.0613060394676976
10,512,0.4,global_mlp,25505,0.18610020158849508
10,512,0.8,em_bp,13,0.005765984471069389
10,512,0.8,local_cnn_oracle_r,6593,0.051049090411148565
10,512,0.8,global_mlp,25505,0.08011728892857944
10,512,1.6,em_bp,13,0.003594566939327471
10,512,1.6,local_cnn_oracle_r,6593,0.016850921958588512
10,512,1.6,global_mlp,25505,0.02367673414309457
10,2048,0.1,em_bp,13,0.03202495148450884
10,2048,0.1,local_cnn_oracle_r,6593,0.07946028038081301
10,2048,0.1,global_mlp,25505,0.20784361922723363
10,2048,0.2,em_bp,13,0.015794474554331785
10,2048,0.2,local_cnn_oracle_r,6593,0.06391012895910604
10,2048,0.2,global_mlp,25505,0.17147030087920168
10,2048,0.4,em_bp,13,0.010671633002601407
10,2048,0.4,local_cnn_oracle_r,6593,0.06045381575876227
10,2048,0.4,global_mlp,25505,0.1506229885376793
10,2048,0.8,em_bp,13,0.005475015607235447
10,2048,0.8,local_cnn_oracle_r,6593,0.03326566439371622
10,2048,0.8,global_mlp,25505,0.06679221638124623
10,2048,1.6,em_bp,13,0.002684924815623126
10,2048,1.6,local_cnn_oracle_r,6593,0.011799826601025146
10,2048,1.6,global_mlp,25505,0.026668031160917417
