beta,arm,t,score_rel_l2,ratio_to_em,fitted_rho,em_seconds,em_iters,em_monotone_violation,n_nodes,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
0.0,em_bp,0.1,0.014927442314832602,1.0,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,cnn,0.1,0.04990309482251877,3.3430438899055557,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,mlp,0.1,0.07785190973788106,5.215354921219409,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,em_bp,0.2,0.011070728757031089,1.0,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,cnn,0.2,0.06862264456294291,6.198566153051147,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,mlp,0.2,0.11730348003237599,10.595822786993658,0.8478249260428223,576.32798008807,81,0.0,41,eps,eps,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,em_bp,0.4,0.008697181947048271,1.0,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,cnn,0.4,0.08612388742352169,9.902504966307069,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,mlp,0.4,0.16200334232062694,18.627107413293693,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,em_bp,0.8,0.007997782556276284,1.0,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,cnn,0.8,0.11808005301468348,14.764098946653633,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,mlp,0.8,0.1694273863616731,21.184295168004343,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,em_bp,1.6,0.023104788643049285,1.0,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,cnn,1.6,0.2658176264169507,11.504871588466914,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
0.0,mlp,1.6,0.27856951105366856,12.056786814082017,0.8478249260428223,576.32798008807,81,0.0,41,x0,x0,-0.001979495578981394,0.2772793789836326,2.9271749426895664
