arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,64,0,8,0.8692976952892413,-0.009819500799408685,0.28465112842643736,3.2315704299858767,0.019896492487815613,0.022225362765077753
noised,64,0,8,0.8653375173452328,0.0008729639144396566,0.28428888502053784,3.322125325375019,0.036997961287938884,0.020084092127560915
clean,64,1,8,0.850947050026544,0.010813674942652297,0.26426432064776384,3.738461074385196,0.025036272841132273,0.012449723023327834
noised,64,1,8,0.8550863809350888,0.010640825896110753,0.22964113494935248,2.7544905039786114,0.053962641393792574,0.02621733906033743
clean,64,2,8,0.8503993036689784,-0.014640899897032211,0.2577506419246105,2.831807337519037,0.02390072389496137,0.017767222280763103
noised,64,2,8,0.853941677371627,-0.011435580875956796,0.24445574094932193,2.4230972098840455,0.04444217625404082,0.020988919477614956
clean,64,3,8,0.8662847407245632,0.016144757704810025,0.27027898544054385,1.7589025231488273,0.03628723754456292,0.02121845829912999
noised,64,3,8,0.8460429508168931,0.012228440498562648,0.3176938372147129,0.5283416826738474,0.08877948968876316,0.024886106640343655
clean,64,4,8,0.8557481056640193,0.011848245547805138,0.279738626657804,2.9521611138106483,0.011374671337168718,0.012524903659120804
noised,64,4,8,0.8692842300317423,0.01368229205502712,0.27686185189725804,3.972517739971428,0.06588562347866103,0.02822232534426005
clean,64,5,8,0.8498263976525054,-0.019430750681337074,0.2927847934781484,2.8369600935411228,0.03308632785665937,0.019641529944532964
noised,64,5,8,0.8563918184050849,-0.013152851212450923,0.31006678623650763,3.809252462320024,0.039460367712951035,0.023718536171937473
clean,64,6,8,0.8287342508949735,-0.013655541194453126,0.2735948733033255,2.294312231107396,0.04278475548457044,0.02837958191283634
noised,64,6,8,0.8576091877741642,-0.003412339133082458,0.22932544537130095,1.7905516122055385,0.06352432403823627,0.025367817266818003
clean,64,7,8,0.8489387858420572,-0.015596828936056848,0.2758849276061884,3.2943745923745142,0.019030554836542122,0.014207017851781484
noised,64,7,8,0.8535096630338894,-0.026607811933833186,0.2606778107669464,4.286055989149236,0.0709314501805941,0.029915924428191687
clean,64,8,8,0.8606871173033129,-0.004126527558748625,0.2836417995435557,1.7816947535817995,0.034883282707377984,0.015421873531669237
noised,64,8,8,0.8445982592264479,-0.012866481215057072,0.3009516851797568,2.8233109748152545,0.03397807625455842,0.013980316963640629
clean,64,9,8,0.8436967793502393,0.009952246465116677,0.25784343415094163,5.388734588268823,0.04275330933746577,0.02460319411641063
noised,64,9,8,0.8520963686510203,0.01803086976165095,0.22914010191188494,5.064870240171729,0.11172359665490544,0.044714158234997824
clean,64,10,8,0.8459170791620866,0.01295800866508456,0.27077934678135585,2.832594100907051,0.017704522562125003,0.01366661270406174
noised,64,10,8,0.8444045922462797,0.0036586642633079217,0.27997778288848957,3.294934086015254,0.07001249181078743,0.01981481114447526
clean,64,11,8,0.826218766332854,0.010639878407117939,0.2808027395068576,3.211833428387603,0.026308835715295315,0.023496706056906225
noised,64,11,8,0.8174502071158826,0.005448858428230556,0.2976555908120408,1.9203906775430655,0.05274339398678922,0.027841316846027555
clean,64,12,8,0.8589801499031307,-0.005065611148160403,0.28375861629963306,2.7536051452706083,0.01465031461077648,0.012011455357693235
noised,64,12,8,0.8689217056460611,-0.011387910246477518,0.25343856178192836,2.6774373409670558,0.062248330505619336,0.018799167703937306
clean,64,13,8,0.851931278510052,-0.001814888570732385,0.25532830816651114,2.6220582178379264,0.04173551493676834,0.015036084941323472
noised,64,13,8,0.8334919791975638,0.003506270320551141,0.2556027594329438,0.9744394617163783,0.07211986408147233,0.02981430107413064
clean,64,14,8,0.8476440102087497,-0.007649084341053461,0.2640412415574953,7.1088503174557545,0.029161942253831293,0.017062248353419095
noised,64,14,8,0.797100253561471,0.0007441266175268092,0.30949420831321456,10.017561919373671,0.09219926575264706,0.05253846657573726
clean,64,15,8,0.8443076886791117,0.005517766161566279,0.30570291117043336,2.72840256591713,0.04178980416073402,0.016121676270387592
noised,64,15,8,0.8502167292539003,0.007539742047518799,0.26647333746530294,3.5655674427719086,0.061929481297849386,0.01793032428596885
clean,128,0,8,0.8529174657377253,0.0004295216824654023,0.2698653287059297,2.8929923415380667,0.008779996323618767,0.0029803380621634384
noised,128,0,8,0.8527738805156213,-0.004582364831397293,0.275678943462483,2.3760450371773683,0.03823995733740306,0.010418597869955498
clean,128,1,8,0.856933429976812,-0.007783579455068409,0.28011780126233143,2.901385565954608,0.01643349307514402,0.010602338601734027
