n_chains,seed,arm,innov_kurtosis,innov_kurtosis_se,kurtosis_gap_in_se,innov_variance,innov_kl,cov_frobenius_rel,cov_worst_lag_abs,marginal_var,notes
128,0,exact,1.70941501318089,0.06756991990239636,2.966165968159706,0.3345188284416141,0.000888541912119784,0.06161468217998754,0.02007039878960813,0.9905957741537142,
128,0,em_bp,0.8574642364026515,0.035196091946154494,29.900318912508858,0.35304642233429184,0.0058582791822137745,0.10732117275493723,0.04998808514691572,0.9747953580810519,
128,0,mlp,0.5900280204008124,0.06775330588915791,19.47964859198174,0.3043654748793713,0.011360555530202932,0.2691873448950101,0.18898608321348198,0.8316885684702895,
128,0,cnn,1.081469523994949,0.059284217703317675,13.97284333272646,0.32231050958317653,0.0037417994802598424,0.20929872376929284,0.08898101353962162,0.9110876686626378,
128,1,exact,1.9651211042736696,0.11981511147671486,0.4613983455480737,0.3353451721894859,0.0008707470384520993,0.06728437628572907,0.04466516387435513,1.0160097104703767,
128,1,em_bp,0.8615746746427742,0.04479541143334586,23.401145382572597,0.3474880430884519,0.0065030150332020045,0.0657288569499395,0.04595688234027442,1.0296260726457547,
128,1,mlp,0.673089453709041,0.10779542795536402,11.473113283336357,0.29472167517904213,0.012683442301300394,0.21623444864805677,0.18357140853767262,0.8482035540051079,
128,1,cnn,1.2934534646959754,0.07681502950578922,8.0242779223853,0.32368656028926057,0.0036603239157718993,0.1629728089082564,0.0694951251240744,0.9708700894801954,
128,2,exact,1.8918738228325385,0.07919134323470882,0.22685291725476223,0.3433865529186661,0.0008099616870537188,0.0771296124486891,0.03256671563731423,1.0160230466015436,
128,2,em_bp,0.7450347851224248,0.03634813862307719,32.04576270116634,0.3582605109458289,0.007554588324461384,0.0860210969131535,0.032185837288066385,1.0077759292335686,
128,2,mlp,0.3912198745008304,0.04300099668422288,35.31589620393632,0.3002171566763726,0.011255595485321086,0.29337366642573537,0.17340754874844266,0.8354908879223846,
128,2,cnn,1.10558543805025,0.06379097085526832,12.607633356782255,0.2985119408444244,0.004470116279513837,0.307918133704812,0.20726118354288314,0.792776775272444,
512,0,exact,1.8662791550543396,0.0810285428395973,0.5375816161293344,0.33728938011396525,0.0009863140083577087,0.046196369676207195,0.01690856445771409,1.0062019507999238,
512,0,em_bp,0.8259105140466083,0.040315703896342085,26.886002010705155,0.3532826621671173,0.007075730530409775,0.06878492128781939,0.05174012815772111,1.0513910678084186,
