n_chains,em_seconds,em_iters,em_n_params,em_monotone_violation,net_n_params,net_grad_steps,net_eps_seconds,net_x0_seconds,net_eps_final_loss,net_x0_final_loss
32,138.51303653791547,401,25,0.0,25248,20000,9.887060401961207,9.892407884355634,0.07478174118824411,0.30037253291261495
64,151.9360305578448,401,25,0.0,25248,20000,12.787314109038562,12.825216793920845,0.09792797435646855,0.2679789917365136
128,149.243461035192,401,25,0.0,25248,20000,18.194091205950826,18.283616495784372,0.15780770566607907,0.4666086988467437
256,190.0745469406247,401,25,0.0,25248,20000,18.446931489743292,18.383631628006697,0.19797934304423404,0.423016435528474
512,240.09861142374575,401,25,0.0,25248,20000,18.293076456990093,18.332097897771746,0.2875861068156255,0.3872256922127008
1024,369.1989646460861,401,25,0.0,25248,20000,18.34027354326099,18.508224102202803,0.28815012117547345,0.43029248920798957
2048,658.325211500749,401,25,0.0,25248,20000,18.170981203205884,18.26129130134359,0.23700045584525153,0.4578959967709154
