n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
32,em_bp,0.05,0.032572191155966226,0.16164747825641257,0.0009867250164241218,2.1006779418274894e-15
32,dsm_net_eps,0.05,0.360881602674605,1.7909633632614008,0.12112441007136407,1.9758551383370937e-16
32,dsm_net_x0,0.05,0.6018030306404936,2.986594971283768,0.3368301279350271,1.5632708399897348e-16
32,em_bp,0.0725,0.03522974953225257,0.13034722793349604,0.0011381627659827762,2.0160225503674722e-15
32,dsm_net_eps,0.0725,0.4151193923996059,1.5359082247005138,0.15802700413933218,1.867132408310333e-16
32,dsm_net_x0,0.0725,0.5982472082585106,2.2134663530338123,0.32820608153725334,1.6456340934294861e-16
32,em_bp,0.1053,0.03821355267236821,0.10466061965927698,0.0012880241507907005,1.9085937808714174e-15
32,dsm_net_eps,0.1053,0.45389068496414764,1.2431317431595765,0.18171539198612763,1.9384722238172511e-16
32,dsm_net_x0,0.1053,0.5903494062976877,1.6168696799363351,0.3074025295991907,1.9118464898866872e-16
32,em_bp,0.1527,0.04114493140145789,0.08403746747525004,0.0014480152676415582,1.8696138296492193e-15
32,dsm_net_eps,0.1527,0.4776392502215196,0.9755659224156952,0.19513738091866048,1.8696972264550222e-16
32,dsm_net_x0,0.1527,0.5828069401786193,1.1903682327654894,0.2905292650223029,1.8596495681258218e-16
32,em_bp,0.2216,0.047403875632922574,0.07157520263132276,0.0018509718642545432,1.899707049177928e-15
32,dsm_net_eps,0.2216,0.4772001720166663,0.7205254539161229,0.1875742852667162,2.035018442229879e-16
32,dsm_net_x0,0.2216,0.5716730766168406,0.8631702735567952,0.26919537601771304,2.0344253966895582e-16
32,em_bp,0.3215,0.05190267759081359,0.05691164706919329,0.002069773475262468,2.0419960991927787e-15
32,dsm_net_eps,0.3215,0.4791601987441781,0.5254024914768509,0.17640251131569845,2.2620550037956753e-16
32,dsm_net_x0,0.3215,0.5642926818261933,0.6187508514494252,0.24465389083411665,2.2238752092760103e-16
32,em_bp,0.4665,0.06632483800087141,0.04934301109781481,0.0029222593067965976,2.1158976473870694e-15
32,dsm_net_eps,0.4665,0.5115050578568033,0.3805391842206242,0.17380658222507553,2.729775630291214e-16
32,dsm_net_x0,0.4665,0.5620755346700237,0.418161584422849,0.20987258860373786,2.873546186402085e-16
32,em_bp,0.6769,0.08578963000330407,0.03992320825193759,0.004047223952703971,2.53994186138068e-15
32,dsm_net_eps,0.6769,0.6105675198782833,0.2841347403763245,0.20500055757576033,3.2641136403972624e-16
32,dsm_net_x0,0.6769,0.5643800685056719,0.2626408693839448,0.17515840545816314,4.06573804101118e-16
32,em_bp,0.9821,0.13778764572611601,0.03764982972495236,0.00784932912709927,2.5874203351829724e-15
32,dsm_net_eps,0.9821,0.8301360000773664,0.2268307792528164,0.28491182618239175,3.866483530271981e-16
32,dsm_net_x0,0.9821,0.5792450986353569,0.15827601391770413,0.13871924469926764,6.276901930718497e-16
32,em_bp,1.425,0.27038992319321814,0.03303281067529696,0.016702462770007212,2.8838966622298617e-15
32,dsm_net_eps,1.425,1.4921435089276385,0.18229116473234103,0.508651928655317,4.58737495848767e-16
32,dsm_net_x0,1.425,0.6706581405286866,0.08193250370539863,0.10275475036147919,1.1655337365214933e-15
32,em_bp,2.0676,0.6488197788231351,0.021805616879466187,0.02850902374092804,4.382784261518861e-15
32,dsm_net_eps,2.0676,4.949984889697586,0.1663597158823906,1.6593650205667563,5.104209601984113e-16
32,dsm_net_x0,2.0676,1.0299760846425448,0.03461556603201249,0.07184366284318,2.7330442787937172e-15
32,em_bp,3.0,1.6133695509058286,0.009404648972387674,0.03540342640107748,1.004425503643961e-14
32,dsm_net_eps,3.0,28.924344989813775,0.16860570551409676,11.379014451976836,5.033353292349403e-16
32,dsm_net_x0,3.0,2.25531058297973,0.01314664972121654,0.0691815517294834,7.06295449801914e-15
64,em_bp,0.05,0.056153915691444886,0.2786775633939078,0.0029326638142213807,1.2128220531744576e-15
64,dsm_net_eps,0.05,0.344694384416984,1.7106303270587897,0.11050211885294418,2.0570347850639463e-16
64,dsm_net_x0,0.05,0.5449432139175068,2.704414201086825,0.2761879247367076,1.6202472992485859e-16
64,em_bp,0.0725,0.054731423955697175,0.20250184824467346,0.00274700062111132,1.299570574208924e-15
64,dsm_net_eps,0.0725,0.4030594867250428,1.491287547724664,0.1489784864851006,1.8863955945359818e-16
64,dsm_net_x0,0.0725,0.5404582697719617,1.999651947965593,0.2678610678909433,1.7602550264113093e-16
64,em_bp,0.1053,0.04904923744423396,0.13433777353134013,0.002122040631021208,1.475810901204638e-15
64,dsm_net_eps,0.1053,0.4386051812114489,1.2012672688387038,0.16968235796503167,2.011728712763865e-16
64,dsm_net_x0,0.1053,0.5309562554405587,1.4542016331959744,0.24866041774259545,1.9879683823829312e-16
64,em_bp,0.1527,0.045371348530327475,0.09266981610013147,0.0017607748689260703,1.717304881202365e-15
64,dsm_net_eps,0.1527,0.46124333627521236,0.9420776885541369,0.18197036470470856,1.8660593146075334e-16
64,dsm_net_x0,0.1527,0.5162537252740681,1.054434997676504,0.22796430661780487,1.9608415239003308e-16
64,em_bp,0.2216,0.04168141975840831,0.06293485554369563,0.0014310576324067365,2.1382092615474353e-15
64,dsm_net_eps,0.2216,0.4628512372877841,0.6988599698802547,0.17646353510480955,2.0414716992912047e-16
64,dsm_net_x0,0.2216,0.5113203814423187,0.7720436234931297,0.21535666922108693,2.1654535407947817e-16
64,em_bp,0.3215,0.04374761890256251,0.04796956848216392,0.0014704563299466843,2.389760281144471e-15
64,dsm_net_eps,0.3215,0.47205505160531974,0.5176116482080451,0.1712097881349811,2.329987963974687e-16
64,dsm_net_x0,0.3215,0.49592513113700376,0.5437853564804911,0.18896245579941176,2.469948044042877e-16
64,em_bp,0.4665,0.046493613856933125,0.03458937818272586,0.001435995117825304,3.09835949306951e-15
64,dsm_net_eps,0.4665,0.492022291926889,0.36604479019762987,0.16081846557133622,2.7864017266228417e-16
64,dsm_net_x0,0.4665,0.4911137834096961,0.3653688964118702,0.16022511824428254,3.1595975788741315e-16
64,em_bp,0.6769,0.05088901718140984,0.023681799660304027,0.0014240845474224055,4.267960965416106e-15
64,dsm_net_eps,0.6769,0.6121731103587799,0.2848819206954112,0.20608014241041822,3.274809492604011e-16
64,dsm_net_x0,0.6769,0.5053317410076225,0.23516203918567435,0.1404238265241214,4.468011086771154e-16
64,em_bp,0.9821,0.06625408418975463,0.018103618616760547,0.0018148356035271943,5.485066487177284e-15
64,dsm_net_eps,0.9821,0.8328989425312585,0.22758574035532078,0.28681152693265344,3.88548667860935e-16
64,dsm_net_x0,0.9821,0.5343272090270589,0.14600241067523223,0.11803928223964216,6.812691698675747e-16
64,em_bp,1.425,0.09869300912445368,0.01205705984484411,0.0022252165889665547,7.953134664559669e-15
64,dsm_net_eps,1.425,1.6111800079967957,0.19683353410308035,0.5930449830927521,4.396292538962068e-16
64,dsm_net_x0,1.425,0.5811369418029128,0.07099593930236438,0.07715364967915615,1.3544479604874943e-15
64,em_bp,2.0676,0.20843617124374564,0.007005149106594806,0.0029422553319976563,1.3285122539586625e-14
64,dsm_net_eps,2.0676,5.303635955919319,0.17824526547681496,1.9049412972504252,4.786088636962623e-16
64,dsm_net_x0,2.0676,0.7512420353528317,0.025247836982355155,0.03822028716905206,3.768806741591521e-15
64,em_bp,3.0,0.49712213314360054,0.002897822855275283,0.0033612729632148527,3.3419357249263764e-14
64,dsm_net_eps,3.0,31.290397983934422,0.1823978945679178,13.316796319652813,4.681452741503347e-16
64,dsm_net_x0,3.0,1.3037664214327234,0.007599911333814748,0.02311943233679004,1.2514750404240902e-14
128,em_bp,0.05,0.019026543910260076,0.09442388534137931,0.0003366836329422504,3.628529274590054e-15
128,dsm_net_eps,0.05,0.26145306453287853,1.2975248843954297,0.06357548215370674,2.6047008273975746e-16
