n_chains,n_components,design,seed,update,log_evidence,q_before,rho_score,abs_rho_score,max_param_change,rel_ll_increment,ll_increment,monotone_ok,rho,innovation_mean,innovation_var,innovation_excess_kurtosis,min_sd_over_dx,min_component_mass,max_component_mass,effective_components,q_after,seconds
512,8,uniform,0,0,-22465.79964704613,-23077.021230647853,0.1510030854868785,0.1510030854868785,0.0,nan,nan,1,0.3,-2.7755575615628914e-17,1.2058693843641055,-0.03813030548316876,17.515629689622397,0.125,0.125,7.999999999999998,-22817.34146487914,0.4007254440803081
512,8,uniform,0,1,-22012.120845851154,-21879.737102398805,0.12239696718549954,0.12239696718549954,0.1416905081179155,0.020194197772729926,453.6788011949757,1,0.4416905081179155,-0.0037145594880002466,1.0383614623075896,0.023922675639728386,16.56170033641173,0.12027880035276074,0.1322614585783672,7.997126758877484,-21707.33326993793,0.3808075529523194
512,8,uniform,0,2,-21707.943424738784,-20799.71637762288,0.09777523353592012,0.09777523353592012,0.1133476874220477,0.013818633072319408,304.1774211123702,1,0.5413784924534862,-0.004328911384791193,0.9032845329770629,0.07491124465779464,15.70683102808652,0.1162844355793817,0.1390712967958402,7.989522647743318,-20682.71262668994,0.4053886840119958
512,8,uniform,0,3,-21499.424296629095,-19833.038438905587,0.07809427701619906,0.07809427701619906,0.09122000376500694,0.009605660196813312,208.5191281096886,1,0.6110634947421884,-0.0040405900416556895,0.7942474554511538,0.1159606834786806,14.950892288840269,0.11277071210008571,0.1453650693954579,7.978529943722992,-19751.172502258014,0.4041335890069604
512,8,uniform,0,4,-21352.21209871855,-18973.873583500474,0.06308282169557917,0.06308282169557917,0.07333995110134017,0.006847262321048506,147.21219791054318,1,0.6604746051571192,-0.003632921823870836,0.7065610412712258,0.14876475470532746,14.290156611811826,0.10965066597676353,0.15109433144389056,7.965356037256531,-18914.94209019313,0.3984286221675575
512,8,uniform,0,5,-21245.490486203344,-18213.789617116963,0.051826373532912445,0.051826373532912445,0.05913150377796106,0.004998152510934124,106.72161251520811,1,0.6964545361274902,-0.003306819088122173,0.6361090016028129,0.17545133046216144,13.715360243884534,0.10688436239142945,0.15625933178137189,7.95098938622127,-18170.395879587242,0.4040807590354234
512,8,uniform,0,6,-21166.498800339847,-17542.78885854636,0.04333508709498168,0.04333508709498168,0.04802715243400896,0.0037180448206076276,78.99168586349697,1,0.7234743736568117,-0.003077264694242526,0.5793127965590681,0.19810830617041253,13.214845718903284,0.10443718147848484,0.16089758667278337,7.936146263626411,-17510.270465128066,0.3999782749451697
512,8,uniform,0,7,-21107.089407857686,-16950.532145565732,0.036801693336892816,0.036801693336892816,0.03941381171667657,0.0028067652115052228,59.40939248216091,1,0.7443728468629502,-0.002919240831028208,0.53322139686403,0.21849674631937388,12.777117948881461,0.10227173488953385,0.16506464684495764,7.921296155897673,-16925.818010455387,0.3944684991147369
512,8,uniform,0,8,-21061.832837038724,-16427.199121505786,0.03164615299186802,0.03164615299186802,0.032727269837920514,0.002144140764482352,45.256570818961336,1,0.7609535898373415,-0.002808568669287298,0.4955017005528819,0.23798704028888906,12.39203413506719,0.10035013372241562,0.16882003310246066,7.90672204052013,-16408.19163702723,0.39429810200817883
512,8,uniform,0,9,-21026.984626218222,-15963.923943472933,0.027475342668751512,0.027475342668751512,0.027503408334343837,0.0016545668693761317,34.84821082050257,1,0.7743850004648103,-0.0027286787246614944,0.4643537611435665,0.2576103757662418,12.051109871584702,0.09863708597439286,0.17221966875540018,7.892580484102619,-15949.15078152926,0.4040516819804907
