family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
laplace,0.5,0.02,3.0,0.0009164154312099447,0.031888100586039525,0.572683282662662,0.5200923110849194,0.5486541471715998,0.8600956368986692,1.481086980450136
laplace,0.5,0.05,3.0,0.003532394277404116,0.07124170485718309,0.352945208675337,0.43391024452399485,0.46430535448953525,0.9057940986250106,1.2982356463876028
laplace,0.5,0.1,3.0,0.005716232590374876,0.09201502243182472,0.1424304132388225,0.2954518159699904,0.49491524295441097,0.9622728904040316,0.8344681703106224
laplace,0.5,0.2,3.0,0.013137278071811545,0.12460764881378882,0.08102191766381858,0.23332610334215217,0.3015581634629288,0.9728560811421169,1.0596335843754727
laplace,0.5,0.4,3.0,0.007611155029912534,0.12057948245648495,0.011277959075164198,0.10241590188345553,0.2523624728041339,0.9951544888838308,0.4183282632382864
laplace,0.5,0.8,3.0,0.0013624896957291674,0.0895081308414095,0.00043186066013173633,0.021391415417614766,0.03253933069933714,0.9998369692273478,0.042315858884278246
laplace,0.5,1.6,3.0,4.2079900622815855e-05,0.03034179347311613,1.8641454633701694e-06,0.001598621716803118,0.002584095479112036,0.9999992095855312,0.003729626412224185
laplace,0.5,2.4,3.0,3.915277645124896e-07,0.005635737875678901,3.2758717862802384e-09,5.508091030057467e-05,7.275048630042797e-05,0.9999999986339602,0.00012498153411388824
student_t_nu5,0.5,0.02,6.0,0.0002802910629932871,0.021384159455612874,0.17515855865070984,0.31668019158969973,0.5177550336136636,0.9593285934954232,0.8207577482563264
student_t_nu5,0.5,0.05,6.0,0.0011553504014148123,0.040458880071313374,0.11543880906186696,0.25147690994234073,0.3658663993150585,0.9760892228280443,0.7342729985907693
student_t_nu5,0.5,0.1,6.0,0.003560998026597929,0.07312849509040006,0.08872879338832362,0.24992745565970448,0.47875565675584636,0.9686008335580145,0.9421325529070866
student_t_nu5,0.5,0.2,6.0,0.005799308124840379,0.08764148791985862,0.0357662418980174,0.158950662366048,0.4434951841458352,0.9877738824161086,0.7684971010011594
student_t_nu5,0.5,0.4,6.0,0.00586490696956489,0.10894260264842864,0.008690426160345632,0.08533529181600336,0.3542763771240407,0.9965492931608235,0.3864711542421123
student_t_nu5,0.5,0.8,6.0,0.0013488345759071502,0.08374354310930035,0.0004275324739597612,0.020984297313986874,0.04547107348043946,0.9997882409389407,0.055793239679775675
student_t_nu5,0.5,1.6,6.0,6.978642790982572e-05,0.037672544351821546,3.091548484370129e-06,0.0018491908574845514,0.0028769047429093504,0.9999989227212808,0.003139916601002657
student_t_nu5,0.5,2.4,6.0,2.4978765689962352e-06,0.014552826293090989,2.0899471556445555e-08,0.0001401541447107013,0.00017796814277846063,0.9999999936993611,0.00026843158845457626
student_t_nu8,0.5,0.02,1.5,9.16057265101838e-05,0.01131231788163932,0.057245945868988325,0.19554007717667252,0.3094427328573526,0.9865461086817724,0.6618950186007136
student_t_nu8,0.5,0.05,1.5,0.00047074045673950536,0.0236350274098688,0.04703483690896058,0.17212568004165452,0.36930702081136463,0.9872794843272796,0.6425900317304807
student_t_nu8,0.5,0.1,1.5,0.001594802733646974,0.04473695536810579,0.039737433492510445,0.15721404785145363,0.29917641404816225,0.9878455155896284,0.7313739665522347
student_t_nu8,0.5,0.2,1.5,0.0013903986970816348,0.04090549687532104,0.008575046378636549,0.08183485927300248,0.22913017224486346,0.9968349497744958,0.3269374485308223
student_t_nu8,0.5,0.4,1.5,0.0013990979199848203,0.054466229742460154,0.002073137259945876,0.04598618313014237,0.05855649572078707,0.9990015800131267,0.17286396048146324
student_t_nu8,0.5,0.8,1.5,0.0002893095728507877,0.033783457253070526,9.170082056797207e-05,0.009464674146967002,0.016300545933156548,0.999967048147804,0.020429162657384148
student_t_nu8,0.5,1.6,1.5,6.70819491933811e-06,0.01177276532223898,2.9717397002372466e-07,0.0005652863310089456,0.0006389249462286533,0.9999998657495253,0.0010898339825564651
student_t_nu8,0.5,2.4,1.5,1.0315131953131543e-07,0.003092150421794293,8.630562836102594e-10,3.4818040116642556e-05,4.817003239786757e-05,0.9999999996397702,5.491276589417171e-05
gauss_mix_kappa0.3,0.5,0.02,-0.18,1.0781786320107392e-05,0.0034514416199650797,0.00673771803974785,0.06814388015687209,0.07911634525322872,0.9979693921818394,0.198881633551375
gauss_mix_kappa0.3,0.5,0.05,-0.18,5.44175614225446e-05,0.007545511259613289,0.005437223611968153,0.05974097022575657,0.07954041454991859,0.9983971114060125,0.21724566111358012
gauss_mix_kappa0.3,0.5,0.1,-0.18,9.104804508994359e-05,0.010350308022442915,0.002268628940778829,0.04362672014058207,0.051057810595137115,0.9990788396081111,0.15343965617449307
gauss_mix_kappa0.3,0.5,0.2,-0.18,0.00016535926698356385,0.01428066015478204,0.0010198250232092607,0.025908115365969396,0.04354281385966711,0.9996733955943018,0.1113509899314139
gauss_mix_kappa0.3,0.5,0.4,-0.18,6.158159031201304e-05,0.011753989196790172,9.124957415699772e-05,0.009361116844842369,0.012243054662093819,0.9999599065374062,0.03239050030396062
gauss_mix_kappa0.3,0.5,0.8,-0.18,8.34583600435282e-06,0.006405189667219419,2.6453324803034466e-06,0.0016272521686207869,0.001860735217268765,0.9999990654055192,0.003179993672205561
gauss_mix_kappa0.3,0.5,1.6,-0.18,1.6495241952204707e-07,0.0017920830926038225,7.307415178569979e-09,8.864688538881325e-05,0.00020693847185959785,0.9999999967708688,0.0002453443431157387
gauss_mix_kappa0.3,0.5,2.4,-0.18,3.0864765957644465e-09,0.00042766824262391014,2.5824226314374245e-11,4.7606330450777095e-06,7.57330955453731e-06,0.9999999999890714,1.631194774165401e-05
gauss_mix_kappa0.6,0.5,0.02,-0.72,0.0004229087907193966,0.022671998128693683,0.2642827546196088,0.40463604471043635,0.5102958860026919,0.9158362462407358,0.9577806009454676
gauss_mix_kappa0.6,0.5,0.05,-0.72,0.0017190610276273518,0.04191866204885583,0.17176291927622844,0.32409397639729,0.37231509099519094,0.9471258745483799,0.9598159236674131
gauss_mix_kappa0.6,0.5,0.1,-0.72,0.0026811547310794876,0.05517119147679525,0.06680588486687725,0.22792462204542238,0.23609005956543938,0.9759882729777862,0.7417832590898588
gauss_mix_kappa0.6,0.5,0.2,-0.72,0.002685586372610174,0.06648533702362369,0.016562895051112397,0.11790832624263481,0.12948306540649165,0.993115390776401,0.3859891627336087
gauss_mix_kappa0.6,0.5,0.4,-0.72,0.0011728767867424383,0.05443262003228408,0.0017379302286059653,0.04101824908296356,0.0674337426387736,0.9992166015410098,0.12974271018320194
gauss_mix_kappa0.6,0.5,0.8,-0.72,0.000210382032393019,0.026965034806024468,6.668360404772257e-05,0.008411372416345271,0.011685281884774978,0.9999693747752187,0.026216755967533478
gauss_mix_kappa0.6,0.5,1.6,-0.72,1.91223725737562e-06,0.006229966416445831,8.471237706040704e-08,0.0002946002411522369,0.0003670549103347794,0.9999999626256499,0.000606097875156586
gauss_mix_kappa0.6,0.5,2.4,-0.72,1.9681365420252012e-08,0.0014400436889053226,1.646719225035864e-10,1.429504611705001e-05,2.1100663135771394e-05,0.999999999919003,3.1533981388776056e-05
gauss_mix_kappa0.9,0.5,0.02,-1.62,0.011038013936944428,0.10786853194090101,6.897838949677595,0.9390401016307355,0.990340243887927,0.357648107745395,5.780907625158944
