n_chains,t,em_bp_score_rel_l2,em_bp_mean_rel_l2,net_score_rel_l2_selected,net_mean_rel_l2_selected,net_score_rel_l2_oracle,net_mean_rel_l2_oracle,mode_selected,mode_oracle,selection_agrees,ratio_selected,ratio_oracle,seed
32,0.1,0.1428325457104516,0.0476643973243872,1.4637851112475049,0.4884771519893041,1.4637851112475049,0.4884771519893041,eps,eps,1,10.248260324470252,10.248260324470252,10
32,0.2,0.0966632686867621,0.0574258386222177,0.9320976408919072,0.5537417618212502,0.9320976408919072,0.5537417618212502,eps,eps,1,9.642728345059126,9.642728345059126,10
32,0.4,0.0549029982994038,0.0633114134357638,0.5204890314416866,0.6002021251859883,0.5204890314416866,0.6002021251859883,eps,eps,1,9.48015677765522,9.48015677765522,10
32,0.8,0.0292470338922931,0.0808924616445709,0.2582834322905646,0.7143692832898916,0.2582834322905646,0.7143692832898916,x0,x0,1,8.83109833433825,8.83109833433825,10
32,1.6,0.010319250295294,0.1269628632231086,0.0668928505185832,0.8230159738317203,0.0668928505185832,0.8230159738317203,x0,x0,1,6.482336274863738,6.482336274863738,10
64,0.1,0.165117305149035,0.0551010051568366,1.2724628728323877,0.4246313446948255,1.2724628728323877,0.4246313446948255,eps,eps,1,7.706417396310226,7.706417396310226,10
64,0.2,0.1122066851500024,0.0666598914075463,0.8440175652271543,0.5014150375166176,0.8440175652271543,0.5014150375166176,eps,eps,1,7.521990014220968,7.521990014220968,10
64,0.4,0.0521779730316067,0.0601690495085412,0.4647819830626367,0.5359635210941165,0.4647819830626367,0.5359635210941165,eps,eps,1,8.90762818212765,8.90762818212765,10
64,0.8,0.0231433624072246,0.0640107151633638,0.2203469244354335,0.6094431729054535,0.2203469244354335,0.6094431729054535,x0,x0,1,9.520955536117258,9.520955536117258,10
64,1.6,0.006155952347241,0.0757397401463523,0.0549569309697674,0.6761624255841895,0.0549569309697674,0.6761624255841895,x0,x0,1,8.927445806886006,8.927445806886006,10
128,0.1,0.056333127453881,0.0187988287692519,1.0838267720299115,0.3616819236532145,1.0838267720299115,0.3616819236532145,eps,eps,1,19.239598811857583,19.239598811857583,10
128,0.2,0.0355210974487551,0.0211024191245421,0.7273241051921608,0.4320896371315645,0.7273241051921608,0.4320896371315645,eps,eps,1,20.4758342909152,20.4758342909152,10
128,0.4,0.01757655016525,0.0202684055289321,0.4029822380160655,0.4646991215155828,0.4029822380160655,0.4646991215155828,eps,eps,1,22.92726583017339,22.92726583017339,10
