n_chains,seed,arm,innov_kurtosis,innov_kurtosis_se,kurtosis_gap_in_se,innov_variance,innov_kl,cov_frobenius_rel,cov_worst_lag_abs,marginal_var,notes
2048,0,exact,2.094349626732427,0.09957827082676736,1.8529244897891302,0.3414822074068854,0.0009948040879339923,0.058187891887190105,0.025773582686928864,1.025603033038014,
2048,0,em_bp,0.9832753539497108,0.03570036091082677,25.953890450332892,0.34462591633681083,0.0048594709105099325,0.05581759664663295,0.023872403594298874,1.023746570546336,
2048,0,mlp,0.24241330067161515,0.025066637499816493,66.51970410499801,0.3452989260388563,0.016587302723455728,0.15020421951040294,0.05382397703399,0.9532894501881437,
2048,0,cnn,1.4494496712377387,0.0642774116997095,7.162530765547259,0.34166418220127664,0.002406057574961595,0.2012189475566883,0.09255978746480131,1.078782074456718,
2048,1,exact,1.9208838013029563,0.08912214956074502,0.12393317812394847,0.33313790798836457,0.0008130885637726016,0.060385793384847605,0.025719918604319974,0.9829129713555117,
2048,1,em_bp,0.7794878500580871,0.03860873685010516,29.277071777744254,0.3376630369182103,0.005827327973380179,0.05806940595204452,0.026189619424759183,0.9924636717706223,
2048,1,mlp,0.1597688634736194,0.024738472591974887,70.74283750083889,0.3304401084297802,0.016381519482833954,0.1539443499022344,0.07783397450426213,0.9397022956835024,
2048,1,cnn,1.2403349686132268,0.0592227121646707,11.304846012317904,0.3354826740381363,0.0031114469448647194,0.20860135491223306,0.10295172559548071,0.9539885636628095,
2048,2,exact,1.8943266369999758,0.09577744928126969,0.1619585109342961,0.33728476837609656,0.0006906411239437106,0.05568528695849568,0.019281675363497324,0.9947745494213937,
2048,2,em_bp,0.8115268053282643,0.03439962635178621,31.928015540243244,0.3491639451504171,0.005129185259709796,0.05782822197437667,0.03333054867248342,1.0331994363151735,
2048,2,mlp,0.16968509905833562,0.02272217433776666,76.58393449239584,0.34057111934232587,0.015364254945378384,0.1316122707294164,0.04986995231668289,0.9949349925751235,
2048,2,cnn,1.2730679284880253,0.07425961491751874,8.574925715490185,0.31951700642454356,0.0019692725658124887,0.1777808392805065,0.06637844686878724,1.0327417927432412,
