n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
32,em_bp,0.05,0.05841586961155515,0.28990306386353326,0.0031736854568029165,1.1804598403927552e-15
32,dsm_net_eps,0.05,0.3653468951603844,1.8131234711444506,0.12414036875412789,1.9755565058560692e-16
32,dsm_net_x0,0.05,0.6076235806678282,3.0154808767323367,0.3433771791139713,1.544058845225678e-16
32,em_bp,0.0725,0.06516973620621991,0.24112276051980236,0.0038947285035002676,1.066448094477856e-15
32,dsm_net_eps,0.0725,0.42134554089088605,1.5589444712624634,0.1628028739118078,1.8740224512966954e-16
32,dsm_net_x0,0.0725,0.6066932865746986,2.2447161606549657,0.3375387527714644,1.6732831518206814e-16
32,em_bp,0.1053,0.06478561931721012,0.17743712867744282,0.003702085161086625,1.146937795916958e-15
32,dsm_net_eps,0.1053,0.46364773607389875,1.2698546972892033,0.18961184424900124,1.935110638177881e-16
32,dsm_net_x0,0.1053,0.600979477580041,1.6459836923646496,0.3185726286322916,1.8837047484589536e-16
32,em_bp,0.1527,0.06840904822480318,0.1397237270640098,0.0040028337426511965,1.1544258896923421e-15
32,dsm_net_eps,0.1527,0.48484298495143596,0.9902793659054616,0.20106787518263158,1.8664875737650648e-16
32,dsm_net_x0,0.1527,0.5985759693450368,1.2225760705367807,0.3064636790052712,1.817157814376602e-16
32,em_bp,0.2216,0.07079675950911721,0.10689616281051068,0.0041285626248139555,1.2599320203940384e-15
32,dsm_net_eps,0.2216,0.49077086332472974,0.7410158667199903,0.19839451423431845,2.0079149422656318e-16
32,dsm_net_x0,0.2216,0.5903310082469599,0.8913419202687296,0.28705380574871264,2.0121806639839188e-16
32,em_bp,0.3215,0.07346970164230714,0.08056003898507873,0.004147246441836275,1.465456611781706e-15
32,dsm_net_eps,0.3215,0.5051097685924889,0.5538563753486503,0.1960265182134256,2.156211606058564e-16
32,dsm_net_x0,0.3215,0.5898933105534473,0.6468221189543755,0.2673561836730273,2.2245530461360476e-16
32,em_bp,0.4665,0.07214865879483119,0.05367569946509385,0.0034579832006005336,2.009909833666153e-15
32,dsm_net_eps,0.4665,0.5338617120392184,0.39717163548146894,0.18933194848406196,2.616118498198436e-16
32,dsm_net_x0,0.4665,0.591624028264135,0.4401444748645684,0.2325187411211342,2.7263842284188454e-16
32,em_bp,0.6769,0.08241339853677514,0.03835203942955441,0.003734937121116026,2.65795990765923e-15
32,dsm_net_eps,0.6769,0.6395780855157448,0.2976351465840011,0.22494419831515558,3.1676902389635593e-16
32,dsm_net_x0,0.6769,0.6056707921486121,0.2818559908246926,0.20172555019034277,3.836923988465515e-16
32,em_bp,0.9821,0.09439879923701958,0.02579403036305825,0.0036842146090982804,3.897824649386219e-15
32,dsm_net_eps,0.9821,0.8491692294060561,0.2320315201433715,0.2981264285936987,3.8701799134564065e-16
32,dsm_net_x0,0.9821,0.6557200542969605,0.1791724378583951,0.1777660869006362,5.612810513392722e-16
32,em_bp,1.425,0.1179813613427422,0.01441346602870129,0.003179994095366909,6.679948627170749e-15
32,dsm_net_eps,1.425,1.4935994838105167,0.1824690372731743,0.509645057994929,4.682303124217186e-16
32,dsm_net_x0,1.425,0.7238275958850187,0.08842807325825995,0.11969328340084498,1.0959118176667732e-15
32,em_bp,2.0676,0.1638175311048567,0.005505600226756167,0.001817418469615454,1.7452827347702955e-14
32,dsm_net_eps,2.0676,4.982182621050489,0.16744182129468685,1.6810222796750336,5.07140829995612e-16
32,dsm_net_x0,2.0676,1.0834499111875862,0.036412721132362866,0.0794972052444012,2.6217784909963483e-15
32,em_bp,3.0,0.26477278656627856,0.0015434127374591299,0.0009535078559415018,6.074727249204135e-14
32,dsm_net_eps,3.0,28.40751116345808,0.16559297931556258,10.975996384707162,5.104412942153123e-16
32,dsm_net_x0,3.0,2.2085734841541003,0.012874209964189975,0.06634394477062353,7.36725564823419e-15
64,em_bp,0.05,0.026414980841110675,0.13109081365485217,0.0006489373774249265,2.6287317173809732e-15
64,dsm_net_eps,0.05,0.319715977323992,1.5866688625656442,0.09506723643261286,2.1821552768876311e-16
64,dsm_net_x0,0.05,0.5398845345599602,2.6793092654827184,0.27108404858663726,1.6437016882351404e-16
64,em_bp,0.0725,0.027512591495743546,0.10179436647580246,0.0006941419037154106,2.5812482413729503e-15
64,dsm_net_eps,0.0725,0.37242990756482425,1.3779605786342657,0.1271962657207848,2.0414578873080634e-16
64,dsm_net_x0,0.0725,0.5323290195177821,1.9695743785852062,0.25986365763462843,1.7128411837662116e-16
64,em_bp,0.1053,0.028130729718991342,0.07704543016714005,0.0006979931674458597,2.5348329076671175e-15
64,dsm_net_eps,0.1053,0.412211094827937,1.1289782184087942,0.1498747697672726,2.1340443528901149e-16
64,dsm_net_x0,0.1053,0.524025261030741,1.4352187823732332,0.24221086535614866,1.976937385825855e-16
64,em_bp,0.1527,0.026672553980905307,0.054478007650117455,0.0006085127205968364,2.883378306252915e-15
64,dsm_net_eps,0.1527,0.43423326083149094,0.8869103019699084,0.16128227010968826,1.969813965568372e-16
64,dsm_net_x0,0.1527,0.5186363079543238,1.0593013617140434,0.23007333605076807,1.9750301610989547e-16
64,em_bp,0.2216,0.025189284928000988,0.038033349568735254,0.0005226413838199339,3.5079376988082864e-15
64,dsm_net_eps,0.2216,0.4315917678893383,0.6516612371507415,0.1534328747146107,2.1259088113274557e-16
64,dsm_net_x0,0.2216,0.5086518900773322,0.7680144632690192,0.21311471735405854,2.2019331604426254e-16
64,em_bp,0.3215,0.022002484129680852,0.02412587692114662,0.00037195185044094816,4.853490535056786e-15
64,dsm_net_eps,0.3215,0.44713717745829,0.49028902585028583,0.15361189715232912,2.390383942895416e-16
64,dsm_net_x0,0.3215,0.4885719670048389,0.5357225608530515,0.18340044290581806,2.5077368600490186e-16
64,em_bp,0.4665,0.01776197756407401,0.01321419670940963,0.00020957959123477982,8.076195579093207e-15
64,dsm_net_eps,0.4665,0.4931783831139371,0.36690487552903844,0.16157509485546528,2.8030779573949455e-16
64,dsm_net_x0,0.4665,0.5035717358213413,0.3746371117989289,0.1684569942037099,3.127087941150422e-16
