n_components,n_chains,seed,iter,log_evidence,seconds
12,2048,0,0,-445264.93655454455,13.404797360068187
12,2048,0,1,-436749.0716287548,13.55689388490282
12,2048,0,2,-431408.5469900192,13.53115873108618
12,2048,0,3,-427953.03676847194,13.672547881025821
12,2048,0,4,-425593.1271912433,13.623982239048928
12,2048,0,5,-423904.0512162102,13.753300642827526
12,2048,0,6,-422656.1786587288,13.652496349997818
12,2048,0,7,-421715.2476505908,13.75145042897202
12,2048,0,8,-420995.6426301784,13.621898026904091
12,2048,0,9,-420439.2202619948,13.738898494979367
12,2048,0,10,-420004.92087710777,13.628867260878906
12,2048,0,11,-419663.0344726438,13.750466483877972
12,2048,0,12,-419391.70413649967,13.60795962694101
12,2048,0,13,-419174.6492820318,13.737185928970575
12,2048,0,14,-418999.62234392605,13.606806650059298
12,2048,0,15,-418857.33497245196,13.717221169965342
12,2048,0,16,-418740.6965012695,13.610250152181834
12,2048,0,17,-418644.26538063097,13.766901488881558
12,2048,0,18,-418563.8485006238,13.603721047053114
12,2048,0,19,-418496.2047018002,13.763316524215043
12,2048,0,20,-418438.82262525475,13.624801978003234
12,2048,0,21,-418389.752296366,13.749950520927086
12,2048,0,22,-418347.476128417,13.607247126987204
12,2048,0,23,-418310.8093523317,13.799071128945798
12,2048,0,24,-418278.8228291733,13.617273649200797
12,2048,0,25,-418250.78318723757,13.732355906162411
12,2048,0,26,-418226.10654322756,13.623000693041831
12,2048,0,27,-418204.3229437175,13.733740395167843
12,2048,0,28,-418185.0492647477,13.618327728938311
12,2048,0,29,-418167.9687452449,13.675202224869281
12,2048,0,30,-418152.81567107665,13.518440960906446
12,2048,0,31,-418139.3640070175,13.673304257914424
12,2048,0,32,-418127.41901111125,13.54602374881506
12,2048,0,33,-418116.81106768735,13.687066384125501
12,2048,0,34,-418107.39114539744,13.541520474944264
12,2048,0,35,-418099.0274276451,13.655122234951705
12,2048,0,36,-418091.6027772507,13.53813509317115
12,2048,0,37,-418085.0127880048,13.65318289003335
12,2048,0,38,-418079.1642460967,13.500953357899562
12,2048,0,39,-418073.9738775396,13.523377313977107
12,2048,1,0,-446296.60994372383,13.76521152886562
12,2048,1,1,-437762.78534998297,13.763897112105042
12,2048,1,2,-432272.2517313926,13.781615287996829
12,2048,1,3,-428639.64306758915,13.969011299079284
12,2048,1,4,-426125.3848769193,13.99039568612352
12,2048,1,5,-424315.33120946353,14.05959326797165
12,2048,1,6,-422975.8449422355,14.136167581891641
