mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
longrange,0.4,em_bp,0.1,0.0980906273315628,1.0,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,cnn,0.1,0.04634723051839197,0.47249397602209786,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,mlp,0.1,0.08041238130527631,0.819776399568421,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,em_bp,0.2,0.14263837385271008,1.0,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,cnn,0.2,0.0864451690031866,0.6060442689318011,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,mlp,0.2,0.12719942085788563,0.8917615745481866,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,eps,eps,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,em_bp,0.4,0.2252896895899531,1.0,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,cnn,0.4,0.17209366808958948,0.7638772480126143,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,mlp,0.4,0.1629485272067075,0.723284441038061,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,em_bp,0.8,0.3771802311458888,1.0,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,cnn,0.8,0.3451040536679831,0.9149579568885226,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,mlp,0.8,0.1707109763831981,0.45259788898419,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,em_bp,1.6,0.5717105162947704,1.0,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,cnn,1.6,0.591173845073797,1.034044027920227,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
longrange,0.4,mlp,1.6,0.26323945982934205,0.4604418710633222,0.7424190709498556,0.6414587730494757,0.10096029790037986,1030.5196030479856,81,0.0,x0,x0,-0.0030721107051190095,0.44588708545133676,0.026876070331977697
