n_chains,seed,arm,innov_kurtosis,innov_kurtosis_se,kurtosis_gap_in_se,innov_variance,innov_kl,cov_frobenius_rel,cov_worst_lag_abs,marginal_var,notes
128,0,exact,2.3839245191980467,0.31139569304592685,4.610701859397615,0.33330336663933136,0.000830307231526384,0.06323048838523423,0.020319862984624574,0.9873255231624124,
128,0,em_bp,0.6109577368246337,0.031463878484042716,101.98105376411296,0.3280978666784939,0.0025576025860188454,0.10667744259348368,0.06116941683055832,0.938650491276535,
128,0,mlp,0.4261677699066482,0.039356685324423615,86.22447297716785,0.29593630075816024,0.0049632223435044105,0.3316324664572424,0.2795685550795779,0.729250994057462,
128,0,cnn,1.0813179213333521,0.07334206096056793,37.336819594860124,0.30636194954343876,0.0019051324736179727,0.30656035585694974,0.21004721032123586,0.7902004672320281,
128,1,exact,2.972280131745217,0.3735268331261257,2.2686377878024095,0.33535658790173173,0.0012395600709313572,0.0658218917519906,0.043927605622447415,1.0142688436311245,
128,1,em_bp,1.4094161921776136,0.06327021528831536,38.09471829631691,0.35861367439438874,0.0027982529562937033,0.11921378130745085,0.06478069240003825,0.9657272157839426,
128,1,mlp,0.6519381077602415,0.0670145021068428,47.26945680089763,0.29827749321852476,0.004722597064406886,0.3305025414546902,0.24269910026910912,0.7673776167233352,
128,1,cnn,1.2436615634970964,0.08874413415960869,29.027447064875087,0.3220068873801107,0.0015748027993775326,0.2496437058186751,0.13252188396852588,0.8968052389139075,
128,2,exact,2.2061258578851124,0.14224595574518448,11.343390072464839,0.3413816114280923,0.0009657785617025632,0.07544668889755532,0.03289913644412739,1.0113571841302194,
128,2,em_bp,1.245902520876471,0.05694594831967446,45.19680109300449,0.3515825539937541,0.0024531298209096667,0.08737820842928812,0.03270074873111827,0.9933469545960918,
128,2,mlp,0.8351544057306479,0.2113601433095169,14.120556353106327,0.29064182789710874,0.005016097512386153,0.30321581372661244,0.2457839327373066,0.7584334425049283,
128,2,cnn,1.1566317369736456,0.07250945627342113,36.726871500977225,0.31895103091730226,0.0011710882061460337,0.2663723242779493,0.15911802694502197,0.8410230040500741,
512,0,exact,2.7184606545584398,0.36007509783952424,3.0582969280082053,0.3363548427428004,0.0008656256917562046,0.045978148586407815,0.01587444898886551,1.0045086591221857,
512,0,em_bp,1.3978698518421062,0.06623502724759749,36.563846486211716,0.3548614280239185,0.002746171214507158,0.05270993630067866,0.02143466104342928,1.0097325529144587,
512,0,mlp,0.23123765177583966,0.032687551677817915,109.78000444103681,0.3340055400292107,0.008487175630315237,0.16418889752169036,0.09684690880082947,0.910020435269983,
512,0,cnn,1.2840495619334007,0.08266315243741557,30.674219206914938,0.31900066016518197,0.0012097266591053184,0.18643535923237792,0.08301476777991518,0.9192502926492702,
512,1,exact,2.645725037098133,0.2913164919902007,4.0298171072122715,0.3389902134465196,0.0012717052612907255,0.06141580314021151,0.040295156740386626,1.007821530937504,
512,1,em_bp,0.9671733971090988,0.04299730461979828,66.34145670867855,0.3500610707603252,0.002952051984591484,0.0798139383390544,0.037626996702647415,0.9957879041110298,
512,1,mlp,0.25356128373328035,0.03149757937780947,113.21873003715372,0.33265572524832704,0.00752822721684247,0.22416827264764358,0.10911326992978732,0.8947281572278204,
512,1,cnn,1.1693143568874484,0.07226725695419246,36.67446330398052,0.3174808867899258,0.002296529740004317,0.1881184523806977,0.08078368188869493,0.9815427519925317,
512,2,exact,2.7611945415183223,0.3716113745272374,2.848359203109932,0.33650081598227105,0.0007690871306107467,0.0700643329843287,0.04094001642310871,0.9847280268341659,
512,2,em_bp,1.1200948914042375,0.06808810088200691,39.64837165024337,0.3503554249380212,0.0032508081001387,0.08467343208896,0.03925103723586589,0.9898400437368358,
512,2,mlp,0.29543229635843415,0.04494405890432525,78.41403312676142,0.33042226169538175,0.007077053118031719,0.15439102305743788,0.08970465011333861,0.9223955742263552,
512,2,cnn,1.1491212083365738,0.12289252491122979,21.73082548125516,0.32249308503292023,0.0017032202849330289,0.20097096581665788,0.07464994018918411,1.0272822958457255,
