n_chains,em_seconds,em_iters,em_n_params,em_monotone_violation,net_n_params,net_grad_steps,net_eps_seconds,net_x0_seconds,net_eps_final_loss,net_x0_final_loss
32,49.660601132083684,121,25,0.0,25248,20000,11.536515214946121,11.506848188117146,0.07380856835745743,0.33979139627208393
64,48.88345103478059,121,25,0.0,25248,20000,13.833740485832095,13.795003022067249,0.10665955356459536,0.2511687419688312
128,51.780637613963336,121,25,0.0,25248,20000,18.929645870346576,18.92827387014404,0.14579075091585944,0.33818659437807774
256,62.16055975994095,121,25,0.0,25248,20000,18.87226194795221,18.95766590628773,0.20279570130902771,0.348012135902415
512,80.07370405970141,121,25,0.0,25248,20000,18.902251633815467,18.864079874008894,0.267648510684098,0.3949567824180677
1024,122.10542433103547,121,25,0.0,25248,20000,19.06358148995787,19.111571026965976,0.27365799672944,0.41058289650580837
2048,220.98360118176788,121,25,0.0,25248,20000,19.056652042083442,19.075538230128586,0.27481842104397297,0.4197033373361295
