source,orientation,parent_depth,corr_linear,std_ratio_q4_q1,std_ratio_linear_ar_null,std_ratio_excess_over_null
real_heldout,HL,0,0.1606411334661059,1.4153029997971487,1.0371636870746705,0.37813931272247814
real_heldout,HL,1,0.3765388833322673,1.9631238123795234,1.2124280260923006,0.7506957862872228
real_heldout,HL,2,0.3887623943638073,2.669117697371647,1.2273119624484856,1.4418057349231614
real_heldout,HL,3,0.45386680409065056,3.70027865818073,1.3174768450520298,2.3828018131287
real_heldout,LH,0,0.3164114415169375,1.2111098677516696,1.147638466412079,0.06347140133959073
real_heldout,LH,1,0.4010518952702051,1.7400746840461743,1.2428977543839135,0.4971769296622608
real_heldout,LH,2,0.4123901511571013,2.422957032817339,1.2578467393847224,1.1651102934326165
real_heldout,LH,3,0.4839412271308001,3.309228757763191,1.3659977222571358,1.9432310355060551
real_heldout,HH,0,0.03368560037128998,1.3565346866527224,1.0016234761422511,0.35491121051047125
real_heldout,HH,1,0.0862620038347542,1.4269627442765953,1.0106634381495743,0.41629930612702104
real_heldout,HH,2,0.09980704978020662,2.0805670526312277,1.0142845288958786,1.066282523735349
real_heldout,HH,3,0.14345379124371552,2.93021480192719,1.0295939003303975,1.9006209015967923
gaussian,HL,0,0.2084687279148095,1.060364050128816,1.0629070625104637,-0.002543012381647669
gaussian,HL,1,0.3306064886783914,1.1665890751806018,1.1617216136567745,0.004867461523827332
gaussian,HL,2,0.37832713652418803,1.2182359955829722,1.2145676935330587,0.00366830204991353
gaussian,HL,3,0.26455690664153525,1.1030747236688445,1.1021533858024193,0.0009213378664252314
gaussian,LH,0,0.22112924299473768,1.0658174636339743,1.0708958327157139,-0.005078369081739531
gaussian,LH,1,0.32804754634540184,1.1508129064515908,1.1591291816112368,-0.008316275159645947
gaussian,LH,2,0.3727237548492469,1.20398640256517,1.207905934485987,-0.003919531920816954
gaussian,LH,3,0.2645688301481522,1.10049750037234,1.10216280440657,-0.0016653040342300418
gaussian,HH,0,0.20520092441046459,1.0586881302860423,1.0609258608075272,-0.002237730521484904
gaussian,HH,1,0.33649234822646046,1.1807504218482787,1.1677751814387698,0.012975240409508926
gaussian,HH,2,0.37467607142453685,1.2037781274506654,1.2102127718934854,-0.006434644442820048
gaussian,HH,3,0.26355242565135795,1.102610596778101,1.1013616039586653,0.0012489928194356903
mixture,HL,0,0.20706984058449077,1.0948025933573806,1.0620549055627988,0.032747687794581815
mixture,HL,1,0.30304491700835895,1.1361532013274451,1.1350316592824512,0.0011215420449939284
mixture,HL,2,0.33209098091424083,1.1720731856051791,1.1632364544093838,0.008836731195795311
mixture,HL,3,0.22688980077158538,1.0818308835586592,1.0746965205343635,0.007134363024295709
mixture,LH,0,0.2195433897175563,1.0656935142535482,1.0698677865329105,-0.00417427227936229
mixture,LH,1,0.31676029468841793,1.1496195631335513,1.1479759225874306,0.0016436405461206505
mixture,LH,2,0.3319056028028988,1.1765569946756769,1.1630468472920104,0.013510147383666515
mixture,LH,3,0.22647651841034017,1.0729574786933405,1.0744203736570648,-0.001462894963724315
mixture,HH,0,0.21413384999949558,1.09394793758426,1.0664200808476547,0.027527856736605294
mixture,HH,1,0.31191543466863336,1.1526977954139572,1.1433279163383143,0.009369879075642906
mixture,HH,2,0.3314287868323134,1.184076452094562,1.162559729892514,0.02151672220204781
mixture,HH,3,0.22714420476845448,1.0744992414440384,1.0748667755414383,-0.00036753409739986864
scale_mixture,HL,0,0.21582447902341445,1.2522288589736918,1.067487782428924,0.1847410765447679
scale_mixture,HL,1,0.32652277756823805,1.4806459589151126,1.1575957475705962,0.3230502113445164
scale_mixture,HL,2,0.34040957739883604,1.5093044315994861,1.1718746278834111,0.337429803716075
scale_mixture,HL,3,0.23895606288310584,1.2939497264756483,1.0829969742816468,0.21095275219400156
scale_mixture,LH,0,0.2288470247422558,1.2620600702912272,1.0760116064184795,0.18604846387274776
scale_mixture,LH,1,0.33587875655610216,1.4977118437952746,1.167138175797914,0.33057366799736054
scale_mixture,LH,2,0.342112366740087,1.5092846790838272,1.1736743498882036,0.3356103291956236
scale_mixture,LH,3,0.23986508235518333,1.2935897876823743,1.083641024775719,0.2099487629066552
scale_mixture,HH,0,0.21040611440645451,1.2247466619627543,1.0640972602261691,0.16064940173658515
scale_mixture,HH,1,0.3235333111596831,1.4637870582960033,1.1546136558414934,0.30917340245450986
scale_mixture,HH,2,0.33894837047422405,1.5112835523332968,1.1703388169625295,0.3409447353707673
scale_mixture,HH,3,0.240516982167444,1.2991646948971107,1.0841045268567433,0.21506016804036743
