family,orientation,tree_depth,std_ancestral,std_reverse,kurtosis_ancestral,kurtosis_reverse,n_samples,reverse_steps,reverse_seconds
gaussian,HL,0,5.978460665825496,5.597939329325002,-0.23929231218330305,-0.7014509491874179,48,100,240.28919054201106
gaussian,HL,1,4.39860843411094,4.086932590134197,-0.36776390784818913,-0.23578648702652538,48,100,240.28919054201106
gaussian,HL,2,1.9528537296036013,1.8816450025386466,0.24036927513172301,0.047703655182489424,48,100,240.28919054201106
gaussian,HL,3,0.8947296705581713,0.8287614369444561,0.06440923660837505,-0.07354348607309413,48,100,240.28919054201106
gaussian,HL,4,0.3310041914329699,0.24225031888642262,0.013252626733464279,0.006439231716191873,48,100,240.28919054201106
gaussian,LH,0,10.397581190458471,9.819788253035858,-0.4322587205536905,0.3070264855188478,48,100,240.28919054201106
gaussian,LH,1,4.7364608302624935,5.34925833492725,-0.45346585746413126,0.23490531843807627,48,100,240.28919054201106
gaussian,LH,2,2.244075053549335,2.2667010001622034,-0.12008875433350008,0.06909424710320655,48,100,240.28919054201106
gaussian,LH,3,0.983455628038943,0.9479947642170983,0.012554068380176808,0.14954306721183475,48,100,240.28919054201106
gaussian,LH,4,0.3573155898638486,0.27024159741856285,0.035207110078323556,0.09721166641943446,48,100,240.28919054201106
gaussian,HH,0,5.347006337409553,4.652912788967043,-0.8308773421190367,0.0054105027352764345,48,100,240.28919054201106
gaussian,HH,1,2.580233718000469,2.692436316505499,-0.08555079778621266,0.6957107938051434,48,100,240.28919054201106
gaussian,HH,2,1.1134597963573067,1.0541862078222937,0.03922657781729244,-0.014082372206624783,48,100,240.28919054201106
gaussian,HH,3,0.44173379513991373,0.362562188392194,-0.11322474399163696,0.013246172925909239,48,100,240.28919054201106
gaussian,HH,4,0.13363005453073215,0.05711748550428005,-0.0029425627796282328,0.03410507415889219,48,100,240.28919054201106
gaussian,LL,-1,14.143954604586686,13.293918461025575,-0.0457725898745025,-0.21533431166264583,48,100,240.28919054201106
mixture,HL,0,5.301887454916911,5.419522074290059,0.2475695007994605,-0.6242326878776847,48,100,335.85001725002076
mixture,HL,1,4.281846376524546,3.8021965928519967,1.3676447329028036,1.1638223008559647,48,100,335.85001725002076
mixture,HL,2,1.9332257119310934,1.9928774588208986,1.5121444980284418,0.8472891548016093,48,100,335.85001725002076
mixture,HL,3,0.9416295577809795,0.9089897660568315,0.20515875459633248,0.24169441626572308,48,100,335.85001725002076
mixture,HL,4,0.4098424658462816,0.3309103137320152,-0.3559572489338896,-0.4021294784857181,48,100,335.85001725002076
mixture,LH,0,9.790041840957102,10.830505740841788,-0.7077675332834534,-0.20043844226869068,48,100,335.85001725002076
mixture,LH,1,5.477190496564082,4.874943909466646,0.8438319138243009,2.694835589323727,48,100,335.85001725002076
mixture,LH,2,2.3881333615171942,2.3113507996866187,0.7959664585397195,1.8256475356892734,48,100,335.85001725002076
mixture,LH,3,1.1156756278018167,1.0593772610099403,0.041718219343334084,0.26035889697446013,48,100,335.85001725002076
mixture,LH,4,0.45007603255274864,0.3682544672620357,-0.3769428103399819,-0.3812501169642948,48,100,335.85001725002076
mixture,HH,0,4.558950778024598,5.063655433511133,0.34236448645330464,0.7526613660763868,48,100,335.85001725002076
mixture,HH,1,2.7189586514409396,2.394029995094844,1.1169174621735092,1.6311927857754096,48,100,335.85001725002076
mixture,HH,2,1.1117100705414347,1.0373521218658808,1.5786772594117524,1.1622820802514982,48,100,335.85001725002076
mixture,HH,3,0.489591719645689,0.4096649978066802,0.19198876228204131,0.1396449760216938,48,100,335.85001725002076
mixture,HH,4,0.16766199856629163,0.08209632775682901,-0.31454265243188084,-0.12949818960456394,48,100,335.85001725002076
mixture,LL,-1,15.680586844897897,14.280493734082576,-0.08204356439033011,-0.020449155048476886,48,100,335.85001725002076
scale_mixture,HL,0,5.8359891289489525,5.922669065114816,-0.4047474376367233,-0.84655762867119,48,100,330.49669316702057
scale_mixture,HL,1,4.479486823997899,4.352526583715067,0.4563807200571044,0.47933398337271305,48,100,330.49669316702057
scale_mixture,HL,2,1.9740664506011731,2.0567121814718545,1.7679804621238384,2.0324394465020807,48,100,330.49669316702057
scale_mixture,HL,3,0.9332424362692959,0.8873613741953842,3.450131471858839,3.1370343176964175,48,100,330.49669316702057
scale_mixture,HL,4,0.43283822882446465,0.3597109938289987,3.0512717843334114,4.560060491458908,48,100,330.49669316702057
scale_mixture,LH,0,12.074731376079932,10.405455813578863,0.24549280537550056,-0.5971144898715779,48,100,330.49669316702057
scale_mixture,LH,1,5.1483761124352805,4.585067963099829,1.1335669386202438,1.4626469568800688,48,100,330.49669316702057
scale_mixture,LH,2,2.30040205426038,2.2376692583734097,2.1966831949531613,1.5973802023462484,48,100,330.49669316702057
scale_mixture,LH,3,0.9870555184888551,1.0074883319994494,2.9938282899575066,3.0996474069534212,48,100,330.49669316702057
scale_mixture,LH,4,0.46838700930238475,0.39610639406790754,2.7270990748452224,4.668908216942673,48,100,330.49669316702057
scale_mixture,HH,0,3.6018314878300104,4.176010627290108,-0.6694309639432197,0.3425572081745334,48,100,330.49669316702057
scale_mixture,HH,1,3.0893754856444247,2.6422449594129,0.6895336695818952,2.3014279701346556,48,100,330.49669316702057
scale_mixture,HH,2,1.2303425426229897,1.1252759380226531,2.56617271934946,2.1513690434446557,48,100,330.49669316702057
scale_mixture,HH,3,0.4820145521524002,0.3847999539317956,3.198523339738381,3.8184603932191106,48,100,330.49669316702057
scale_mixture,HH,4,0.17734441066933784,0.09098996111752351,3.02698151138702,4.214684199032601,48,100,330.49669316702057
scale_mixture,LL,-1,17.52817867566174,13.839111924190998,-0.3737960811946568,-0.681774641104568,48,100,330.49669316702057
