family,n_generate,kurtosis_mean_abs_gap,kurtosis_mean_signed_gap,kurtosis_worst_abs_gap,magnitude_excess_mean_abs_gap,magnitude_excess_mean_signed_gap,mean_magnitude_excess_generated,mean_magnitude_excess_real
gaussian,3000,3.1191105382464706,-3.1191105382464706,7.015984240258359,1.0285353954383003,-1.0285353954383003,0.001510125309343006,1.0300455207476433
mixture,3000,2.751407362685757,-2.704334095348657,7.344182246616782,1.0201752432201474,-1.0201752432201474,0.009870277527496085,1.0300455207476433
scale_mixture,3000,1.412603606051776,-1.354367324270071,4.022484611242521,0.7902796341068351,-0.7690577735008981,0.2609877472467453,1.0300455207476433
