family,n_train,seconds,em_iters,monotone_violation,final_train_log_evidence,t_likelihood_requested,t_likelihood_used,min_resolved_t,min_points_per_std_at_requested_t,heldout_loglik_per_image,magnitude_ratio_d0,magnitude_ratio_d1,magnitude_ratio_d2,magnitude_ratio_d3
gaussian,200,31.37102349998895,4,0.0,-469618.768408081,0.05,1.146714684571401,1.146714684571401,0.32595526846508616,-1121.7662098940605,nan,nan,nan,nan
mixture,200,34.27864433398645,4,0.0,-469651.3702351792,0.05,1.146714684571401,1.146714684571401,0.32595526846508616,-1117.887514655181,nan,nan,nan,nan
scale_mixture,200,30.958681957999943,4,0.0,-469304.19855101075,0.05,1.146714684571401,1.146714684571401,0.32595526846508616,-1107.362682018953,1.1876182092711804,1.3623613071172973,1.2718137366502762,1.1878693580648767
