variant,net_slope,net_se,em_slope,em_se,gap,gap_se,t,em_steeper_seeds,n_seeds
selected,-0.2586852941721685,0.0020264140960655837,-0.37816518528543613,0.011651836074314095,-0.11947989111326764,0.01114593024638982,-10.719597958363979,16,16
oracle,-0.25919982742989506,0.002013013798186565,-0.37816518528543613,0.011651836074314095,-0.1189653578555411,0.01113278509275916,-10.686037398935957,16,16
at_cap,-0.39669217465467693,0.001753544750726631,-0.4654827699634959,0.014716246547632816,-0.068790595308819,0.0138918923652814,-4.951852022748201,15,16
posterior_mean,-0.2273523646986487,0.005169244323629392,-0.47440317466040544,0.028731088380156047,-0.2470508099617567,0.02674119722884911,-9.238584489973087,16,16
