arm,n_chains,at_cap_over_selected,se,overfit_penalty_pct
network,32,1.677143207025074,0.008110769203780155,67.71432070250741
network,64,1.796173049474077,0.008239164159777856,79.6173049474077
network,128,1.8011292588375116,0.005094922760828891,80.11292588375116
network,256,1.5314877907385378,0.005144174718877586,53.14877907385378
network,512,1.2563050675388554,0.0041755447002731795,25.63050675388554
network,1024,1.0743795787162485,0.0038580963286350732,7.437957871624845
network,2048,1.0293537677710716,0.006011862739996031,2.935376777107157
network,4096,1.016783844184875,0.004856016575063934,1.6783844184875107
em_bp,32,1.599643861278724,0.09902216657858044,59.9643861278724
em_bp,64,1.603228578598172,0.13747301669141693,60.32285785981719
em_bp,128,1.3814064702153739,0.09615709129756529,38.14064702153739
em_bp,256,1.1620132867397615,0.052979854396355296,16.201328673976146
em_bp,512,1.1519591310605106,0.06635541872752092,15.195913106051062
em_bp,1024,1.0825073523778705,0.028089928754808084,8.250735237787055
em_bp,2048,1.0774539003307706,0.03613544137025652,7.74539003307706
em_bp,4096,1.07355294121393,0.028433279874832705,7.355294121392997
