beta_true,excess_kurtosis,t,alpha,delta,n_info,condition_number,corr_rho_beta,corr_q_beta,corr_rho_q,diag_rho,eff_rho,nuisance_cost_rho,diag_q,eff_q,nuisance_cost_q,diag_beta,eff_beta,nuisance_cost_beta
1.0,3.000000000000001,0.05,0.951229424500714,0.09516258196404048,512,61.264056703684325,0.14600783833771513,0.2608832158821065,0.15381934542337716,109.18826624795643,105.29139800892301,1.037010319102261,53.82852413597038,49.42832005327634,1.0890219226134186,1.9850245106237052,1.8271315438928821,1.0864157631444624
1.0,3.000000000000001,0.1,0.9048374180359595,0.18126924692201818,512,119.31018065106169,0.22047589665035794,0.346382464026404,0.3916385786310914,100.0845699395777,83.91531440494157,1.1926853953809886,41.362988251019466,32.07889440928718,1.2894143957481417,1.055722611890401,0.9200849748787905,1.1474185979718656
1.0,3.000000000000001,0.2,0.8187307530779818,0.3296799539643607,512,169.69217194665708,0.2006808431192042,0.12123436218505548,0.5210635630077255,76.61306260548147,54.34177460738402,1.4098373334144154,31.40715807062712,22.870796827537276,1.3732428435904669,0.5416397450563162,0.5196198602117685,1.0423769115283115
1.0,3.000000000000001,0.4,0.6703200460356393,0.5506710358827784,512,371.701378135351,0.13006933535334594,0.019851294197481887,0.6784345369300279,63.24890017296503,33.27684670353434,1.900687908817014,19.601487578595147,10.486180081430328,1.8692686399031857,0.203780852678821,0.19856723100758444,1.02625620372899
1.0,3.000000000000001,0.8,0.44932896411722156,0.7981034820053446,512,2821.607643214792,-0.07960832918435075,-0.05751378328640003,0.8557062421958933,59.31405418391599,15.827362274556135,3.747564070057871,9.302769080686584,2.4899195327719346,3.73617257836849,0.02368998971917686,0.023529899787216018,1.006803680993483
1.0,3.000000000000001,1.6,0.20189651799465538,0.9592377960216338,512,38370.53051491622,0.023534431915710335,-0.0004265495284421793,0.8996518883405494,7.101732348799482,1.3497154837937038,5.261651388067606,1.1083796342109005,0.21076912712537363,5.2587380767183864,0.0002097251237045399,0.00020909569035776533,1.0030102645621133
1.2,1.743484224965706,0.05,0.951229424500714,0.09516258196404048,512,92.45349928731787,0.10480790487522851,0.1582840257819486,0.16212445856604638,110.0139933965036,106.41549803696083,1.0338155195993437,66.8992044909294,63.790430168037766,1.0487341802634418,1.2752578463399966,1.235103744616141,1.0325107116700833
1.2,1.743484224965706,0.1,0.9048374180359595,0.18126924692201818,512,135.4618333578555,0.06628169332351125,0.07188049262338175,0.3190526060318966,91.76842144655834,82.25356164030505,1.115677176969695,49.17149988159207,44.03898978817229,1.1165446827483367,0.7487934341463551,0.7433580831606592,1.0073118879162322
1.2,1.743484224965706,0.2,0.8187307530779818,0.3296799539643607,512,239.47397872855495,0.03739070613015598,-0.11849362936730322,0.439498401927107,73.90685053113647,59.03106863734256,1.2519991969852908,34.09228712215915,26.88553319575152,1.2680532267645876,0.35828830312711474,0.3497031205463693,1.0245499169905379
1.2,1.743484224965706,0.4,0.6703200460356393,0.5506710358827784,512,471.69958615374117,-0.013852605518323168,-0.14487907693566401,0.6989558882204597,73.26416624278986,36.89994291766712,1.985481831401753,21.969474053592393,10.834883375015307,2.027661331754884,0.18840528736327833,0.18163606328847356,1.0372680620370742
1.2,1.743484224965706,0.8,0.44932896411722156,0.7981034820053446,512,2474.157733450204,-0.039530481478692696,-0.16116322340218742,0.8056821385990711,47.424080288992215,16.24283400138026,2.919692480078432,9.323764166122366,3.1153302254252275,2.992865440083392,0.022907727154909716,0.02178018685205558,1.0517690830897404
1.2,1.743484224965706,1.6,0.20189651799465538,0.9592377960216338,512,123527.98579189325,0.09172912069743012,0.12696885376163172,0.9035439892844269,6.706628608493466,1.2277887170196706,5.462363772793994,0.8970287417198741,0.16294352443362423,5.5051512162748315,6.152397003937242e-05,6.0354988382767536e-05,1.0193684347877143
