n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
32,em_bp,0.05,0.024629425000050713,0.12222955536211728,0.0005641709696562042,2.8117873620431095e-15
32,dsm_net_eps,0.05,0.360881602674605,1.7909633632614008,0.12112441007136407,1.9758551383370937e-16
32,dsm_net_x0,0.05,0.6018030306404936,2.986594971283768,0.3368301279350271,1.5632708399897348e-16
32,em_bp,0.0725,0.02963609850302199,0.1096511708973808,0.0008054291101917607,2.4113319692425647e-15
32,dsm_net_eps,0.0725,0.4151193923996059,1.5359082247005138,0.15802700413933218,1.867132408310333e-16
32,dsm_net_x0,0.0725,0.5982472082585106,2.2134663530338123,0.32820608153725334,1.6456340934294861e-16
32,em_bp,0.1053,0.03338410620587885,0.09143356212480261,0.0009830343238354455,2.2093048530698137e-15
32,dsm_net_eps,0.1053,0.45389068496414764,1.2431317431595765,0.18171539198612763,1.9384722238172511e-16
32,dsm_net_x0,0.1053,0.5903494062976877,1.6168696799363351,0.3074025295991907,1.9118464898866872e-16
32,em_bp,0.1527,0.038206672681930356,0.07803614937443978,0.0012485872373381966,2.001461496456463e-15
32,dsm_net_eps,0.1527,0.4776392502215196,0.9755659224156952,0.19513738091866048,1.8696972264550222e-16
32,dsm_net_x0,0.1527,0.5828069401786193,1.1903682327654894,0.2905292650223029,1.8596495681258218e-16
32,em_bp,0.2216,0.045726896069447576,0.06904312797578664,0.0017223268116393822,1.922661086164993e-15
32,dsm_net_eps,0.2216,0.4772001720166663,0.7205254539161229,0.1875742852667162,2.035018442229879e-16
32,dsm_net_x0,0.2216,0.5716730766168406,0.8631702735567952,0.26919537601771304,2.0344253966895582e-16
32,em_bp,0.3215,0.050116969519195656,0.054953605745357695,0.0019298026350844065,2.12363535927608e-15
32,dsm_net_eps,0.3215,0.4791601987441781,0.5254024914768509,0.17640251131569845,2.2620550037956753e-16
32,dsm_net_x0,0.3215,0.5642926818261933,0.6187508514494252,0.24465389083411665,2.2238752092760103e-16
