t,trajectory_relative_error,central_relative_error,mean_cosine_similarity
0.03,0.12238587651021215,0.038651404933312934,0.9850264332327893
0.08,0.06294808984927551,0.039528161767908535,0.9960894734906596
0.15,0.04411085444756151,0.03494043192701065,0.9966259320510629
0.25,0.038304113919530466,0.030472687682545553,0.9953198277045843
0.4,0.035229381851753054,0.03516149014137962,0.9983421269164573
0.7,0.03545923680346535,0.03160005671372911,0.9985702802822655
1.0,0.0654549412905105,0.060568795648836646,0.991879672201919
1.5,0.08300142071556832,0.0786160210490477,0.9903876371379893
2.0,0.06696494046016126,0.05955156536915673,0.9906291280139763
