t,local_field_relative_error,local_field_mean_cosine,phase_estimate
0.05,0.011649103225414023,0.9998568152198,-0.9250710472469382
0.25,0.01823360138471621,0.9998225729888774,-1.0228834393142883
0.7,0.025634424436036893,0.9995874766338378,-1.1447245434623043
1.5,0.036665031722743,0.9989021688669684,-1.2935804314451873
