init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01,gaussian,0.0,0.5,0.05,1,0.0047377136155729235,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,2,0.00024019161393277103,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,3,1.5479864682072195e-05,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,4,9.347082628124451e-07,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,5,4.891490117714241e-08,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,6,3.411524937300239e-09,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,7,1.8184565743123605e-10,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.05,8,1.0413799100001438e-11,0.058656116142991016,0.0006195673594117714,1,1.0
n01,gaussian,0.0,0.5,0.1,1,0.014164167563521813,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,2,0.0012471729020141014,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,3,0.00015586773875586788,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,4,1.901402891735002e-05,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,5,1.520248315321173e-06,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,6,2.395831540625769e-07,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,7,2.1156085943733698e-08,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.1,8,2.0484372790744365e-09,0.10777674437748688,0.002380795981463422,1,1.0
n01,gaussian,0.0,0.5,0.2,1,0.03853196422153058,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,2,0.006610578795480915,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,3,0.0011206867368150181,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,4,0.00024294978810939448,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,5,3.920359711797592e-05,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,6,8.99015544490127e-06,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,7,1.5431291667660858e-06,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.2,8,2.506580645940669e-07,0.18506020872610812,0.0026150612918499397,1,1.0
n01,gaussian,0.0,0.5,0.4,1,0.07743731721035363,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,2,0.021893014936488705,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,3,0.007185741104394037,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,4,0.001914839929586654,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,5,0.0005265621863076833,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,6,0.00016390945288608435,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,7,4.633710835996064e-05,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.4,8,1.2738692103197092e-05,0.2885221788298019,0.0021559770369688263,1,1.0
n01,gaussian,0.0,0.5,0.8,1,0.1105222453934317,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,2,0.04175578218246688,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,3,0.01669362288237827,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,4,0.007750928125001656,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,5,0.002973335847873469,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,6,0.001203218309720451,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,7,0.0005131320482438233,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,0.8,8,0.00019290111081511432,0.4080288092152949,0.0031201554894889766,1,1.0
n01,gaussian,0.0,0.5,1.6,1,0.06918316806993757,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,2,0.03469156298576879,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,3,0.01718321572072606,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,4,0.008172974614291064,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,5,0.003669812117288073,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,6,0.0019249863962981155,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,7,0.0009680676604121317,0.48436407967053,0.0031706373709344178,1,1.0
n01,gaussian,0.0,0.5,1.6,8,0.00042599093992806534,0.48436407967053,0.0031706373709344178,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,1,0.004287837267356013,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,2,0.0002494122228965647,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,3,1.5884143124036296e-05,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,4,9.90741237270571e-07,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,5,4.717535611004695e-08,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,6,3.7421428586071416e-09,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,7,1.785638633377167e-10,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.05,8,1.0821269571998985e-11,0.0592127562974398,0.0008964981570047693,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,1,0.013483526612043573,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,2,0.0014528884953958798,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,3,0.00015926204618333536,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,4,1.9968142547682567e-05,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,5,1.6679688996505284e-06,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,6,2.2094394713084712e-07,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,7,2.197189781282318e-08,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.1,8,2.372317045256018e-09,0.10846438353370207,0.0013796272245748648,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,1,0.03856942155927887,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,2,0.006343780947316912,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,3,0.0012402895216858782,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,4,0.000248145752531909,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,5,3.626070836820503e-05,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,6,9.125649437113386e-06,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,7,1.6230969694582292e-06,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.2,8,2.97402292673463e-07,0.18792468245931446,0.0029509235072782457,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,1,0.07464512803429271,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,2,0.01930770426165273,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,3,0.00682867689924348,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,4,0.0018963115523433914,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,5,0.00047460891980503087,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,6,0.00016976780792927142,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,7,4.355755993221596e-05,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.4,8,1.4913663338696454e-05,0.29492462596832486,0.0042200274286472265,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,1,0.11264759350114974,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,2,0.04490776664486227,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,3,0.017167587871414234,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,4,0.006838403526662839,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,5,0.0029627025149465817,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,6,0.0011281256158803704,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,7,0.0004813869715416456,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,0.8,8,0.00018826285354614733,0.4025166269427087,0.0020840659411484135,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,1,0.0786195597201228,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,2,0.03756952396817304,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,3,0.017252961825400034,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,4,0.009001186680784836,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,5,0.004168885657220226,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,6,0.0018761964446549581,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,7,0.0010386398430263057,0.483565098175639,0.0035020815771268105,1,1.0
n01_exact,gaussian,0.0,0.5,1.6,8,0.0004817606497517219,0.483565098175639,0.0035020815771268105,1,1.0
invariant,gaussian,0.0,0.5,0.05,1,0.004032201436773968,0.059882039794590496,0.0005458538279996562,1,1.0
